subject,session,block,runsheet,trial,exposure,valence,action,robot,stimulus,rune,rune_set,correct,choice,rt,accuracy,sham,outcome,total_keys
02lqpjp4pevk73p8f7ipewf9,2,1,3a,40,10,win,go,GW,3.0,K,elianto,1,1,0.556,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,41,3,lose,no-go,NGAL,4.0,E,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,42,1,win,no-go,NGW,5.0,W,elianto,0,0,,1,1.0,+1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,43,11,lose,go,GAL,1.0,J,elianto,1,1,1.033,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,44,11,lose,no-go,NGAL,0.0,V,elianto,0,1,0.94,0,0.0,-10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,45,12,lose,no-go,NGAL,0.0,V,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,46,2,win,no-go,NGW,5.0,W,elianto,0,1,0.951,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,47,12,lose,go,GAL,1.0,J,elianto,1,0,,0,0.0,-10,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,48,4,lose,no-go,NGAL,4.0,E,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,49,3,win,no-go,NGW,5.0,W,elianto,0,1,0.627,0,1.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,50,5,lose,no-go,NGAL,4.0,E,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,51,1,lose,no-go,NGAL,6.0,S,elianto,0,1,1.271,0,1.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,52,1,win,go,GW,7.0,P,elianto,1,0,,0,0.0,+1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,53,4,win,no-go,NGW,5.0,W,elianto,0,1,0.513,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,54,2,win,go,GW,7.0,P,elianto,1,1,0.788,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,55,2,lose,no-go,NGAL,6.0,S,elianto,0,1,0.862,0,0.0,-10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,56,6,lose,no-go,NGAL,4.0,E,elianto,0,1,1.066,0,1.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,57,7,lose,no-go,NGAL,4.0,E,elianto,0,0,,1,1.0,-10,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,58,3,win,go,GW,7.0,P,elianto,1,1,0.627,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,59,5,win,no-go,NGW,5.0,W,elianto,0,1,0.427,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,60,3,lose,no-go,NGAL,6.0,S,elianto,0,1,0.757,0,0.0,-10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,61,6,win,no-go,NGW,5.0,W,elianto,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,62,4,win,go,GW,7.0,P,elianto,1,0,,0,0.0,+1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,63,4,lose,no-go,NGAL,6.0,S,elianto,0,1,0.701,0,0.0,-10,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,64,8,lose,no-go,NGAL,4.0,E,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,65,5,win,go,GW,7.0,P,elianto,1,1,0.55,1,1.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,66,7,win,no-go,NGW,5.0,W,elianto,0,1,0.449,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,67,5,lose,no-go,NGAL,6.0,S,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,68,9,lose,no-go,NGAL,4.0,E,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,69,10,lose,no-go,NGAL,4.0,E,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,70,6,win,go,GW,7.0,P,elianto,1,1,0.46,1,1.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,71,8,win,no-go,NGW,5.0,W,elianto,0,1,0.681,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,1,3a,72,6,lose,no-go,NGAL,6.0,S,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,73,9,win,no-go,NGW,5.0,W,elianto,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,2,1,3a,74,1,win,go,GW,8.0,G,elianto,1,1,0.838,1,0.0,+10,1
