name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
beta_mu[1,1]	1.79	0.00205	0.0807	1.66	1.79	1.92	1556.0	0.381	1.0
beta_mu[1,2]	1.64	0.00197	0.08	1.51	1.64	1.78	1647.0	0.404	1.0
beta_mu[2,1]	0.116	0.00283	0.0813	-0.0179	0.118	0.247	822.0	0.201	1.01
beta_mu[2,2]	0.503	0.0027	0.083	0.365	0.504	0.641	944.0	0.231	1.01
beta_mu[3,1]	1.04	0.00172	0.0685	0.928	1.04	1.15	1593.0	0.39	1.0
beta_mu[3,2]	1.04	0.00173	0.0706	0.933	1.04	1.16	1664.0	0.408	1.0
beta_mu[4,1]	0.767	0.00202	0.0715	0.647	0.766	0.885	1251.0	0.307	1.01
beta_mu[4,2]	0.806	0.00203	0.0727	0.684	0.807	0.924	1278.0	0.313	1.01
alpha[1]	-0.189	0.000414	0.0213	-0.225	-0.189	-0.155	2642.0	0.647	1.0
beta_c_pr[1,1]	-0.691	0.00527	0.363	-1.28	-0.695	-0.0876	4739.0	1.16	1.0
beta_c_pr[1,2]	-0.672	0.00511	0.35	-1.24	-0.68	-0.0872	4681.0	1.15	1.0
beta_c_pr[1,3]	1.4	0.00672	0.492	0.634	1.37	2.26	5358.0	1.31	1.0
beta_c_pr[1,4]	-0.667	0.00553	0.339	-1.22	-0.667	-0.109	3752.0	0.919	1.0
beta_c_pr[1,5]	-0.225	0.00525	0.375	-0.841	-0.229	0.399	5104.0	1.25	1.0
beta_c_pr[1,6]	-0.458	0.00558	0.375	-1.06	-0.463	0.161	4531.0	1.11	1.0
beta_c_pr[1,7]	0.598	0.00571	0.44	-0.117	0.592	1.34	5925.0	1.45	1.0
beta_c_pr[1,8]	0.355	0.00558	0.414	-0.308	0.341	1.05	5514.0	1.35	1.0
beta_c_pr[1,9]	1.36	0.00634	0.485	0.588	1.34	2.18	5837.0	1.43	1.0
beta_c_pr[1,10]	-0.543	0.00511	0.346	-1.11	-0.544	0.0326	4581.0	1.12	1.0
beta_c_pr[1,11]	0.234	0.00534	0.387	-0.377	0.23	0.907	5237.0	1.28	0.999
beta_c_pr[1,12]	0.28	0.00559	0.404	-0.36	0.272	0.965	5228.0	1.28	1.0
beta_c_pr[1,13]	-0.704	0.00538	0.381	-1.32	-0.712	-0.075	5004.0	1.23	1.0
beta_c_pr[1,14]	-0.783	0.0055	0.351	-1.37	-0.788	-0.207	4083.0	1.0	1.0
