name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
beta_c_pr[3,42]	-0.192	0.00743	0.533	-1.08	-0.188	0.679	5148.0	3.34	1.0
beta_c_pr[3,43]	-0.483	0.00837	0.57	-1.44	-0.466	0.438	4646.0	3.02	1.0
beta_c_pr[3,44]	0.126	0.00866	0.609	-0.874	0.127	1.13	4938.0	3.21	0.999
beta_c_pr[3,45]	-1.21	0.0077	0.514	-2.04	-1.21	-0.356	4456.0	2.89	1.0
beta_c_pr[3,46]	-1.05	0.00713	0.51	-1.89	-1.05	-0.227	5111.0	3.32	1.0
beta_c_pr[3,47]	-0.26	0.00715	0.522	-1.1	-0.262	0.586	5328.0	3.46	1.0
beta_c_pr[3,48]	-0.0528	0.00813	0.554	-0.949	-0.0534	0.846	4638.0	3.01	1.0
beta_c_pr[3,49]	-0.116	0.00648	0.52	-0.977	-0.128	0.75	6435.0	4.18	1.0
beta_c_pr[3,50]	0.87	0.0113	0.7	-0.255	0.868	2.03	3845.0	2.5	1.0
beta_c_pr[3,51]	0.0172	0.00822	0.58	-0.92	0.00966	0.975	4983.0	3.24	1.0
beta_c_pr[3,52]	0.299	0.00759	0.519	-0.531	0.289	1.17	4680.0	3.04	1.0
beta_c_pr[3,53]	0.0717	0.00717	0.524	-0.771	0.0608	0.963	5354.0	3.48	1.0
beta_c_pr[3,54]	1.04	0.00848	0.65	-0.0122	1.05	2.1	5870.0	3.81	1.0
beta_c_pr[3,55]	0.199	0.00997	0.64	-0.825	0.196	1.29	4125.0	2.68	1.0
beta_c_pr[3,56]	0.478	0.0087	0.557	-0.431	0.479	1.41	4096.0	2.66	1.0
beta_c_pr[3,57]	0.1	0.00688	0.506	-0.709	0.0987	0.958	5393.0	3.5	0.999
beta_c_pr[3,58]	-0.619	0.00644	0.508	-1.45	-0.62	0.215	6237.0	4.05	1.0
beta_c_pr[3,59]	1.55	0.0084	0.702	0.4	1.54	2.74	6999.0	4.55	0.999
beta_c_pr[3,60]	-0.0497	0.00855	0.575	-0.997	-0.0486	0.897	4524.0	2.94	1.0
beta_c_pr[3,61]	-1.57	0.00696	0.493	-2.39	-1.57	-0.762	5021.0	3.26	1.0
beta_c_pr[3,62]	0.375	0.00761	0.534	-0.499	0.373	1.25	4930.0	3.2	1.0
beta_c_pr[3,63]	0.149	0.00674	0.514	-0.691	0.146	1.01	5805.0	3.77	1.0
beta_c_pr[3,64]	-1.79	0.00945	0.584	-2.73	-1.79	-0.838	3817.0	2.48	1.0
beta_c_pr[3,65]	0.604	0.00834	0.595	-0.391	0.602	1.57	5097.0	3.31	0.999
beta_c_pr[3,66]	1.77	0.00772	0.649	0.773	1.74	2.89	7050.0	4.58	1.0
beta_c_pr[3,67]	0.282	0.00685	0.533	-0.584	0.281	1.17	6053.0	3.93	0.999
