name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
beta_d_pr[4,63]	-0.328	0.00834	0.741	-1.57	-0.322	0.88	7880.0	2.14	1.0
beta_d_pr[4,64]	-0.435	0.00969	0.79	-1.74	-0.438	0.866	6645.0	1.8	0.999
beta_d_pr[4,65]	-0.534	0.00876	0.753	-1.76	-0.542	0.731	7398.0	2.01	0.999
beta_d_pr[4,66]	-0.782	0.00791	0.743	-2.01	-0.779	0.419	8828.0	2.4	0.999
beta_d_pr[4,67]	0.199	0.00789	0.736	-0.989	0.197	1.41	8693.0	2.36	0.999
beta_d_pr[4,68]	-0.0862	0.00863	0.793	-1.38	-0.0836	1.23	8460.0	2.3	0.999
beta_d_pr[4,69]	0.488	0.00854	0.751	-0.719	0.49	1.73	7728.0	2.1	0.999
beta_d_pr[4,70]	0.333	0.00964	0.807	-0.992	0.338	1.65	7016.0	1.91	1.0
beta_d_pr[4,71]	-0.849	0.00815	0.739	-2.08	-0.852	0.353	8214.0	2.23	1.0
beta_d_pr[4,72]	0.261	0.0096	0.891	-1.18	0.249	1.73	8616.0	2.34	0.999
beta_d_pr[4,73]	0.955	0.00813	0.729	-0.271	0.969	2.17	8033.0	2.18	0.999
beta_d_pr[4,74]	-0.0537	0.00798	0.745	-1.27	-0.0504	1.16	8710.0	2.37	0.999
beta_d_pr[4,75]	-0.00511	0.00882	0.767	-1.25	-0.00275	1.25	7556.0	2.05	1.0
beta_d_pr[4,76]	-0.129	0.00868	0.772	-1.42	-0.137	1.14	7911.0	2.15	0.999
beta_d_pr[4,77]	-0.596	0.00829	0.729	-1.77	-0.597	0.592	7738.0	2.1	0.999
beta_d_pr[4,78]	-0.748	0.00756	0.728	-1.94	-0.732	0.469	9281.0	2.52	0.999
beta_d_pr[4,79]	-0.762	0.00793	0.716	-1.95	-0.773	0.417	8137.0	2.21	0.999
beta_d_pr[4,80]	0.266	0.0084	0.834	-1.11	0.271	1.64	9849.0	2.67	1.0
beta_d_pr[4,81]	-1.34	0.00966	0.773	-2.61	-1.36	-0.0455	6402.0	1.74	1.0
beta_d_pr[4,82]	0.0147	0.00841	0.757	-1.23	0.0128	1.26	8101.0	2.2	1.0
beta_d_pr[4,83]	0.229	0.00866	0.781	-1.05	0.218	1.52	8126.0	2.21	0.999
beta_d_pr[4,84]	-1.27	0.00796	0.75	-2.49	-1.28	-0.0477	8873.0	2.41	0.999
beta_d_pr[4,85]	0.884	0.00834	0.735	-0.335	0.886	2.07	7768.0	2.11	1.0
beta_d_pr[4,86]	0.705	0.00884	0.782	-0.587	0.694	1.97	7831.0	2.13	0.999
beta_d_pr[4,87]	-0.89	0.00923	0.769	-2.15	-0.891	0.404	6935.0	1.88	1.0
beta_d_pr[4,88]	0.0601	0.00779	0.743	-1.17	0.0678	1.29	9096.0	2.47	0.999
beta_d_pr[4,89]	-0.367	0.00908	0.777	-1.63	-0.373	0.915	7329.0	1.99	1.0
beta_d_pr[4,90]	-0.439	0.00759	0.701	-1.58	-0.43	0.72	8521.0	2.31	0.999
beta_d_pr[4,91]	0.0763	0.00831	0.786	-1.22	0.077	1.37	8950.0	2.43	0.999
beta_d_pr[4,92]	0.565	0.00835	0.746	-0.683	0.566	1.78	7973.0	2.16	0.999
beta_d_pr[4,93]	0.567	0.00743	0.731	-0.648	0.564	1.75	9684.0	2.63	0.999
beta_d_pr[4,94]	-0.223	0.00813	0.723	-1.4	-0.222	0.946	7903.0	2.15	0.999
beta_d_pr[4,95]	-0.574	0.00799	0.755	-1.8	-0.581	0.659	8925.0	2.42	1.0
beta_d_pr[4,96]	-0.594	0.00821	0.733	-1.78	-0.605	0.599	7975.0	2.17	0.999
beta_d_pr[4,97]	0.843	0.00947	0.793	-0.472	0.852	2.14	6998.0	1.9	1.0
L_c[1,1]	1.0		6e-16	1.0	1.0	1.0			
L_c[1,2]	0.0		0.0	0.0	0.0	0.0			
L_c[1,3]	0.0		0.0	0.0	0.0	0.0			
L_c[1,4]	0.0		0.0	0.0	0.0	0.0			
L_c[2,1]	0.0562	0.00476	0.113	-0.138	0.0604	0.234	561.0	0.152	1.01
L_c[2,2]	0.992	0.000298	0.0106	0.971	0.996	1.0	1261.0	0.342	1.0
L_c[2,3]	0.0		0.0	0.0	0.0	0.0			
L_c[2,4]	0.0		0.0	0.0	0.0	0.0			
L_c[3,1]	0.516	0.0029	0.0956	0.349	0.522	0.663	1085.0	0.295	1.0
L_c[3,2]	0.417	0.00197	0.0861	0.269	0.42	0.554	1916.0	0.52	1.0
L_c[3,3]	0.734	0.00153	0.0654	0.622	0.736	0.839	1829.0	0.497	1.0
L_c[3,4]	0.0		0.0	0.0	0.0	0.0			
L_c[4,1]	0.186	0.00336	0.114	-0.00227	0.189	0.372	1146.0	0.311	1.0
L_c[4,2]	0.707	0.00142	0.0634	0.595	0.713	0.803	1999.0	0.543	1.0
L_c[4,3]	-0.127	0.00264	0.0972	-0.283	-0.129	0.0363	1355.0	0.368	1.0
L_c[4,4]	0.647	0.00156	0.0675	0.537	0.647	0.76	1876.0	0.509	1.0
L_d[1,1]	1.0		6e-16	1.0	1.0	1.0			
L_d[1,2]	0.0		0.0	0.0	0.0	0.0			
L_d[1,3]	0.0		0.0	0.0	0.0	0.0			
L_d[1,4]	0.0		0.0	0.0	0.0	0.0			
L_d[2,1]	-0.506	0.00351	0.128	-0.71	-0.512	-0.286	1340.0	0.364	1.0
L_d[2,2]	0.849	0.00211	0.0775	0.704	0.859	0.958	1350.0	0.367	1.0
L_d[2,3]	0.0		0.0	0.0	0.0	0.0			
L_d[2,4]	0.0		0.0	0.0	0.0	0.0			
L_d[3,1]	-0.073	0.00379	0.148	-0.31	-0.0768	0.175	1519.0	0.412	1.0
L_d[3,2]	0.0144	0.00502	0.166	-0.256	0.0153	0.287	1087.0	0.295	1.0
L_d[3,3]	0.972	0.000578	0.0272	0.918	0.98	0.998	2206.0	0.599	1.0
L_d[3,4]	0.0		0.0	0.0	0.0	0.0			
L_d[4,1]	-0.249	0.00362	0.163	-0.51	-0.253	0.029	2035.0	0.553	1.0
L_d[4,2]	0.287	0.00423	0.169	-0.000827	0.293	0.557	1597.0	0.434	1.0
L_d[4,3]	0.231	0.00352	0.159	-0.0362	0.231	0.493	2044.0	0.555	1.0
L_d[4,4]	0.846	0.00176	0.0792	0.703	0.856	0.955	2030.0	0.551	1.0
sigma[1,1]	0.585	0.00117	0.0534	0.501	0.583	0.679	2082.0	0.565	1.0
