	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	8.27	0.0256	0.901	6.59	8.21	10.1	1241.0	0.107	1.0
b1_mu[2]	7.87	0.0213	0.81	6.35	7.83	9.5	1448.0	0.124	1.0
b2_mu[1]	7.22	0.0208	0.778	5.79	7.17	8.78	1399.0	0.12	1.0
b2_mu[2]	7.62	0.0262	0.895	5.96	7.55	9.44	1169.0	0.101	1.0
b3_mu[1]	1.48	0.00418	0.153	1.18	1.48	1.77	1347.0	0.116	1.01
b3_mu[2]	1.63	0.00416	0.158	1.32	1.63	1.94	1447.0	0.124	1.01
b4_mu[1]	0.133	0.00175	0.0865	-0.0407	0.133	0.292	2431.0	0.209	1.0
b4_mu[2]	0.253	0.00175	0.0865	0.0739	0.253	0.415	2446.0	0.21	1.0
a1_mu[1]	0.311	0.00105	0.0392	0.231	0.31	0.386	1394.0	0.12	1.0
a1_mu[2]	0.322	0.000798	0.0369	0.246	0.321	0.395	2135.0	0.184	1.0
a2_mu[1]	0.45	0.00132	0.0516	0.349	0.449	0.549	1529.0	0.131	1.0
a2_mu[2]	0.353	0.00142	0.0494	0.254	0.351	0.45	1212.0	0.104	1.0
c1_mu[1]	0.0699	0.000574	0.0198	0.0319	0.0691	0.109	1189.0	0.102	1.0
c1_mu[2]	0.0706	0.000519	0.0192	0.0344	0.0693	0.109	1369.0	0.118	1.0
sigma[1,1]	0.438	0.00139	0.0581	0.333	0.434	0.556	1756.0	0.151	1.0
sigma[2,1]	0.379	0.0016	0.0574	0.281	0.374	0.5	1290.0	0.111	1.0
sigma[3,1]	0.212	0.000685	0.0238	0.168	0.21	0.26	1206.0	0.104	1.0
sigma[4,1]	0.126	0.000308	0.0128	0.102	0.125	0.152	1726.0	0.148	1.0
sigma[5,1]	0.511	0.00278	0.0846	0.34	0.511	0.674	923.0	0.0794	1.0
sigma[6,1]	0.964	0.00315	0.12	0.748	0.954	1.21	1455.0	0.125	1.0
sigma[7,1]	1.62	0.00438	0.206	1.24	1.6	2.05	2215.0	0.191	1.0
sigma[1,2]	0.134	0.00132	0.0369	0.0518	0.135	0.2	784.0	0.0674	1.0
