	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	6.02	0.0208	0.66	4.8	5.97	7.36	1008.0	0.204	1.0
b1_mu[2]	5.82	0.0188	0.615	4.7	5.77	7.08	1070.0	0.217	1.0
b2_mu[1]	4.87	0.0118	0.449	4.03	4.85	5.78	1455.0	0.295	1.0
b2_mu[2]	4.98	0.0156	0.505	4.02	4.96	5.97	1043.0	0.212	1.0
b3_mu[1]	2.44	0.00588	0.224	2.01	2.43	2.89	1455.0	0.295	1.0
b3_mu[2]	2.49	0.00782	0.252	2.01	2.48	2.99	1043.0	0.212	1.0
b4_mu[1]	1.0	0.00189	0.0872	0.819	0.998	1.17	2134.0	0.433	1.0
b4_mu[2]	1.11	0.00194	0.0878	0.924	1.11	1.27	2042.0	0.414	1.0
a1_mu[1]	0.506	9.59e-05	0.00496	0.496	0.506	0.515	2672.0	0.542	1.0
a1_mu[2]	0.515	9.12e-05	0.00498	0.504	0.515	0.524	2988.0	0.606	1.0
a2_mu[1]	0.297	0.00101	0.0385	0.22	0.296	0.37	1457.0	0.295	1.0
a2_mu[2]	0.294	0.000937	0.0368	0.222	0.293	0.363	1538.0	0.312	1.0
sigma[1,1]	0.396	0.00145	0.0516	0.301	0.391	0.502	1267.0	0.257	1.0
sigma[2,1]	0.287	0.00088	0.0353	0.223	0.284	0.36	1613.0	0.327	1.0
sigma[3,1]	0.134	0.00026	0.0112	0.114	0.134	0.157	1857.0	0.376	1.0
sigma[4,1]	0.0947	0.000189	0.00833	0.0784	0.0943	0.111	1947.0	0.395	1.0
sigma[5,1]	0.532	0.00321	0.0914	0.356	0.529	0.711	809.0	0.164	1.0
sigma[6,1]	0.761	0.00242	0.0961	0.579	0.755	0.949	1575.0	0.319	1.0
sigma[1,2]	0.0962	0.000916	0.0236	0.0447	0.0971	0.139	662.0	0.134	1.0
sigma[2,2]	0.0986	0.000655	0.019	0.0594	0.0982	0.136	845.0	0.171	1.0
sigma[3,2]	0.0926	0.000189	0.00908	0.0756	0.0922	0.111	2319.0	0.47	1.0
sigma[4,2]	0.0582	0.000139	0.00706	0.0445	0.0579	0.0719	2586.0	0.524	1.0
sigma[5,2]	0.273	0.00194	0.0561	0.163	0.272	0.384	836.0	0.169	1.01
sigma[6,2]	0.144	0.00373	0.0756	0.00654	0.148	0.281	411.0	0.0834	1.01
b1[1,1]	1.67	0.0523	2.27	-0.883	0.971	7.71	1882.0	0.382	1.0
b1[2,1]	2.53	0.0391	1.92	0.328	2.03	7.46	2404.0	0.487	1.0
b1[1,2]	3.9	0.0147	1.19	1.76	3.83	6.3	6515.0	1.32	1.0
b1[2,2]	2.99	0.0165	1.19	0.896	2.86	5.5	5201.0	1.05	1.0
b1[1,3]	7.2	0.0211	1.76	4.08	7.06	10.7	6970.0	1.41	1.0
b1[2,3]	6.27	0.0284	2.04	2.81	6.07	10.7	5188.0	1.05	1.0
b1[1,4]	5.07	0.0418	2.33	1.85	4.58	10.7	3124.0	0.633	1.0
b1[2,4]	5.71	0.0316	2.12	2.53	5.35	10.5	4490.0	0.91	1.0
b1[1,5]	5.73	0.0708	3.38	1.22	4.94	13.3	2281.0	0.462	1.0
b1[2,5]	7.11	0.047	2.8	2.7	6.75	13.4	3545.0	0.719	1.0
b1[1,6]	4.83	0.0135	1.14	2.78	4.76	7.17	7123.0	1.44	1.0
b1[2,6]	4.56	0.0186	1.31	2.36	4.39	7.37	4939.0	1.0	1.0
b1[1,7]	5.97	0.0374	2.47	2.29	5.51	11.5	4374.0	0.887	1.0
b1[2,7]	5.35	0.0384	2.46	1.95	4.87	11.3	4085.0	0.828	1.0
b1[1,8]	3.34	0.0363	1.87	0.535	3.02	7.86	2672.0	0.542	1.0
b1[2,8]	2.63	0.0383	1.76	0.532	2.18	7.21	2108.0	0.427	1.0
b1[1,9]	3.63	0.012	1.03	1.75	3.56	5.81	7346.0	1.49	1.0
b1[2,9]	3.41	0.00937	0.76	1.98	3.37	4.95	6572.0	1.33	1.0
b1[1,10]	6.03	0.0491	2.19	2.97	5.59	11.3	1993.0	0.404	1.0
b1[2,10]	2.89	0.114	3.57	-1.29	1.55	10.7	973.0	0.197	1.0
b1[1,11]	7.55	0.0251	1.96	4.15	7.39	11.6	6127.0	1.24	0.999
b1[2,11]	6.87	0.0312	2.26	3.02	6.69	11.5	5274.0	1.07	0.999
b1[1,12]	6.6	0.0249	1.93	3.39	6.38	10.7	6020.0	1.22	1.0
b1[2,12]	5.28	0.0286	2.01	1.96	5.03	9.65	4945.0	1.0	1.0
b1[1,13]	15.0	0.0459	3.07	9.36	14.8	21.3	4481.0	0.909	1.0
b1[2,13]	14.2	0.0479	3.19	8.31	14.0	20.8	4440.0	0.9	1.0
b1[1,14]	6.74	0.0237	1.88	3.38	6.61	10.6	6298.0	1.28	1.0
b1[2,14]	7.01	0.0193	1.61	4.14	6.86	10.4	6952.0	1.41	1.0
b1[1,15]	2.46	0.0396	1.55	0.509	2.16	6.27	1531.0	0.31	1.0
b1[2,15]	3.63	0.0315	1.55	1.57	3.31	7.4	2422.0	0.491	1.0
b1[1,16]	11.7	0.0414	2.92	6.55	11.5	17.8	4973.0	1.01	1.0
b1[2,16]	11.3	0.0404	2.91	5.97	11.0	17.4	5204.0	1.05	1.0
b1[1,17]	2.74	0.046	2.28	0.138	2.07	8.58	2455.0	0.498	1.0
b1[2,17]	2.35	0.0443	2.29	-0.632	1.75	7.98	2667.0	0.541	1.0
b1[1,18]	9.75	0.0281	2.14	5.79	9.6	14.2	5795.0	1.17	1.0
b1[2,18]	10.8	0.0262	2.21	6.6	10.6	15.1	7084.0	1.44	1.0
b1[1,19]	6.23	0.03	1.54	3.54	6.09	9.41	2630.0	0.533	1.0
b1[2,19]	3.06	0.0309	1.0	1.5	2.98	4.77	1048.0	0.212	1.0
b1[1,20]	2.99	0.0354	2.01	0.502	2.48	8.0	3221.0	0.653	1.0
b1[2,20]	3.12	0.0332	2.04	0.49	2.62	8.11	3769.0	0.764	1.0
b1[1,21]	2.66	0.0554	2.72	-1.15	2.05	9.12	2411.0	0.489	1.0
b1[2,21]	4.18	0.034	2.03	1.63	3.66	9.27	3558.0	0.721	1.0
b1[1,22]	6.77	0.0264	1.85	3.61	6.57	10.7	4872.0	0.988	0.999
b1[2,22]	5.7	0.025	1.65	2.96	5.52	9.26	4356.0	0.883	1.0
b1[1,23]	11.5	0.0442	2.98	6.31	11.2	17.6	4553.0	0.923	1.0
b1[2,23]	10.3	0.0536	3.26	4.44	10.1	17.0	3689.0	0.748	1.0
b1[1,24]	4.3	0.0216	1.31	2.26	4.11	7.25	3666.0	0.743	1.0
b1[2,24]	4.48	0.022	1.28	2.45	4.31	7.16	3384.0	0.686	1.0
b1[1,25]	1.25	0.0592	2.58	-2.03	0.504	7.97	1892.0	0.384	1.0
b1[2,25]	2.91	0.0383	2.01	0.363	2.41	8.04	2764.0	0.56	1.0
b1[1,26]	4.43	0.026	1.65	2.12	4.13	8.34	4050.0	0.821	1.0
b1[2,26]	3.91	0.0293	1.83	0.93	3.64	7.9	3883.0	0.787	1.0
b1[1,27]	7.95	0.0398	2.69	3.73	7.58	14.0	4568.0	0.926	1.0
b1[2,27]	5.7	0.0731	3.41	1.14	5.12	13.0	2180.0	0.442	1.0
b1[1,28]	5.63	0.0306	2.1	2.53	5.26	10.5	4724.0	0.958	1.0
b1[2,28]	4.4	0.0418	2.47	0.955	3.92	10.0	3473.0	0.704	1.0
b1[1,29]	6.29	0.0255	1.77	3.42	6.04	10.2	4812.0	0.976	1.0
b1[2,29]	6.28	0.0289	2.03	3.02	6.03	10.7	4933.0	1.0	1.0
b1[1,30]	4.34	0.0445	2.6	0.832	3.78	10.5	3418.0	0.693	1.0
b1[2,30]	4.48	0.0398	2.33	1.45	3.91	10.1	3440.0	0.697	1.0
b1[1,31]	1.52	0.05	2.18	-1.81	1.14	6.72	1901.0	0.385	1.0
b1[2,31]	1.54	0.0458	2.03	-1.36	1.16	6.61	1959.0	0.397	1.0
b1[1,32]	4.52	0.024	1.69	1.99	4.21	8.45	4979.0	1.01	1.0
b1[2,32]	4.31	0.0244	1.72	1.88	3.95	8.25	4966.0	1.01	1.0
b1[1,33]	3.15	0.0293	1.53	1.1	2.84	6.77	2714.0	0.55	1.0
b1[2,33]	3.9	0.0254	1.53	1.41	3.73	7.15	3645.0	0.739	1.0
b1[1,34]	5.03	0.0462	2.53	1.27	4.56	10.9	2999.0	0.608	1.0
b1[2,34]	5.93	0.0358	2.22	2.62	5.53	11.1	3823.0	0.775	1.0
b1[1,35]	12.5	0.0345	2.69	7.71	12.3	18.1	6063.0	1.23	1.0
b1[2,35]	11.6	0.0357	2.73	6.75	11.4	17.2	5840.0	1.18	1.0
b1[1,36]	10.3	0.036	2.66	5.6	10.2	15.9	5452.0	1.11	1.0
b1[2,36]	10.8	0.0299	2.41	6.62	10.6	15.8	6479.0	1.31	1.0
b1[1,37]	3.77	0.0235	1.48	1.72	3.48	7.22	3957.0	0.802	1.0
b1[2,37]	3.75	0.0229	1.53	1.4	3.51	7.29	4449.0	0.902	1.0
b1[1,38]	8.16	0.0348	2.52	3.83	7.93	13.4	5227.0	1.06	0.999
b1[2,38]	8.77	0.0266	2.15	4.95	8.62	13.3	6554.0	1.33	0.999
b1[1,39]	10.1	0.0317	2.56	5.59	9.92	15.5	6528.0	1.32	1.0
b1[2,39]	10.4	0.0283	2.44	6.09	10.1	15.5	7441.0	1.51	1.0
b1[1,40]	12.1	0.0341	2.69	7.31	11.9	17.5	6231.0	1.26	1.0
b1[2,40]	10.9	0.0461	2.99	5.44	10.8	17.1	4217.0	0.855	1.0
b1[1,41]	4.54	0.0332	2.0	1.86	4.14	9.26	3616.0	0.733	1.0
b1[2,41]	3.99	0.0346	1.94	1.58	3.52	8.92	3155.0	0.64	1.0
b1[1,42]	12.9	0.0431	3.0	7.49	12.7	19.1	4846.0	0.982	1.0
b1[2,42]	12.8	0.0392	2.9	7.44	12.6	18.8	5473.0	1.11	1.0
b1[1,43]	2.85	0.0432	2.32	0.0942	2.21	8.54	2887.0	0.585	1.0
b1[2,43]	3.14	0.0377	2.13	0.251	2.63	8.25	3190.0	0.647	1.0
b1[1,44]	4.12	0.0386	2.26	0.883	3.64	9.56	3429.0	0.695	1.0
b1[2,44]	4.7	0.0316	2.07	1.75	4.3	9.53	4287.0	0.869	1.0
b1[1,45]	5.71	0.0348	2.33	2.08	5.32	10.8	4495.0	0.911	1.0
b1[2,45]	5.76	0.0303	2.15	2.23	5.46	10.5	5019.0	1.02	1.0
b1[1,46]	6.74	0.0467	3.01	1.42	6.44	13.2	4153.0	0.842	1.0
b1[2,46]	7.2	0.0381	2.64	2.88	6.86	13.0	4815.0	0.976	1.0
b1[1,47]	9.88	0.0359	2.59	5.39	9.64	15.4	5217.0	1.06	1.0
b1[2,47]	9.09	0.036	2.58	4.75	8.82	14.7	5138.0	1.04	1.0
b1[1,48]	2.66	0.0387	2.1	0.132	2.13	7.89	2950.0	0.598	1.0
b1[2,48]	1.96	0.0447	2.38	-1.17	1.39	7.68	2826.0	0.573	1.0
b1[1,49]	5.05	0.0333	2.05	2.26	4.6	10.0	3782.0	0.767	1.0
b1[2,49]	4.09	0.0361	2.13	1.39	3.56	9.31	3475.0	0.705	1.0
b1[1,50]	4.64	0.0447	2.73	0.706	4.17	11.1	3734.0	0.757	1.0
b1[2,50]	3.88	0.0503	2.87	-0.0695	3.27	10.5	3267.0	0.662	1.0
b1[1,51]	3.07	0.0228	1.26	1.02	2.95	5.6	3051.0	0.619	1.0
b1[2,51]	0.642	0.0488	1.85	-1.99	0.252	5.17	1429.0	0.29	1.0
b1[1,52]	8.06	0.0328	2.32	4.2	7.77	13.1	4997.0	1.01	1.0
b1[2,52]	8.49	0.0286	2.31	4.58	8.22	13.3	6501.0	1.32	1.0
b1[1,53]	3.36	0.0322	1.65	1.31	2.98	7.31	2630.0	0.533	1.0
b1[2,53]	4.26	0.0249	1.49	2.09	3.99	7.71	3600.0	0.73	1.0
b1[1,54]	1.29	0.0509	2.29	-1.97	0.809	6.78	2019.0	0.409	1.0
b1[2,54]	3.08	0.0279	1.64	0.601	2.84	6.87	3441.0	0.698	1.0
b1[1,55]	3.1	0.0371	1.82	0.774	2.7	7.59	2417.0	0.49	1.0
b1[2,55]	1.41	0.0507	2.16	-1.15	0.819	7.18	1818.0	0.369	1.0
b1[1,56]	5.58	0.0238	1.69	2.81	5.38	9.24	5043.0	1.02	1.0
b1[2,56]	4.36	0.0258	1.48	2.26	4.11	7.79	3300.0	0.669	1.0
b1[1,57]	5.94	0.0191	1.56	3.29	5.78	9.2	6682.0	1.35	1.0
b1[2,57]	5.42	0.0244	1.8	2.56	5.16	9.32	5467.0	1.11	1.0
b1[1,58]	2.5	0.0601	2.64	-0.756	1.72	9.28	1934.0	0.392	1.0
b1[2,58]	3.92	0.0402	2.27	0.316	3.58	9.17	3209.0	0.651	1.0
b1[1,59]	9.25	0.0372	2.59	4.69	9.01	14.7	4868.0	0.987	1.0
