subID TrialNo Threat(1)/Safe(2) Fractal CodeOutcomeRightSide CodeOutcomeWrongSide CodeOutcomeNoPress ActualOutcome Circleside(1Left2Right) response Accuracy rt 
26 1 2 2 0 -1 -1 0 2 2 1 5.473370e-01 
26 2 2 1 1 0 0 1 2 2 1 4.995723e-01 
26 3 2 2 -1 0 0 0 2 0 0 NaN 
26 4 2 1 1 0 0 1 2 2 1 3.857403e-01 
26 5 2 4 -1 -1 0 -1 1 1 0 4.261402e-01 
26 6 2 4 -1 -1 0 -1 2 2 0 3.360228e-01 
26 7 2 4 -1 -1 0 0 2 0 1 NaN 
26 8 2 3 0 0 1 0 2 2 0 5.802078e-01 
26 9 2 4 -1 -1 0 0 1 0 1 NaN 
26 10 2 3 0 0 1 0 1 1 0 3.784434e-01 
26 11 2 3 0 0 1 0 2 2 0 3.498129e-01 
26 12 2 1 1 0 0 1 1 1 1 3.065965e-01 
26 13 2 2 0 -1 -1 0 1 1 1 4.340363e-01 
26 14 2 3 0 0 1 0 1 1 0 3.883910e-01 
26 15 2 2 0 -1 -1 0 2 2 1 5.522512e-01 
26 16 2 2 0 -1 -1 0 1 1 1 3.992111e-01 
26 17 2 4 0 0 -1 0 2 2 0 4.774699e-01 
26 18 2 3 1 1 0 0 1 0 1 NaN 
26 19 2 1 0 1 1 0 1 1 1 2.952708e-01 
26 20 2 1 1 0 0 1 1 1 1 9.736434e-01 
26 1 1 3 1 1 0 1 1 1 0 2.880334e-01 
26 2 1 2 0 -1 -1 -1 1 0 0 NaN 
26 3 1 3 0 0 1 0 1 1 0 3.279308e-01 
26 4 1 1 1 0 0 1 1 1 1 2.872846e-01 
26 5 1 3 0 0 1 0 2 2 0 3.430292e-01 
26 6 1 2 -1 0 0 -1 2 2 1 5.340876e-01 
26 7 1 3 0 0 1 0 1 1 0 4.748696e-01 
26 8 1 4 0 0 -1 0 2 2 0 3.431318e-01 
26 9 1 2 0 -1 -1 -1 2 0 0 NaN 
26 10 1 2 0 -1 -1 -1 2 0 0 NaN 
26 11 1 3 0 0 1 0 2 2 0 6.177130e-01 
26 12 1 4 -1 -1 0 -1 1 1 0 3.695074e-01 
26 13 1 4 -1 -1 0 -1 2 2 0 6.575531e-01 
26 14 1 2 0 -1 -1 0 1 1 1 2.971644e-01 
26 15 1 1 1 0 0 1 2 2 1 3.125028e-01 
26 16 1 1 1 0 0 1 1 1 1 3.180510e-01 
