subject,session,block,trial,exposure,stimulus,valence,action,robot,rune,color,correct,choice,rt,accuracy,sham,outcome,totalkeys
0ubclurpshlgyru3cwo3stun,1,2,185,17,8,win,go,gw,rune_01_ger,yellow,1,1,0.394,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,1,2,186,17,6,lose,go,gal,rune_01_ear,blue,1,1,0.462,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,2,187,17,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,2,188,17,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,2,189,18,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,1,2,190,18,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,1,2,191,18,6,lose,go,gal,rune_01_ear,blue,1,1,0.511,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,2,192,18,8,win,go,gw,rune_01_ger,yellow,1,1,0.369,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,2,193,19,6,lose,go,gal,rune_01_ear,blue,1,1,0.431,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,1,2,194,19,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,2,195,19,8,win,go,gw,rune_01_ger,yellow,1,1,0.319,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,2,196,19,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,2,197,20,8,win,go,gw,rune_01_ger,yellow,1,1,0.415,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,2,198,20,6,lose,go,gal,rune_01_ear,blue,1,1,0.45,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,2,199,20,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,2,200,20,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,2,201,21,6,lose,go,gal,rune_01_ear,blue,1,1,0.497,1,0.0,-1,1
