subject,session,block,runsheet,trial,exposure,stimulus,valence,action,robot,rune,rune_set,correct,choice,rt,accuracy,sham,outcome,total_keys
02lqpjp4pevk73p8f7ipewf9,1,1,1b,1,1,13,win,go,gw,W,bacs2,1,1,0.551,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,1,1,1b,2,1,23,lose,no-go,ngal,X,bacs2,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,1,1,1b,3,1,18,win,no-go,ngw,J,bacs2,0,1,1.113,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,1,1,1b,4,1,14,win,go,gw,Z,bacs2,1,1,0.945,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,1,1,1b,5,2,14,win,go,gw,Z,bacs2,1,1,0.553,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,1,1,1b,6,2,18,win,no-go,ngw,J,bacs2,0,1,1.138,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,1,1,1b,7,2,13,win,go,gw,W,bacs2,1,1,0.97,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,1,1,1b,8,2,23,lose,no-go,ngal,X,bacs2,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,1,1,1b,9,3,14,win,go,gw,Z,bacs2,1,1,0.722,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,1,1,1b,10,3,13,win,go,gw,W,bacs2,1,1,0.996,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,1,1,1b,11,3,18,win,no-go,ngw,J,bacs2,0,0,,1,1.0,+1,0
02lqpjp4pevk73p8f7ipewf9,1,1,1b,12,3,23,lose,no-go,ngal,X,bacs2,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,1,1,1b,13,4,13,win,go,gw,W,bacs2,1,1,0.733,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,1,1,1b,14,4,18,win,no-go,ngw,J,bacs2,0,1,1.07,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,1,1,1b,15,4,14,win,go,gw,Z,bacs2,1,1,1.044,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,1,1,1b,16,4,23,lose,no-go,ngal,X,bacs2,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,1,1,1b,17,5,14,win,go,gw,Z,bacs2,1,0,,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,1,1,1b,18,5,18,win,no-go,ngw,J,bacs2,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,1,1,1b,19,5,23,lose,no-go,ngal,X,bacs2,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,1,1,1b,20,5,13,win,go,gw,W,bacs2,1,1,0.497,1,0.0,+10,1
02lqpjp4pevk73p8f7ipewf9,1,1,1b,21,6,18,win,no-go,ngw,J,bacs2,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,1,1,1b,22,6,23,lose,no-go,ngal,X,bacs2,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,1,1,1b,23,6,13,win,go,gw,W,bacs2,1,1,0.596,1,0.0,+10,1
