subID TrialNo Threat(1)/Safe(2) Fractal CodeOutcomeRightSide CodeOutcomeWrongSide CodeOutcomeNoPress ActualOutcome Circleside(1Left2Right) response Accuracy rt 
9 1 2 3 1 1 0 1 1 1 0 5.348558e-01 
9 2 2 1 0 1 1 0 1 1 1 4.105858e-01 
9 3 2 4 -1 -1 0 -1 1 1 0 4.832928e-01 
9 4 2 4 -1 -1 0 0 2 0 1 NaN 
9 5 2 3 0 0 1 0 1 1 0 4.261631e-01 
9 6 2 4 -1 -1 0 -1 2 2 0 4.425302e-01 
9 7 2 3 0 0 1 0 1 1 0 8.747558e-01 
9 8 2 3 0 0 1 1 2 0 1 NaN 
9 9 2 1 1 0 0 1 2 2 1 2.951054e-01 
9 10 2 2 0 -1 -1 0 2 2 1 3.890787e-01 
9 11 2 4 0 0 -1 -1 2 0 1 NaN 
9 12 2 3 0 0 1 0 2 2 0 3.531892e-01 
9 13 2 2 -1 0 0 -1 2 2 1 6.292029e-01 
9 14 2 2 0 -1 -1 0 1 1 1 4.966432e-01 
9 15 2 1 1 0 0 1 2 2 1 3.241183e-01 
9 16 2 4 -1 -1 0 0 1 0 1 NaN 
9 17 2 2 0 -1 -1 -1 2 0 0 NaN 
9 18 2 1 1 0 0 1 1 1 1 3.055844e-01 
9 19 2 2 0 -1 -1 0 1 1 1 3.649867e-01 
9 20 2 1 1 0 0 1 1 1 1 3.427536e-01 
9 1 1 1 1 0 0 1 1 1 1 3.699791e-01 
9 2 1 4 -1 -1 0 -1 2 2 0 4.870445e-01 
9 3 1 4 -1 -1 0 0 1 0 1 NaN 
9 4 1 2 0 -1 -1 0 2 2 1 3.403216e-01 
9 5 1 3 0 0 1 0 2 2 0 3.456002e-01 
9 6 1 1 1 0 0 0 1 0 0 NaN 
9 7 1 1 0 1 1 0 1 1 1 3.601467e-01 
9 8 1 1 1 0 0 0 2 0 0 NaN 
9 9 1 2 -1 0 0 -1 2 2 1 3.288624e-01 
9 10 1 2 0 -1 -1 -1 1 0 0 NaN 
9 11 1 4 -1 -1 0 -1 1 1 0 2.986944e-01 
9 12 1 3 0 0 1 0 1 1 0 3.083078e-01 
9 13 1 4 -1 -1 0 -1 2 2 0 3.151895e-01 
9 14 1 3 1 1 0 1 1 1 0 3.000220e-01 
9 15 1 3 0 0 1 0 2 2 0 3.149759e-01 
9 16 1 3 0 0 1 0 1 1 0 3.289785e-01 
9 17 1 2 0 -1 -1 0 2 2 1 4.655378e-01 
9 18 1 2 0 -1 -1 0 1 1 1 3.508207e-01 
9 19 1 1 1 0 0 0 2 0 0 NaN 
9 20 1 4 0 0 -1 -1 2 0 1 NaN 
9 1 2 3 0 0 1 0 1 1 0 4.003535e-01 
9 2 2 3 0 0 1 1 2 0 1 NaN 
9 3 2 4 0 0 -1 0 2 2 0 3.452946e-01 
9 4 2 1 1 0 0 1 1 1 1 3.207270e-01 
9 5 2 4 -1 -1 0 0 1 0 1 NaN 
9 6 2 3 1 1 0 0 1 0 1 NaN 
9 7 2 1 0 1 1 0 1 1 1 2.978714e-01 
9 8 2 3 0 0 1 1 1 0 1 NaN 
9 9 2 1 1 0 0 1 1 1 1 2.919245e-01 
9 10 2 4 -1 -1 0 0 1 0 1 NaN 
9 11 2 2 0 -1 -1 0 2 2 1 3.694600e-01 
9 12 2 2 -1 0 0 -1 2 2 1 4.304852e-01 
9 13 2 1 1 0 0 1 2 2 1 3.532271e-01 
9 14 2 2 0 -1 -1 -1 1 0 0 NaN 
9 15 2 1 1 0 0 1 2 2 1 2.758523e-01 
9 16 2 4 -1 -1 0 -1 2 2 0 4.824942e-01 
9 17 2 3 0 0 1 0 2 2 0 3.615414e-01 
9 18 2 2 0 -1 -1 0 2 2 1 3.158033e-01 
9 19 2 4 -1 -1 0 -1 2 2 0 3.203717e-01 
9 20 2 2 0 -1 -1 -1 1 0 0 NaN 
9 1 1 3 1 1 0 1 1 1 0 3.254000e-01 
9 2 1 3 0 0 1 0 2 2 0 3.102196e-01 
9 3 1 4 -1 -1 0 -1 1 1 0 3.533933e-01 
9 4 1 1 1 0 0 1 1 1 1 3.755581e-01 
9 5 1 2 0 -1 -1 -1 1 0 0 NaN 
9 6 1 1 1 0 0 1 2 2 1 2.872337e-01 
9 7 1 3 0 0 1 0 2 2 0 2.935244e-01 
9 8 1 1 1 0 0 1 1 1 1 4.548827e-01 
9 9 1 4 -1 -1 0 -1 2 2 0 5.172559e-01 
9 10 1 2 0 -1 -1 0 1 1 1 3.477050e-01 
9 11 1 3 0 0 1 0 1 1 0 3.220194e-01 
9 12 1 4 0 0 -1 -1 2 0 1 NaN 
9 13 1 2 0 -1 -1 0 2 2 1 2.853164e-01 
9 14 1 1 1 0 0 0 2 0 0 NaN 
9 15 1 3 0 0 1 0 1 1 0 3.148050e-01 
9 16 1 2 -1 0 0 0 2 0 0 NaN 
9 17 1 4 -1 -1 0 -1 1 1 0 5.000136e-01 
9 18 1 1 0 1 1 0 1 1 1 3.151918e-01 
9 19 1 2 0 -1 -1 0 2 2 1 3.873489e-01 
9 20 1 4 -1 -1 0 -1 2 2 0 4.807996e-01 
9 1 2 1 1 0 0 1 2 2 1 3.748030e-01 
9 2 2 3 1 1 0 1 1 1 0 3.604325e-01 
9 3 2 4 -1 -1 0 -1 2 2 0 6.600712e-01 
9 4 2 1 1 0 0 1 2 2 1 3.046650e-01 
9 5 2 2 0 -1 -1 0 2 2 1 4.045939e-01 
9 6 2 4 -1 -1 0 -1 2 2 0 3.468492e-01 
9 7 2 2 -1 0 0 0 2 0 0 NaN 
9 8 2 2 0 -1 -1 -1 2 0 0 NaN 
9 9 2 1 1 0 0 1 1 1 1 2.977202e-01 
9 10 2 3 0 0 1 0 2 2 0 6.572929e-01 
9 11 2 1 1 0 0 1 1 1 1 3.113154e-01 
9 12 2 2 0 -1 -1 0 1 1 1 3.682185e-01 
9 13 2 4 0 0 -1 -1 2 0 1 NaN 
9 14 2 2 0 -1 -1 0 1 1 1 4.134525e-01 
9 15 2 3 0 0 1 0 1 1 0 3.274074e-01 
9 16 2 3 0 0 1 0 2 2 0 2.807089e-01 
9 17 2 3 0 0 1 0 1 1 0 3.636181e-01 
9 18 2 1 0 1 1 0 1 1 1 3.187248e-01 
9 19 2 4 -1 -1 0 0 1 0 1 NaN 
9 20 2 4 -1 -1 0 0 1 0 1 NaN 
9 1 1 2 0 -1 -1 0 2 2 1 3.160129e-01 
9 2 1 1 1 0 0 0 2 0 0 NaN 
9 3 1 2 -1 0 0 0 2 0 0 NaN 
9 4 1 1 1 0 0 0 2 0 0 NaN 
9 5 1 4 -1 -1 0 -1 1 1 0 3.700518e-01 
9 6 1 4 -1 -1 0 0 2 0 1 NaN 
9 7 1 4 -1 -1 0 0 2 0 1 NaN 
9 8 1 3 0 0 1 0 2 2 0 2.772824e-01 
9 9 1 4 -1 -1 0 0 1 0 1 NaN 
9 10 1 3 0 0 1 0 1 1 0 2.868445e-01 
9 11 1 3 0 0 1 0 2 2 0 2.624979e-01 
9 12 1 1 1 0 0 0 1 0 0 NaN 
9 13 1 2 0 -1 -1 0 1 1 1 3.123587e-01 
9 14 1 3 0 0 1 0 1 1 0 2.966449e-01 
9 15 1 2 0 -1 -1 -1 2 0 0 NaN 
9 16 1 2 0 -1 -1 0 1 1 1 4.558072e-01 
9 17 1 4 0 0 -1 -1 2 0 1 NaN 
9 18 1 3 1 1 0 1 1 1 0 2.863392e-01 
9 19 1 1 0 1 1 0 1 1 1 3.430426e-01 
9 20 1 1 1 0 0 1 1 1 1 3.465176e-01 
9 1 2 3 1 1 0 1 1 1 0 3.288849e-01 
9 2 2 2 0 -1 -1 0 1 1 1 3.428231e-01 
9 3 2 3 0 0 1 0 1 1 0 3.758522e-01 
9 4 2 1 1 0 0 1 1 1 1 3.000934e-01 
9 5 2 3 0 0 1 1 2 0 1 NaN 
9 6 2 2 -1 0 0 0 2 0 0 NaN 
9 7 2 3 0 0 1 0 1 1 0 3.112372e-01 
9 8 2 4 0 0 -1 -1 2 0 1 NaN 
9 9 2 2 0 -1 -1 -1 2 0 0 NaN 
9 10 2 2 0 -1 -1 0 2 2 1 2.927712e-01 
9 11 2 3 0 0 1 0 2 2 0 3.207136e-01 
9 12 2 4 -1 -1 0 0 1 0 1 NaN 
9 13 2 4 -1 -1 0 0 2 0 1 NaN 
9 14 2 2 0 -1 -1 -1 1 0 0 NaN 
9 15 2 1 1 0 0 1 2 2 1 2.968802e-01 
9 16 2 1 1 0 0 1 1 1 1 3.048387e-01 
9 17 2 1 0 1 1 0 1 1 1 3.337068e-01 
9 18 2 1 1 0 0 1 2 2 1 2.819717e-01 
9 19 2 4 -1 -1 0 -1 2 2 0 3.639304e-01 
9 20 2 4 -1 -1 0 -1 1 1 0 7.029059e-01 
9 1 1 4 -1 -1 0 0 1 0 1 NaN 
9 2 1 4 -1 -1 0 0 2 0 1 NaN 
9 3 1 3 0 0 1 0 1 1 0 3.076991e-01 
9 4 1 2 0 -1 -1 -1 2 0 0 NaN 
9 5 1 1 1 0 0 0 1 0 0 NaN 
9 6 1 2 0 -1 -1 -1 1 0 0 NaN 
9 7 1 4 -1 -1 0 -1 1 1 0 4.088426e-01 
9 8 1 3 0 0 1 0 2 2 0 2.610495e-01 
9 9 1 2 0 -1 -1 0 2 2 1 2.560583e-01 
9 10 1 3 1 1 0 1 1 1 0 3.035779e-01 
9 11 1 1 1 0 0 0 2 0 0 NaN 
9 12 1 1 0 1 1 1 1 0 0 NaN 
9 13 1 2 0 -1 -1 0 1 1 1 4.070947e-01 
9 14 1 3 0 0 1 0 2 2 0 3.184450e-01 
9 15 1 4 0 0 -1 0 2 2 0 3.333969e-01 
9 16 1 1 1 0 0 1 2 2 1 4.641775e-01 
9 17 1 4 -1 -1 0 -1 2 2 0 3.342626e-01 
9 18 1 1 1 0 0 0 1 0 0 NaN 
9 19 1 2 -1 0 0 -1 2 2 1 3.143419e-01 
9 20 1 3 0 0 1 0 1 1 0 3.268172e-01 
9 1 2 3 0 0 1 0 1 1 0 3.229913e-01 
9 2 2 2 0 -1 -1 -1 1 0 0 NaN 
9 3 2 2 0 -1 -1 -1 1 0 0 NaN 
9 4 2 1 0 1 1 0 1 1 1 3.182302e-01 
9 5 2 4 -1 -1 0 -1 1 1 0 6.289760e-01 
9 6 2 2 -1 0 0 -1 2 2 1 3.823668e-01 
9 7 2 4 -1 -1 0 0 1 0 1 NaN 
9 8 2 4 -1 -1 0 0 2 0 1 NaN 
9 9 2 1 1 0 0 1 1 1 1 3.085312e-01 
9 10 2 4 -1 -1 0 0 2 0 1 NaN 
9 11 2 4 0 0 -1 0 2 2 0 3.188425e-01 
9 12 2 1 1 0 0 1 2 2 1 2.461181e-01 
9 13 2 3 0 0 1 0 1 1 0 5.460627e-01 
9 14 2 1 1 0 0 1 2 2 1 2.863380e-01 
9 15 2 2 0 -1 -1 0 2 2 1 2.822405e-01 
9 16 2 1 1 0 0 1 1 1 1 3.191950e-01 
9 17 2 2 0 -1 -1 0 2 2 1 2.941382e-01 
9 18 2 3 1 1 0 0 1 0 1 NaN 
9 19 2 3 0 0 1 1 2 0 1 NaN 
9 20 2 3 0 0 1 1 2 0 1 NaN 
9 1 1 4 -1 -1 0 0 1 0 1 NaN 
9 2 1 3 0 0 1 0 2 2 0 2.662069e-01 
9 3 1 4 0 0 -1 -1 2 0 1 NaN 
9 4 1 4 -1 -1 0 0 1 0 1 NaN 
9 5 1 3 1 1 0 1 1 1 0 2.630047e-01 
9 6 1 2 0 -1 -1 0 2 2 1 2.572813e-01 
9 7 1 1 0 1 1 1 1 0 0 NaN 
9 8 1 4 -1 -1 0 -1 2 2 0 3.101232e-01 
9 9 1 1 1 0 0 0 1 0 0 NaN 
9 10 1 2 0 -1 -1 -1 1 0 0 NaN 
9 11 1 3 0 0 1 0 1 1 0 2.667043e-01 
9 12 1 3 0 0 1 0 1 1 0 3.686824e-01 
