subID TrialNo Threat(1)/Safe(2) Fractal CodeOutcomeRightSide CodeOutcomeWrongSide CodeOutcomeNoPress ActualOutcome Circleside(1Left2Right) response Accuracy rt 
239 1 2 4 -1 -1 0 -1 2 1 0 1.621894e-01 
239 2 2 1 1 0 0 1 2 2 1 3.892783e-01 
239 3 2 3 0 0 1 0 2 2 0 4.151147e-01 
239 4 2 2 0 -1 -1 0 2 2 1 2.894571e-01 
239 5 2 4 -1 -1 0 0 2 0 1 NaN 
239 6 2 2 -1 0 0 -1 2 2 1 3.943066e-01 
239 7 2 4 -1 -1 0 0 1 0 1 NaN 
239 8 2 1 1 0 0 1 1 1 1 3.725893e-01 
239 9 2 3 0 0 1 0 1 1 0 4.765827e-01 
239 10 2 2 0 -1 -1 0 1 1 1 3.306097e-01 
239 11 2 1 1 0 0 1 1 1 1 3.627278e-01 
239 12 2 1 1 0 0 1 2 2 1 3.065334e-01 
239 13 2 4 0 0 -1 -1 2 0 1 NaN 
239 14 2 4 -1 -1 0 0 1 0 1 NaN 
239 15 2 3 0 0 1 0 1 1 0 3.779501e-01 
239 16 2 2 0 -1 -1 0 1 1 1 5.685364e-01 
239 17 2 3 0 0 1 1 2 0 1 NaN 
239 18 2 2 0 -1 -1 0 2 2 1 3.863778e-01 
239 19 2 1 0 1 1 0 1 1 1 3.705426e-01 
239 20 2 3 1 1 0 1 1 1 0 3.948470e-01 
239 1 1 4 0 0 -1 0 2 2 0 3.839602e-01 
239 2 1 2 0 -1 -1 0 1 1 1 3.416464e-01 
239 3 1 2 0 -1 -1 -1 1 0 0 NaN 
239 4 1 1 1 0 0 1 2 2 1 3.542803e-01 
239 5 1 4 -1 -1 0 -1 1 1 0 3.465905e-01 
239 6 1 3 0 0 1 0 2 2 0 4.502880e-01 
239 7 1 1 0 1 1 0 1 1 1 4.049190e-01 
239 8 1 4 -1 -1 0 -1 2 2 0 3.813046e-01 
239 9 1 3 0 0 1 0 2 2 0 4.716180e-01 
239 10 1 4 -1 -1 0 -1 1 1 0 3.807506e-01 
239 11 1 4 -1 -1 0 0 2 0 1 NaN 
239 12 1 1 1 0 0 1 1 1 1 3.347641e-01 
239 13 1 2 -1 0 0 -1 2 2 1 3.639918e-01 
239 14 1 1 1 0 0 0 2 0 0 NaN 
239 15 1 1 1 0 0 0 1 0 0 NaN 
239 16 1 3 0 0 1 0 1 1 0 3.989024e-01 
239 17 1 2 0 -1 -1 0 2 2 1 4.005030e-01 
239 18 1 3 1 1 0 1 1 1 0 3.511066e-01 
239 19 1 3 0 0 1 0 1 1 0 3.019160e-01 
239 20 1 2 0 -1 -1 -1 2 0 0 NaN 
239 1 2 2 0 -1 -1 -1 2 1 0 1.482262e-01 
239 2 2 3 0 0 1 0 2 2 0 4.707869e-01 
239 3 2 2 0 -1 -1 0 1 1 1 3.734043e-01 
239 4 2 1 1 0 0 1 2 2 1 3.988685e-01 
239 5 2 4 0 0 -1 -1 2 0 1 NaN 
239 6 2 4 -1 -1 0 -1 1 1 0 4.579726e-01 
239 7 2 4 -1 -1 0 0 1 0 1 NaN 
239 8 2 1 1 0 0 1 1 1 1 3.855046e-01 
239 9 2 1 1 0 0 1 1 1 1 4.015649e-01 
239 10 2 2 -1 0 0 -1 2 2 1 8.305438e-01 
239 11 2 3 0 0 1 1 1 0 1 NaN 
239 12 2 2 0 -1 -1 -1 2 0 0 NaN 
239 13 2 1 1 0 0 1 2 2 1 3.922359e-01 
239 14 2 1 0 1 1 0 1 1 1 3.462094e-01 
239 15 2 3 1 1 0 0 1 0 1 NaN 
239 16 2 2 0 -1 -1 -1 1 0 0 NaN 
239 17 2 4 -1 -1 0 0 2 0 1 NaN 
239 18 2 3 0 0 1 0 2 2 0 4.081424e-01 
239 19 2 4 -1 -1 0 0 2 0 1 NaN 
239 20 2 3 0 0 1 0 1 1 0 3.913428e-01 
239 1 1 1 1 0 0 1 1 1 1 4.531268e-01 
239 2 1 4 -1 -1 0 0 1 0 1 NaN 
239 3 1 2 0 -1 -1 0 2 2 1 3.351186e-01 
239 4 1 2 0 -1 -1 0 2 2 1 4.054375e-01 
239 5 1 1 1 0 0 1 1 1 1 3.321024e-01 
239 6 1 4 0 0 -1 0 2 2 0 3.574937e-01 
239 7 1 4 -1 -1 0 -1 1 1 0 4.180128e-01 
239 8 1 3 0 0 1 0 2 2 0 3.692273e-01 
239 9 1 3 0 0 1 0 2 2 0 3.119035e-01 
239 10 1 1 1 0 0 1 2 2 1 3.443030e-01 
239 11 1 2 -1 0 0 -1 2 2 1 3.099461e-01 
239 12 1 3 1 1 0 1 1 1 0 3.389895e-01 
239 13 1 4 -1 -1 0 0 2 0 1 NaN 
239 14 1 1 1 0 0 1 2 2 1 3.730238e-01 
239 15 1 2 0 -1 -1 -1 1 0 0 NaN 
239 16 1 3 0 0 1 0 1 1 0 3.505837e-01 
