subID TrialNo Threat(1)/Safe(2) Fractal CodeOutcomeRightSide CodeOutcomeWrongSide CodeOutcomeNoPress ActualOutcome Circleside(1Left2Right) response Accuracy rt 
55 1 2 3 1 1 0 1 1 2 0 2.233982e-01 
55 2 2 1 0 1 1 0 1 1 1 4.907797e-01 
55 3 2 4 -1 -1 0 -1 1 1 0 6.288147e-01 
55 4 2 4 -1 -1 0 -1 2 2 0 6.627838e-01 
55 5 2 3 0 0 1 0 1 1 0 4.343126e-01 
55 6 2 4 -1 -1 0 0 2 0 1 NaN 
55 7 2 3 0 0 1 0 1 1 0 2.641457e-01 
55 8 2 3 0 0 1 0 2 2 0 3.549742e-01 
55 9 2 1 1 0 0 0 2 0 0 NaN 
55 10 2 2 0 -1 -1 -1 2 0 0 NaN 
55 11 2 4 0 0 -1 0 2 2 0 6.287804e-01 
55 12 2 3 0 0 1 1 2 0 1 NaN 
55 13 2 2 -1 0 0 -1 2 2 1 4.198772e-01 
55 14 2 2 0 -1 -1 -1 1 0 0 NaN 
55 15 2 1 1 0 0 1 2 2 1 4.181652e-01 
55 16 2 4 -1 -1 0 0 1 0 1 NaN 
55 17 2 2 0 -1 -1 -1 2 0 0 NaN 
55 18 2 1 1 0 0 1 1 1 1 2.793217e-01 
55 19 2 2 0 -1 -1 0 1 1 1 3.232734e-01 
55 20 2 1 1 0 0 1 1 1 1 3.505143e-01 
55 1 1 1 1 0 0 1 1 1 1 4.527177e-01 
55 2 1 4 -1 -1 0 0 2 0 1 NaN 
55 3 1 4 -1 -1 0 -1 1 1 0 3.699090e-01 
55 4 1 2 0 -1 -1 -1 2 0 0 NaN 
55 5 1 3 0 0 1 0 2 2 0 3.904995e-01 
55 6 1 1 1 0 0 1 1 1 1 4.085604e-01 
55 7 1 1 0 1 1 1 1 0 0 NaN 
55 8 1 1 1 0 0 0 2 0 0 NaN 
55 9 1 2 -1 0 0 -1 2 2 1 3.327282e-01 
55 10 1 2 0 -1 -1 -1 1 0 0 NaN 
55 11 1 4 -1 -1 0 -1 1 1 0 3.192709e-01 
55 12 1 3 0 0 1 1 1 0 1 NaN 
55 13 1 4 -1 -1 0 -1 2 2 0 2.644627e-01 
55 14 1 3 1 1 0 0 1 0 1 NaN 
55 15 1 3 0 0 1 0 2 2 0 6.536524e-01 
55 16 1 3 0 0 1 1 1 0 1 NaN 
55 17 1 2 0 -1 -1 -1 2 0 0 NaN 
55 18 1 2 0 -1 -1 0 1 1 1 3.592135e-01 
55 19 1 1 1 0 0 1 2 2 1 7.604113e-01 
55 20 1 4 0 0 -1 0 2 2 0 2.723353e-01 
55 1 2 3 0 0 1 0 1 2 0 1.376821e-01 
55 2 2 3 0 0 1 0 2 2 0 4.559618e-01 
55 3 2 4 0 0 -1 0 2 2 0 5.305351e-01 
55 4 2 1 1 0 0 0 1 0 0 NaN 
55 5 2 4 -1 -1 0 -1 1 1 0 2.678603e-01 
55 6 2 3 1 1 0 0 1 0 1 NaN 
55 7 2 1 0 1 1 1 1 0 0 NaN 
55 8 2 3 0 0 1 1 1 0 1 NaN 
55 9 2 1 1 0 0 0 1 0 0 NaN 
55 10 2 4 -1 -1 0 0 1 0 1 NaN 
55 11 2 2 0 -1 -1 0 2 2 1 2.666097e-01 
55 12 2 2 -1 0 0 -1 2 2 1 3.647693e-01 
55 13 2 1 1 0 0 0 2 0 0 NaN 
55 14 2 2 0 -1 -1 -1 1 0 0 NaN 
55 15 2 1 1 0 0 1 2 2 1 3.549434e-01 
55 16 2 4 -1 -1 0 0 2 0 1 NaN 
55 17 2 3 0 0 1 0 2 2 0 4.500946e-01 
55 18 2 2 0 -1 -1 0 2 2 1 2.979399e-01 
55 19 2 4 -1 -1 0 -1 2 2 0 5.842942e-01 
55 20 2 2 0 -1 -1 0 1 1 1 4.077254e-01 
55 1 1 3 1 1 0 1 1 1 0 4.348882e-01 
55 2 1 3 0 0 1 0 2 2 0 2.672757e-01 
55 3 1 4 -1 -1 0 0 1 0 1 NaN 
55 4 1 1 1 0 0 0 1 0 0 NaN 
55 5 1 2 0 -1 -1 -1 1 0 0 NaN 
55 6 1 1 1 0 0 1 2 2 1 2.558459e-01 
55 7 1 3 0 0 1 0 2 2 0 3.149065e-01 
55 8 1 1 1 0 0 0 1 0 0 NaN 
55 9 1 4 -1 -1 0 -1 2 2 0 3.088458e-01 
55 10 1 2 0 -1 -1 0 1 1 1 5.054196e-01 
55 11 1 3 0 0 1 0 1 1 0 2.765600e-01 
55 12 1 4 0 0 -1 0 2 2 0 3.045533e-01 
55 13 1 2 0 -1 -1 0 2 2 1 2.932640e-01 
55 14 1 1 1 0 0 0 2 0 0 NaN 
55 15 1 3 0 0 1 0 1 1 0 3.560440e-01 
55 16 1 2 -1 0 0 -1 2 2 1 2.248473e-01 
55 17 1 4 -1 -1 0 -1 1 1 0 3.039446e-01 
55 18 1 1 0 1 1 0 1 1 1 6.830151e-01 
55 19 1 2 0 -1 -1 -1 2 0 0 NaN 
55 20 1 4 -1 -1 0 -1 2 2 0 2.702099e-01 
55 1 2 1 1 0 0 1 2 2 1 3.804328e-01 
55 2 2 3 1 1 0 1 1 1 0 4.047833e-01 
55 3 2 4 -1 -1 0 0 2 0 1 NaN 
55 4 2 1 1 0 0 1 2 2 1 2.798301e-01 
