subID TrialNo Threat(1)/Safe(2) Fractal CodeOutcomeRightSide CodeOutcomeWrongSide CodeOutcomeNoPress ActualOutcome Circleside(1Left2Right) response Accuracy rt 
49 1 2 3 0 0 1 1 1 0 1 NaN 
49 2 2 2 0 -1 -1 -1 2 0 0 NaN 
49 3 2 3 0 0 1 1 2 0 1 NaN 
49 4 2 2 -1 0 0 0 2 0 0 NaN 
49 5 2 1 1 0 0 0 1 0 0 NaN 
49 6 2 4 0 0 -1 -1 2 0 1 NaN 
49 7 2 2 0 -1 -1 -1 1 0 0 NaN 
49 8 2 2 0 -1 -1 -1 1 0 0 NaN 
49 9 2 1 1 0 0 0 2 0 0 NaN 
49 10 2 2 0 -1 -1 -1 2 0 0 NaN 
49 11 2 4 -1 -1 0 0 1 0 1 NaN 
49 12 2 4 -1 -1 0 0 1 0 1 NaN 
49 13 2 3 0 0 1 1 2 0 1 NaN 
49 14 2 4 -1 -1 0 0 2 0 1 NaN 
49 15 2 3 0 0 1 1 1 0 1 NaN 
49 16 2 1 0 1 1 1 1 0 0 NaN 
49 17 2 1 1 0 0 0 1 0 0 NaN 
49 18 2 4 -1 -1 0 0 2 0 1 NaN 
49 19 2 3 1 1 0 0 1 0 1 NaN 
49 20 2 1 1 0 0 0 2 0 0 NaN 
49 1 1 2 0 -1 -1 -1 1 0 0 NaN 
49 2 1 4 -1 -1 0 0 1 0 1 NaN 
49 3 1 2 0 -1 -1 -1 1 0 0 NaN 
49 4 1 2 0 -1 -1 -1 2 0 0 NaN 
49 5 1 3 0 0 1 1 1 0 1 NaN 
49 6 1 3 1 1 0 0 1 0 1 NaN 
49 7 1 1 1 0 0 0 1 0 0 NaN 
49 8 1 1 0 1 1 1 1 0 0 NaN 
49 9 1 4 -1 -1 0 0 1 0 1 NaN 
49 10 1 2 0 -1 -1 -1 2 0 0 NaN 
49 11 1 3 0 0 1 0 1 1 0 3.869455e-01 
49 12 1 2 -1 0 0 -1 2 2 1 3.929180e-01 
49 13 1 3 0 0 1 1 2 0 1 NaN 
49 14 1 4 -1 -1 0 -1 2 2 0 3.764672e-01 
49 15 1 3 0 0 1 1 2 0 1 NaN 
49 16 1 1 1 0 0 0 2 0 0 NaN 
49 17 1 1 1 0 0 0 1 0 0 NaN 
49 18 1 4 0 0 -1 0 2 2 0 4.160121e-01 
49 19 1 4 -1 -1 0 0 2 0 1 NaN 
49 20 1 1 1 0 0 0 2 1 0 6.200779e-01 
49 1 2 4 -1 -1 0 -1 1 1 0 4.979945e-01 
49 2 2 3 0 0 1 0 1 1 0 2.934569e-01 
