,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
"beta_mu_pr[1,1]",3.3037195070562464,0.007431223349013634,0.19678735744212403,2.923071247525466,3.171590064938938,3.3004715017483566,3.4320180777409517,3.7001837602534335,701.2514282873608,1.0026052924875966
"beta_mu_pr[2,1]",3.2900688712522275,0.007636032064400927,0.1925989852287602,2.9256511955709534,3.155917929373957,3.2857081307035623,3.419501007652598,3.6892544017618834,636.1689999081315,1.0024490634861383
"beta_mu_pr[1,2]",0.10345742462319907,0.026378566468153928,0.26191247648363536,-0.4067022905849951,-0.07580051075216793,0.1042098421666895,0.28400109203875434,0.6202933510526245,98.58480764567068,1.0247979945147196
"beta_mu_pr[2,2]",-0.5346503365354918,0.02511585893690178,0.2591962599459412,-1.032724216955962,-0.7117401926679083,-0.5334974405084031,-0.35506981945857985,-0.044201272976076414,106.50288955583841,1.0231832979074686
"beta_mu_pr[1,3]",1.184014471624996,0.01577965950088932,0.21909031115382108,0.7657798528859844,1.0416481894680998,1.1771748085094094,1.3329871929690018,1.6190409779299815,192.77516746570137,1.0086473852789943
"beta_mu_pr[2,3]",1.674316656772427,0.015437039458073646,0.22187686121253683,1.2308694846807868,1.531931262176099,1.678675860068382,1.8187609172785224,2.1159264678596865,206.5836747607681,1.0071687396935456
"beta_mu_pr[1,4]",-1.622216715307718,0.005268840221371508,0.12137459467018172,-1.8529714968871822,-1.7063642863981858,-1.6244499595377806,-1.5379412252434639,-1.3815134993306544,530.6712110674653,1.0040879668456235
"beta_mu_pr[2,4]",-1.9302773238372002,0.005232069050769166,0.12226168420201274,-2.1705465437798592,-2.0143161834559167,-1.933267886066286,-1.8444863917672785,-1.6923006073584077,546.0517636523751,1.0023543945515665
"beta_c_pr[1,1]",-0.06539903539312832,0.007532139160561474,0.40685112515036786,-0.781714540991066,-0.3450488630137607,-0.10036655996635638,0.19215423073385834,0.8112547703513204,2917.6579229458325,0.9983451875876408
"beta_c_pr[2,1]",0.22823917148057088,0.009896495588109011,0.4708732124682185,-0.5982567642451316,-0.09728170221533164,0.18909837331080018,0.5249459590854245,1.2468018218680104,2263.8367111592756,0.9993665436274854
"beta_c_pr[3,1]",1.1097406612013787,0.011426709677340208,0.6472847938010318,-0.022825895600444637,0.6394518163176017,1.0585267289984461,1.538409315824869,2.426413548216427,3208.8426593455524,0.9987919113512308
"beta_c_pr[4,1]",1.062728619585904,0.011097468727144304,0.6581521124399778,-0.07932392451572973,0.5977953839940866,0.9997332040978597,1.475363503361381,2.5336958544605457,3517.261833371479,0.9983437357166306
"beta_c_pr[5,1]",1.1024922481111616,0.011609868470059546,0.671442480810579,-0.0486521347070052,0.6247822996818748,1.0262126457337748,1.5278697596826714,2.5174266529429614,3344.7451315741223,0.998603402757839
"beta_c_pr[6,1]",-0.5177657561582037,0.007094338687153496,0.33522165231504064,-1.1305099870400974,-0.7498002028457237,-0.5470598568799232,-0.2978655476910075,0.1740083179260799,2232.7509800788775,1.0007473116925347
"beta_c_pr[7,1]",-1.1560294002097253,0.009516850870230244,0.26074074640294165,-1.6804104170727259,-1.3277240291235743,-1.15626085207848,-0.9799881621318732,-0.6548838320854968,750.6392699804483,1.0047248555459343
"beta_c_pr[8,1]",-0.41111525615973066,0.00774739416148044,0.35147872463148344,-1.0447808551633844,-0.657468764952253,-0.42547769328555474,-0.18372417060646,0.35712666829687445,2058.1962366141906,0.9995792328243245
"beta_c_pr[9,1]",-1.682907705328811,0.010657827037626685,0.26190587413615657,-2.2244498489268696,-1.8527429907744513,-1.6747948228068243,-1.4999481996523198,-1.1979590466158212,603.8834705146304,1.0054494349001484
"beta_c_pr[10,1]",0.5635103987932171,0.009512747608750998,0.5281932592102395,-0.3573227951721938,0.1784430292825338,0.521259966761272,0.9020708320321539,1.667426922678172,3083.001673125806,0.9994603447986087
"beta_c_pr[11,1]",0.18163277405213638,0.007898690038221029,0.4326655861073825,-0.5907045775725256,-0.12310609360616312,0.14385018809793315,0.46761458989783816,1.0968876473751434,3000.506440043095,0.9999169328085504
"beta_c_pr[12,1]",-0.009636898261236834,0.007938994054954211,0.4199295193182708,-0.7843209583806334,-0.28743341762436625,-0.036454282327957964,0.2422807851828847,0.9151106169274079,2797.8334374089964,0.9994659143180216
"beta_c_pr[13,1]",0.5682699530208054,0.010828677778227377,0.5410423327411277,-0.3569086450073185,0.18741908185242334,0.5179904185411573,0.906390685848802,1.7928541125925923,2496.385388920653,0.9986743062910192
"beta_c_pr[14,1]",0.5447269713073397,0.009906426466442499,0.532801138640313,-0.3599873555818526,0.16094946841357782,0.4969269147938684,0.880501473096589,1.6864342047211545,2892.65239370828,0.9991579007899319
"beta_c_pr[15,1]",-0.9970233090368785,0.0076558638753269435,0.2658642217634399,-1.5171465503052532,-1.1760172078539006,-0.9959975470649665,-0.8136171878366997,-0.4643900939434844,1205.9557923615828,1.0009530206707793
"beta_c_pr[16,1]",1.092579732912575,0.011759957189846819,0.6509738724786235,-0.03989463325061644,0.6593710465726963,1.0402576385139093,1.4752646705023875,2.5298060444560626,3064.189602428277,0.9991014758333047
"beta_c_pr[17,1]",1.1059597798004135,0.01127573412856594,0.680984595887355,-0.08372321794270805,0.6176110952317662,1.053027582206114,1.5476248793855223,2.5209835691177527,3647.412836024457,0.9990793886897927
"beta_c_pr[18,1]",-0.06797193204967929,0.008047540206001041,0.39751814731134744,-0.7765916903351096,-0.3513742141941588,-0.0970402529402203,0.1898782252898662,0.7577105101727069,2439.9875426503763,1.0006439519489703
"beta_c_pr[19,1]",1.101877700243143,0.012522252781205796,0.6720614082556732,-0.0805774782329604,0.6289487883072502,1.0423013948416162,1.539964900653851,2.6018577624685584,2880.4011948296607,0.9997256437407595
"beta_c_pr[20,1]",0.5651024209246998,0.009757461218004537,0.5182063968659412,-0.31733880103499323,0.17894666961261885,0.529739096916692,0.8978897710606446,1.657651249121424,2820.537458610486,0.9990256358042862
"beta_c_pr[21,1]",-1.3549837230272597,0.009517752357811528,0.25790498231572717,-1.8666835332184046,-1.5278312088797916,-1.3500770031946123,-1.1701309944046452,-0.8780642641784446,734.261340418782,1.0064463126205652
"beta_c_pr[22,1]",-0.8745368345717459,0.008009278049776657,0.2897320871082607,-1.4418552978942367,-1.0672203195899652,-0.8752016560323214,-0.6830251290052678,-0.30241669318911496,1308.5985901147696,1.0049055195787724
"beta_c_pr[23,1]",-0.2498170992492885,0.007686384363076476,0.3634238960734368,-0.9171563246737366,-0.4973520143009347,-0.27107352432368403,-0.020910306209973334,0.5597721656238409,2235.541642424176,1.0009734839700377
"beta_c_pr[24,1]",0.5718394106021178,0.00916276404475874,0.5338212067617151,-0.371376007367287,0.2006841143101538,0.5308137993589417,0.9020379794461448,1.735030016064293,3394.2094598495414,0.9996222028501278
"beta_c_pr[25,1]",-0.4045616189066588,0.00873290069511857,0.33930493403877343,-1.010997263233035,-0.646452030533683,-0.4229774568219211,-0.19176338814629573,0.3140690071949313,1509.6049343774662,1.0013190140308106
"beta_c_pr[26,1]",0.5625587133353002,0.01055723020784603,0.5433620046951014,-0.39391227155743963,0.1879300913020342,0.5111747185764473,0.8938121699942843,1.7630286359949472,2648.9792082487156,1.000737208612468
"beta_c_pr[27,1]",1.0824335374040237,0.011310007241324341,0.6402932450228963,-0.03963308630135037,0.6482118379837147,1.0381840195703993,1.4900955763499746,2.410617662644499,3205.029817527924,0.9989111786050677
"beta_c_pr[28,1]",1.097691350777333,0.013139159075535714,0.6866956613314371,-0.05937278521029364,0.6061248668823935,1.0441056472065413,1.53979976503306,2.5744605920019725,2731.4513241924014,0.9994001864315106
"beta_c_pr[29,1]",-1.361692996753117,0.009650914421074585,0.2599302652413459,-1.8894378513365213,-1.5420702962896895,-1.3531494817047058,-1.1801737019479317,-0.8652208188023927,725.398696433963,1.0037159019873483
"beta_c_pr[30,1]",-0.05878603512333617,0.007946823784483898,0.399808363440538,-0.7815296066962554,-0.33888556969062106,-0.08742169880251541,0.18430165549026814,0.832094875661955,2531.142427248802,0.9988709845294946
"beta_c_pr[31,1]",-1.6861194460313096,0.011847692800596084,0.256219004164215,-2.210414219023888,-1.8522734196031587,-1.683059544205032,-1.51820228852673,-1.1976901041416492,467.68679529281417,1.0066034499481051
"beta_c_pr[32,1]",0.5704060871742397,0.010361614054100651,0.5493762525828999,-0.3747801993548069,0.18701770842299947,0.5517708539943034,0.9074453920421791,1.764710825854303,2811.1559674546847,0.9985598154131983
"beta_c_pr[33,1]",0.19903647449075065,0.008701164616669406,0.4585776931851416,-0.6216631284385987,-0.12600949508776133,0.16274069984139022,0.5039224853993929,1.1549079286370276,2777.608806157418,0.9998442194964384
"beta_c_pr[34,1]",-1.2607340970397969,0.009170625407056132,0.2627990546723836,-1.7820482551436339,-1.4276620137154352,-1.2568013247857681,-1.0863303465029543,-0.7459736285285488,821.2014149748032,1.0028035173925574
"beta_c_pr[35,1]",1.0980700324705939,0.012721385553691539,0.6863341407045389,-0.11681353666967811,0.6176151431917466,1.0452414918714759,1.5431118994487008,2.6173367405611683,2910.733036768531,0.9991503766102274
"beta_c_pr[36,1]",0.2202974555534567,0.009527244577452914,0.44415533240350075,-0.6049964499081885,-0.08450689579355211,0.19268050327515668,0.4970747907030929,1.138299904196936,2173.377328354737,0.9993670349580638
"beta_c_pr[37,1]",-0.997623787213793,0.007696675498972445,0.288286903387572,-1.542446891173765,-1.1928625331488347,-1.0054521747286334,-0.8058002916384901,-0.4134824469241031,1402.9541346742342,0.9996061516538891
"beta_c_pr[38,1]",1.0909624921927252,0.011341612563486111,0.6719671644585724,-0.09914574911121489,0.6206292471769966,1.0481386262933936,1.4783418290341868,2.5899605385892865,3510.3182249241218,0.9986929205151485
"beta_c_pr[39,1]",1.0809583348334904,0.010856425166695561,0.6337787296477405,-0.02178080952602017,0.6409735778133743,1.0254025614934767,1.4777405703270503,2.4094832708316423,3408.0160633199876,0.9984214606320433
"beta_c_pr[40,1]",-1.0652170698625942,0.008386181246330488,0.261985249629882,-1.5678860093075886,-1.2412530758817115,-1.0622345924158085,-0.8916299533000123,-0.5442632427730123,975.9446591801878,1.0020972883267625
"beta_c_pr[41,1]",0.5673937918021656,0.010259866091060417,0.5332294825165615,-0.37216148345151984,0.18876748149274541,0.5204504530321095,0.9013907765003889,1.7103126397683657,2701.1264925078763,0.9994753300071862
