	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
beta[73,1,4]	-0.699	0.00599	0.59	-1.92	-0.698	0.4	9679.0	0.496	1.0
beta[74,1,4]	1.77	0.00423	0.39	0.997	1.77	2.53	8483.0	0.435	1.0
beta[75,1,4]	-0.228	0.00647	0.669	-1.59	-0.234	1.05	10688.0	0.548	1.0
beta[76,1,4]	0.675	0.00574	0.526	-0.374	0.669	1.69	8386.0	0.43	1.0
beta[77,1,4]	0.968	0.00414	0.39	0.193	0.961	1.74	8861.0	0.455	1.0
beta[78,1,4]	0.327	0.00392	0.397	-0.468	0.318	1.08	10254.0	0.526	0.999
beta[79,1,4]	0.209	0.00558	0.527	-0.835	0.2	1.21	8894.0	0.456	1.0
beta[80,1,4]	0.585	0.00472	0.401	-0.19	0.584	1.37	7208.0	0.37	1.0
beta[81,1,4]	-0.00317	0.00526	0.553	-1.11	-0.00354	1.05	11024.0	0.565	1.0
beta[82,1,4]	-0.75	0.00351	0.372	-1.51	-0.754	-0.0478	11202.0	0.575	0.999
beta[83,1,4]	0.0423	0.00508	0.551	-1.07	0.0336	1.09	11761.0	0.603	0.999
beta[84,1,4]	0.424	0.00282	0.294	-0.162	0.427	0.97	10872.0	0.558	1.0
beta[85,1,4]	0.198	0.00609	0.607	-1.03	0.206	1.32	9917.0	0.509	0.999
beta[86,1,4]	-0.699	0.00426	0.456	-1.62	-0.698	0.171	11459.0	0.588	0.999
beta[87,1,4]	-0.0757	0.0053	0.52	-1.15	-0.0819	0.901	9617.0	0.493	1.0
beta[88,1,4]	-0.19	0.00584	0.576	-1.34	-0.189	0.886	9725.0	0.499	1.0
beta[89,1,4]	1.36	0.00537	0.429	0.544	1.36	2.21	6375.0	0.327	1.0
beta[90,1,4]	0.189	0.00555	0.477	-0.776	0.187	1.12	7402.0	0.38	0.999
beta[91,1,4]	0.789	0.0054	0.54	-0.314	0.778	1.82	9980.0	0.512	1.0
beta[92,1,4]	0.588	0.00444	0.429	-0.264	0.582	1.42	9331.0	0.479	0.999
beta[93,1,4]	0.3	0.00444	0.406	-0.523	0.296	1.07	8383.0	0.43	1.0
beta[94,1,4]	-0.011	0.00305	0.305	-0.64	-0.0143	0.565	10002.0	0.513	1.0
beta[95,1,4]	1.15	0.00509	0.433	0.298	1.14	2.01	7260.0	0.372	1.0
beta[96,1,4]	0.656	0.00412	0.365	-0.085	0.646	1.38	7868.0	0.404	1.0
beta[97,1,4]	-0.589	0.00286	0.283	-1.19	-0.587	-0.042	9822.0	0.504	1.0
beta[98,1,4]	0.496	0.00526	0.466	-0.419	0.486	1.38	7870.0	0.404	1.0
beta[99,1,4]	-0.021	0.00342	0.341	-0.707	-0.0226	0.631	9946.0	0.51	1.0
beta[100,1,4]	0.821	0.00369	0.326	0.179	0.819	1.45	7820.0	0.401	1.0
beta[101,1,4]	0.49	0.00529	0.481	-0.48	0.482	1.41	8282.0	0.425	1.0
beta[102,1,4]	-1.26	0.00379	0.404	-2.14	-1.26	-0.54	11404.0	0.585	1.0
beta[103,1,4]	1.01	0.0039	0.337	0.338	1.0	1.67	7483.0	0.384	0.999
beta[1,2,4]	-0.232	0.00533	0.548	-1.34	-0.24	0.819	10585.0	0.543	1.0
beta[2,2,4]	-0.673	0.00358	0.373	-1.44	-0.673	0.0339	10852.0	0.557	1.0
beta[3,2,4]	0.241	0.00376	0.323	-0.422	0.235	0.861	7377.0	0.378	0.999
beta[4,2,4]	-0.0744	0.00548	0.545	-1.18	-0.0831	0.96	9912.0	0.508	1.0
beta[5,2,4]	-0.42	0.00676	0.655	-1.8	-0.415	0.79	9393.0	0.482	1.0
beta[6,2,4]	0.432	0.00512	0.567	-0.748	0.421	1.55	12257.0	0.629	0.999
beta[7,2,4]	-0.74	0.00408	0.391	-1.54	-0.741	0.0138	9145.0	0.469	1.0
beta[8,2,4]	-0.00247	0.0077	0.85	-1.77	-0.00577	1.57	12207.0	0.626	0.999
beta[9,2,4]	-0.549	0.0038	0.413	-1.38	-0.555	0.233	11806.0	0.606	0.999
beta[10,2,4]	-0.332	0.00587	0.609	-1.54	-0.342	0.8	10754.0	0.552	0.999
beta[11,2,4]	0.0972	0.00354	0.319	-0.548	0.0948	0.703	8152.0	0.418	1.0
beta[12,2,4]	0.0925	0.00523	0.448	-0.801	0.0861	0.947	7345.0	0.377	1.0
beta[13,2,4]	-0.617	0.0042	0.445	-1.55	-0.615	0.217	11230.0	0.576	0.999
beta[14,2,4]	-0.124	0.0041	0.374	-0.893	-0.125	0.596	8310.0	0.426	1.0
beta[15,2,4]	-0.999	0.00524	0.566	-2.17	-0.994	0.0474	11665.0	0.598	1.0
beta[16,2,4]	0.0314	0.00578	0.592	-1.19	0.027	1.17	10520.0	0.54	1.0
beta[17,2,4]	0.678	0.00537	0.551	-0.45	0.68	1.74	10509.0	0.539	1.0
beta[18,2,4]	-0.113	0.00543	0.53	-1.18	-0.113	0.873	9506.0	0.488	0.999
beta[19,2,4]	-0.686	0.00461	0.439	-1.59	-0.692	0.134	9078.0	0.466	0.999
beta[20,2,4]	0.323	0.00521	0.484	-0.643	0.316	1.24	8633.0	0.443	1.0
beta[21,2,4]	0.163	0.0061	0.592	-1.02	0.165	1.28	9409.0	0.483	0.999
beta[22,2,4]	0.00494	0.00651	0.687	-1.39	0.00658	1.3	11115.0	0.57	1.0
