	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	13.0	0.101	1.28	10.7	12.9	15.7	158.0	0.00791	1.03
b1_mu[2]	37.1	1.12	5.77	25.1	37.4	47.6	26.5	0.00133	1.09
b2_mu[1]	21.5	0.501	4.95	13.5	20.9	32.2	97.5	0.00487	1.02
b2_mu[2]	30.0	0.578	4.74	22.4	29.2	39.9	67.2	0.00336	1.04
b3_mu[1]	1.83	0.0035	0.15	1.54	1.83	2.13	1832.0	0.0915	1.0
b3_mu[2]	0.927	0.00294	0.144	0.63	0.925	1.2	2395.0	0.12	1.0
b4_mu[1]	0.121	0.00168	0.0855	-0.0541	0.12	0.285	2575.0	0.129	1.0
b4_mu[2]	0.359	0.00183	0.0991	0.161	0.36	0.543	2921.0	0.146	1.0
a1_mu[1]	0.167	0.000551	0.0214	0.125	0.166	0.208	1506.0	0.0752	1.01
a1_mu[2]	0.0749	0.00376	0.0181	0.0489	0.0712	0.12	23.2	0.00116	1.1
a2_mu[1]	0.0531	0.00219	0.0199	0.0246	0.0495	0.0962	82.7	0.00413	1.03
a2_mu[2]	0.0838	0.00211	0.0179	0.0498	0.0848	0.115	72.1	0.0036	1.04
c1_mu[1]	0.0102	0.00011	0.00489	0.00268	0.00947	0.0208	1958.0	0.0978	1.0
c1_mu[2]	0.00644	0.000121	0.00299	0.00192	0.00599	0.0132	608.0	0.0304	1.01
sigma[1,1]	0.72	0.0205	0.124	0.51	0.704	0.998	36.7	0.00183	1.06
sigma[2,1]	1.15	0.029	0.269	0.666	1.14	1.68	86.4	0.00431	1.03
sigma[3,1]	0.178	0.000447	0.0201	0.141	0.177	0.219	2033.0	0.102	1.0
sigma[4,1]	0.109	0.000308	0.0123	0.0862	0.108	0.134	1596.0	0.0797	1.0
sigma[5,1]	0.478	0.00138	0.0527	0.376	0.476	0.581	1454.0	0.0726	1.0
sigma[6,1]	0.36	0.0106	0.0959	0.167	0.36	0.528	81.2	0.00406	1.05
sigma[7,1]	1.84	0.00686	0.248	1.38	1.82	2.34	1309.0	0.0654	1.0
sigma[1,2]	0.177	0.0351	0.136	0.00517	0.144	0.476	14.9	0.000746	1.13
sigma[2,2]	0.331	0.0186	0.173	0.0159	0.35	0.635	86.7	0.00433	1.04
sigma[3,2]	0.13	0.000371	0.0171	0.0978	0.129	0.164	2125.0	0.106	1.0
sigma[4,2]	0.0906	0.000252	0.011	0.07	0.0897	0.113	1899.0	0.0948	1.0
sigma[5,2]	0.291	0.0019	0.0451	0.203	0.289	0.382	564.0	0.0282	1.01
sigma[6,2]	0.23	0.00787	0.0651	0.119	0.224	0.365	68.5	0.00342	1.04
sigma[7,2]	0.902	0.0061	0.185	0.56	0.887	1.3	922.0	0.0461	1.0
b1[1,1]	19.1	0.257	6.04	8.62	18.8	31.4	554.0	0.0277	1.01
b1[2,1]	43.1	0.619	7.37	28.3	43.0	57.4	142.0	0.00709	1.02
b1[1,2]	7.84	0.0884	5.29	1.5	6.4	21.1	3581.0	0.179	1.0
b1[2,2]	32.8	0.777	8.02	16.4	32.4	48.4	107.0	0.00533	1.03
b1[1,3]	15.5	0.0857	5.3	7.07	14.8	27.2	3826.0	0.191	1.0
b1[2,3]	38.3	1.5	9.18	15.0	38.8	54.4	37.2	0.00186	1.06
b1[1,4]	12.7	0.0684	4.35	6.62	11.8	23.1	4051.0	0.202	1.0
b1[2,4]	36.5	1.0	7.9	18.5	36.7	51.2	62.4	0.00311	1.05
b1[1,5]	21.9	0.364	6.14	10.8	21.3	35.1	285.0	0.0142	1.02
b1[2,5]	45.2	0.747	7.72	29.4	45.1	60.2	107.0	0.00533	1.02
b1[1,6]	18.0	0.188	5.3	9.84	17.1	29.8	796.0	0.0398	1.01
b1[2,6]	41.5	0.842	7.92	23.5	41.7	55.9	88.6	0.00442	1.03
b1[1,7]	12.7	0.0746	4.71	6.35	11.6	23.8	3984.0	0.199	1.0
b1[2,7]	36.7	1.09	8.11	18.3	36.8	51.8	55.0	0.00275	1.04
b1[1,8]	18.2	0.22	5.42	9.34	17.6	29.8	606.0	0.0303	1.01
b1[2,8]	41.7	0.926	7.99	23.7	41.7	56.2	74.5	0.00372	1.03
b1[1,9]	13.3	0.0745	4.44	7.14	12.5	24.0	3553.0	0.177	1.0
b1[2,9]	37.4	0.809	7.66	20.0	37.6	51.7	89.7	0.00448	1.04
b1[1,10]	12.5	0.0932	4.68	6.47	11.3	23.5	2521.0	0.126	1.0
b1[2,10]	36.3	1.04	8.06	17.9	36.5	51.3	59.9	0.00299	1.04
