	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	32.3	0.131	3.3	25.5	32.4	39.0	637.0	0.0584	1.0
b1_mu[2]	31.9	0.145	3.19	25.7	31.4	38.6	483.0	0.0444	1.02
b2_mu[1]	29.6	0.148	3.2	23.0	29.8	36.0	466.0	0.0428	1.01
b2_mu[2]	30.3	0.077	2.87	24.5	30.3	36.3	1392.0	0.128	1.0
b3_mu[1]	1.34	0.0234	0.156	1.06	1.32	1.65	44.3	0.00406	1.04
b3_mu[2]	0.919	0.00529	0.15	0.618	0.896	1.22	801.0	0.0735	1.01
b4_mu[1]	0.402	0.026	0.134	0.13	0.4	0.62	26.6	0.00244	1.08
b4_mu[2]	0.43	0.00457	0.12	0.175	0.433	0.659	684.0	0.0627	1.01
a1_mu[1]	0.0993	0.00128	0.0139	0.0738	0.0978	0.127	117.0	0.0108	1.03
a1_mu[2]	0.101	0.00394	0.0158	0.075	0.101	0.132	16.1	0.00147	1.1
a2_mu[1]	0.0773	0.00127	0.0122	0.0565	0.0758	0.103	93.6	0.00859	1.04
a2_mu[2]	0.0846	0.00297	0.0125	0.0633	0.0845	0.109	17.8	0.00163	1.08
c1_mu[1]	0.0141	0.000154	0.00423	0.00647	0.0137	0.0235	754.0	0.0692	1.01
c1_mu[2]	0.00817	0.000335	0.003	0.00372	0.00752	0.015	79.8	0.00732	1.03
sigma[1,1]	2.04	0.0705	0.302	1.48	2.01	2.56	18.3	0.00168	1.08
sigma[2,1]	1.69	0.00717	0.228	1.27	1.66	2.17	1008.0	0.0925	1.01
sigma[3,1]	0.208	0.000637	0.0218	0.166	0.208	0.254	1171.0	0.107	1.0
sigma[4,1]	0.173	0.000539	0.0174	0.138	0.173	0.209	1036.0	0.0951	1.0
sigma[5,1]	0.343	0.0189	0.0825	0.178	0.34	0.474	19.0	0.00174	1.09
sigma[6,1]	0.266	0.00544	0.0753	0.0882	0.261	0.414	192.0	0.0176	1.02
sigma[7,1]	1.55	0.0511	0.226	1.11	1.56	1.93	19.6	0.0018	1.08
sigma[1,2]	0.318	0.00627	0.124	0.103	0.294	0.594	391.0	0.0358	1.01
sigma[2,2]	0.186	0.0083	0.119	0.00722	0.163	0.446	206.0	0.0189	1.01
sigma[3,2]	0.101	0.00294	0.0155	0.0759	0.0998	0.134	27.8	0.00255	1.06
sigma[4,2]	0.0792	0.000348	0.013	0.0531	0.0792	0.107	1399.0	0.128	1.0
sigma[5,2]	0.256	0.00218	0.0371	0.188	0.251	0.333	288.0	0.0264	1.01
sigma[6,2]	0.206	0.00118	0.0311	0.142	0.205	0.269	690.0	0.0633	1.01
sigma[7,2]	0.628	0.0578	0.158	0.363	0.636	0.923	7.42	0.000681	1.2
b1[1,1]	49.9	0.623	12.6	26.7	50.2	75.7	408.0	0.0374	1.01
b1[2,1]	49.4	0.348	12.5	27.0	48.7	75.5	1290.0	0.118	1.01
b1[1,2]	29.0	0.794	12.6	9.52	27.9	57.1	252.0	0.0231	1.02
b1[2,2]	29.9	2.19	12.8	11.3	27.8	55.7	33.9	0.00311	1.07
