name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-14600.0	0.979	31.0	-14700.0	-14600.0	-14500.0	999.0	0.101	1.0
theta_mu[1,1]	23.9	0.093	1.2	21.6	23.9	26.5	166.0	0.0167	1.02
theta_mu[1,2]	1.49	0.00281	0.0921	1.3	1.49	1.66	1074.0	0.109	1.0
theta_mu[2,1]	0.0149	0.000372	0.0115	-0.00869	0.0144	0.0374	961.0	0.0972	1.0
theta_mu[2,2]	0.0515	0.000278	0.0123	0.0266	0.0514	0.0752	1949.0	0.197	1.0
theta_mu[3,1]	0.192	0.000515	0.0209	0.148	0.192	0.231	1639.0	0.166	1.0
theta_mu[3,2]	0.162	0.000625	0.0225	0.116	0.162	0.204	1296.0	0.131	1.0
theta_mu[4,1]	-2.8	0.000874	0.0327	-2.87	-2.8	-2.74	1402.0	0.142	1.0
theta_mu[4,2]	-1.03	0.00116	0.0444	-1.12	-1.03	-0.943	1465.0	0.148	1.0
theta_mu[5,1]	-2.86	0.00184	0.036	-2.93	-2.86	-2.8	384.0	0.0388	1.01
theta_mu[5,2]	-1.26	0.00116	0.0425	-1.35	-1.26	-1.18	1344.0	0.136	1.0
theta_c_pr[1,1]	1.03	0.00986	0.556	0.0333	0.997	2.16	3178.0	0.321	1.0
theta_c_pr[1,2]	-0.824	0.034	0.412	-1.73	-0.842	0.0274	147.0	0.0149	1.02
theta_c_pr[1,3]	-0.885	0.0081	0.324	-1.5	-0.913	-0.215	1603.0	0.162	1.0
theta_c_pr[1,4]	0.542	0.00897	0.469	-0.329	0.517	1.49	2730.0	0.276	1.0
theta_c_pr[1,5]	1.74	0.00942	0.661	0.528	1.7	3.08	4926.0	0.498	0.999
theta_c_pr[1,6]	0.801	0.0269	0.466	-0.165	0.776	1.74	301.0	0.0305	1.01
theta_c_pr[1,7]	-1.17	0.00702	0.25	-1.69	-1.17	-0.684	1272.0	0.129	1.0
theta_c_pr[1,8]	-0.493	0.00942	0.39	-1.15	-0.541	0.361	1713.0	0.173	1.0
theta_c_pr[1,9]	0.637	0.0085	0.465	-0.22	0.608	1.58	2992.0	0.303	1.0
theta_c_pr[1,10]	-0.9	0.0144	0.369	-1.55	-0.928	-0.0978	659.0	0.0667	1.02
theta_c_pr[1,11]	-0.328	0.00862	0.353	-1.03	-0.348	0.382	1671.0	0.169	1.0
theta_c_pr[1,12]	-0.0123	0.00855	0.4	-0.758	-0.0398	0.8	2182.0	0.221	1.0
theta_c_pr[1,13]	-1.2	0.0154	0.293	-1.76	-1.22	-0.662	361.0	0.0365	1.02
theta_c_pr[1,14]	0.458	0.0095	0.484	-0.387	0.412	1.51	2595.0	0.262	1.0
theta_c_pr[1,15]	-1.21	0.0164	0.275	-1.78	-1.21	-0.69	282.0	0.0285	1.01
theta_c_pr[1,16]	0.771	0.0157	0.514	-0.192	0.75	1.79	1071.0	0.108	1.01
theta_c_pr[1,17]	0.0642	0.0098	0.374	-0.613	0.0319	0.831	1456.0	0.147	1.0
theta_c_pr[1,18]	0.4	0.00727	0.445	-0.413	0.368	1.34	3750.0	0.379	1.0
theta_c_pr[1,19]	-0.331	0.00762	0.352	-1.01	-0.353	0.404	2127.0	0.215	1.0
theta_c_pr[1,20]	0.0918	0.0232	0.422	-0.67	0.0699	0.92	330.0	0.0334	1.01
theta_c_pr[1,21]	0.419	0.011	0.431	-0.349	0.384	1.34	1550.0	0.157	1.0
theta_c_pr[1,22]	1.45	0.00843	0.548	0.414	1.41	2.54	4230.0	0.428	1.0
theta_c_pr[1,23]	-0.359	0.0115	0.388	-1.06	-0.392	0.446	1144.0	0.116	1.01
theta_c_pr[1,24]	1.28	0.0361	0.591	0.182	1.25	2.42	269.0	0.0272	1.02
theta_c_pr[1,25]	-0.942	0.00778	0.316	-1.53	-0.972	-0.291	1647.0	0.167	1.0
theta_c_pr[1,26]	0.374	0.00826	0.44	-0.423	0.342	1.31	2833.0	0.287	0.999
theta_c_pr[1,27]	1.03	0.0164	0.536	0.0819	0.988	2.13	1068.0	0.108	1.0
theta_c_pr[1,28]	1.45	0.0345	0.562	0.372	1.41	2.57	265.0	0.0268	1.01
theta_c_pr[1,29]	0.76	0.00923	0.448	-0.0776	0.735	1.66	2350.0	0.238	1.0
theta_c_pr[1,30]	-1.58	0.0227	0.291	-2.23	-1.57	-1.01	165.0	0.0166	1.02
theta_c_pr[1,31]	0.0547	0.0177	0.454	-0.797	0.0268	0.959	656.0	0.0664	1.01
theta_c_pr[1,32]	-0.408	0.00721	0.305	-1.01	-0.426	0.207	1788.0	0.181	1.0
theta_c_pr[1,33]	0.398	0.0133	0.426	-0.409	0.37	1.26	1034.0	0.105	1.01
theta_c_pr[1,34]	1.76	0.012	0.605	0.65	1.7	3.01	2552.0	0.258	1.0
theta_c_pr[1,35]	0.12	0.00892	0.46	-0.717	0.0735	1.11	2667.0	0.27	1.0
theta_c_pr[1,36]	-0.773	0.00729	0.29	-1.34	-0.787	-0.19	1583.0	0.16	1.0
theta_c_pr[1,37]	-1.65	0.00787	0.252	-2.17	-1.65	-1.16	1027.0	0.104	1.01
theta_c_pr[1,38]	0.813	0.0432	0.562	-0.181	0.764	1.96	170.0	0.0171	1.02
theta_c_pr[1,39]	-1.72	0.0123	0.27	-2.24	-1.72	-1.18	481.0	0.0486	1.01
theta_c_pr[1,40]	-1.82	0.00889	0.289	-2.43	-1.81	-1.27	1053.0	0.106	1.01
theta_c_pr[1,41]	0.34	0.00931	0.469	-0.511	0.304	1.3	2537.0	0.257	1.0
