	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	15.1	0.0317	1.5	12.2	15.1	18.1	2250.0	0.0886	1.0
b1_mu[2]	24.6	0.0508	2.16	20.5	24.5	28.9	1804.0	0.0711	1.0
b2_mu[1]	19.5	0.081	2.46	14.8	19.4	24.3	925.0	0.0365	1.0
b2_mu[2]	22.9	0.0699	2.26	18.7	22.7	27.5	1049.0	0.0413	1.0
b3_mu[1]	1.93	0.00395	0.174	1.57	1.92	2.26	1952.0	0.0769	1.0
b3_mu[2]	1.36	0.00317	0.161	1.04	1.36	1.66	2572.0	0.101	1.0
b4_mu[1]	0.151	0.00153	0.0806	-0.0143	0.151	0.305	2767.0	0.109	1.0
b4_mu[2]	0.35	0.00155	0.0851	0.175	0.349	0.508	3033.0	0.119	1.0
a1_mu[1]	0.169	0.000386	0.0188	0.131	0.169	0.206	2381.0	0.0938	1.0
a1_mu[2]	0.134	0.000343	0.0152	0.104	0.134	0.164	1965.0	0.0774	1.0
a2_mu[1]	0.0772	0.000676	0.0162	0.0487	0.0758	0.111	576.0	0.0227	1.01
a2_mu[2]	0.116	0.000759	0.0192	0.0806	0.116	0.156	642.0	0.0253	1.0
c1_mu[1]	0.0206	0.000172	0.00727	0.00822	0.0198	0.0359	1777.0	0.07	1.0
c1_mu[2]	0.00903	8.12e-05	0.00351	0.00332	0.00861	0.0166	1870.0	0.0737	1.0
sigma[1,1]	0.998	0.00295	0.127	0.77	0.989	1.26	1843.0	0.0726	1.0
sigma[2,1]	1.2	0.00432	0.173	0.884	1.19	1.56	1607.0	0.0633	1.0
sigma[3,1]	0.217	0.000569	0.0236	0.172	0.216	0.266	1720.0	0.0678	1.0
sigma[4,1]	0.103	0.000261	0.0114	0.0821	0.102	0.126	1901.0	0.0749	1.0
sigma[5,1]	0.378	0.00149	0.0541	0.271	0.377	0.483	1309.0	0.0516	1.0
sigma[6,1]	0.6	0.00231	0.0724	0.458	0.597	0.742	978.0	0.0385	1.0
sigma[7,1]	1.79	0.0051	0.221	1.4	1.77	2.25	1883.0	0.0742	1.0
sigma[1,2]	0.425	0.00178	0.0763	0.282	0.422	0.578	1845.0	0.0727	1.0
sigma[2,2]	0.226	0.00331	0.0842	0.0893	0.215	0.403	647.0	0.0255	1.0
sigma[3,2]	0.151	0.000375	0.0176	0.119	0.15	0.187	2199.0	0.0866	1.0
sigma[4,2]	0.0791	0.0002	0.00977	0.06	0.0787	0.0985	2379.0	0.0937	1.0
sigma[5,2]	0.278	0.0011	0.041	0.196	0.277	0.359	1395.0	0.0549	1.0
sigma[6,2]	0.204	0.00147	0.0403	0.118	0.203	0.28	756.0	0.0298	1.01
sigma[7,2]	0.663	0.00382	0.127	0.431	0.654	0.928	1116.0	0.0439	1.01
b1[1,1]	25.2	0.101	7.36	11.3	24.6	40.1	5289.0	0.208	1.0
b1[2,1]	34.9	0.0941	8.1	20.4	34.4	51.9	7413.0	0.292	1.0
b1[1,2]	8.28	0.0901	5.23	1.74	7.04	21.6	3370.0	0.133	1.0
b1[2,2]	20.8	0.113	7.58	8.78	19.8	37.9	4539.0	0.179	1.0
b1[1,3]	17.5	0.098	6.88	7.02	16.5	33.1	4924.0	0.194	0.999
b1[2,3]	24.7	0.113	8.48	10.6	23.7	42.4	5587.0	0.22	1.0
b1[1,4]	12.3	0.0659	4.33	6.6	11.4	22.7	4318.0	0.17	1.0
b1[2,4]	24.0	0.107	7.03	12.8	23.0	39.6	4317.0	0.17	1.0
b1[1,5]	28.7	0.0923	7.83	14.0	28.0	45.2	7197.0	0.283	1.0
b1[2,5]	38.5	0.104	8.43	22.9	37.9	55.8	6620.0	0.261	1.0
b1[1,6]	23.3	0.0992	7.3	11.5	22.4	39.1	5410.0	0.213	1.0
