name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b2[1,97]	0.514	0.00214	0.165	0.177	0.51	0.823	5918.0	0.822	1.0
b2[1,98]	0.41	0.00342	0.242	-0.0794	0.398	0.878	4979.0	0.691	1.0
b2[1,99]	0.109	0.00375	0.235	-0.361	0.11	0.553	3929.0	0.546	1.0
b2[1,100]	-0.243	0.00234	0.174	-0.594	-0.242	0.0899	5523.0	0.767	1.0
b2[1,101]	0.134	0.00398	0.255	-0.392	0.138	0.611	4094.0	0.568	1.0
b2[1,102]	-0.0358	0.00322	0.224	-0.492	-0.0393	0.391	4836.0	0.672	1.0
b2[1,103]	0.235	0.00231	0.168	-0.11	0.236	0.553	5267.0	0.731	1.0
b2[2,1]	0.735	0.00417	0.284	0.172	0.734	1.28	4644.0	0.645	1.0
b2[2,2]	0.0547	0.00513	0.286	-0.541	0.0549	0.584	3123.0	0.434	1.0
b2[2,3]	0.34	0.00588	0.379	-0.435	0.343	1.04	4149.0	0.576	1.0
b2[2,4]	0.711	0.00497	0.305	0.107	0.703	1.3	3775.0	0.524	1.0
b2[2,5]	0.632	0.00433	0.298	0.0368	0.624	1.21	4742.0	0.658	1.0
b2[2,6]	-0.144	0.00453	0.264	-0.684	-0.139	0.347	3411.0	0.474	1.0
b2[2,7]	0.503	0.00293	0.213	0.0617	0.504	0.901	5280.0	0.733	1.0
b2[2,8]	0.293	0.00602	0.394	-0.482	0.289	1.05	4294.0	0.596	1.0
b2[2,9]	-0.0739	0.00431	0.282	-0.665	-0.0746	0.456	4280.0	0.594	1.0
b2[2,10]	0.232	0.00634	0.382	-0.53	0.227	0.955	3629.0	0.504	1.0
b2[2,11]	-0.0201	0.00324	0.205	-0.442	-0.0192	0.371	3989.0	0.554	1.0
b2[2,12]	0.202	0.00258	0.178	-0.163	0.205	0.535	4777.0	0.663	1.0
b2[2,13]	0.749	0.00574	0.323	0.08	0.749	1.34	3162.0	0.439	1.0
b2[2,14]	0.0492	0.00315	0.2	-0.363	0.0549	0.411	4024.0	0.559	1.0
b2[2,15]	0.198	0.00429	0.286	-0.395	0.2	0.729	4446.0	0.617	1.0
b2[2,16]	0.615	0.00492	0.322	-0.0361	0.609	1.23	4296.0	0.597	1.0
b2[2,17]	0.42	0.00462	0.31	-0.198	0.42	1.01	4489.0	0.623	1.0
b2[2,18]	0.809	0.00523	0.346	0.11	0.803	1.48	4366.0	0.606	1.0
b2[2,19]	0.128	0.00507	0.291	-0.481	0.132	0.666	3298.0	0.458	1.0
b2[2,20]	0.252	0.00426	0.275	-0.286	0.244	0.775	4179.0	0.58	1.0
b2[2,21]	0.476	0.00483	0.331	-0.196	0.479	1.11	4694.0	0.652	1.0
b2[2,22]	0.151	0.00462	0.3	-0.459	0.151	0.72	4228.0	0.587	1.0
b2[2,23]	0.372	0.00412	0.254	-0.156	0.376	0.86	3801.0	0.528	1.0
b2[2,24]	-0.103	0.00551	0.337	-0.805	-0.105	0.528	3739.0	0.519	1.0
b2[2,25]	0.195	0.00356	0.226	-0.263	0.196	0.626	4025.0	0.559	1.0
b2[2,26]	-0.0918	0.0043	0.291	-0.69	-0.0912	0.454	4585.0	0.637	1.0
b2[2,27]	0.278	0.00643	0.387	-0.503	0.278	0.996	3617.0	0.502	1.0
b2[2,28]	0.462	0.00469	0.32	-0.169	0.455	1.08	4650.0	0.646	1.0
b2[2,29]	0.23	0.00422	0.291	-0.359	0.224	0.786	4752.0	0.66	1.0
b2[2,30]	0.625	0.0049	0.321	-0.027	0.62	1.24	4285.0	0.595	1.0
b2[2,31]	-0.0702	0.00246	0.177	-0.427	-0.0691	0.27	5204.0	0.723	1.0
b2[2,32]	0.187	0.00475	0.275	-0.383	0.19	0.704	3346.0	0.465	1.0
b2[2,33]	0.265	0.00483	0.277	-0.303	0.267	0.781	3288.0	0.457	1.0
b2[2,34]	0.276	0.00576	0.385	-0.518	0.278	0.991	4458.0	0.619	1.0
b2[2,35]	0.33	0.00454	0.284	-0.246	0.325	0.878	3915.0	0.544	1.0
b2[2,36]	0.786	0.00504	0.289	0.21	0.778	1.34	3300.0	0.458	1.0
b2[2,37]	0.189	0.00433	0.273	-0.358	0.187	0.694	3967.0	0.551	1.0
b2[2,38]	-0.21	0.0026	0.176	-0.576	-0.209	0.124	4564.0	0.634	1.0
b2[2,39]	0.177	0.00542	0.296	-0.426	0.175	0.731	2979.0	0.414	1.0
b2[2,40]	-0.109	0.00299	0.195	-0.512	-0.108	0.261	4263.0	0.592	1.0
b2[2,41]	0.283	0.00642	0.38	-0.518	0.276	1.0	3494.0	0.485	1.0
b2[2,42]	0.427	0.00463	0.304	-0.188	0.431	1.0	4320.0	0.6	1.0
b2[2,43]	0.853	0.00431	0.288	0.298	0.847	1.41	4455.0	0.619	1.0
b2[2,44]	0.375	0.00654	0.382	-0.407	0.38	1.1	3410.0	0.474	1.0
b2[2,45]	0.496	0.00426	0.295	-0.117	0.491	1.06	4795.0	0.666	1.0
b2[2,46]	0.451	0.00426	0.26	-0.0605	0.445	0.945	3735.0	0.519	1.0
b2[2,47]	0.165	0.00413	0.249	-0.339	0.163	0.64	3626.0	0.504	1.0
b2[2,48]	-0.278	0.00518	0.29	-0.88	-0.271	0.249	3144.0	0.437	1.0
b2[2,49]	-0.173	0.00405	0.249	-0.69	-0.172	0.29	3797.0	0.527	1.0
b2[2,50]	0.2	0.00733	0.396	-0.604	0.195	0.96	2914.0	0.405	1.0
b2[2,51]	0.87	0.00315	0.198	0.486	0.867	1.26	3963.0	0.55	0.999
b2[2,52]	0.291	0.00572	0.376	-0.496	0.29	1.0	4327.0	0.601	1.0
b2[2,53]	-0.129	0.00374	0.224	-0.597	-0.128	0.288	3569.0	0.496	1.0
b2[2,54]	0.187	0.00275	0.178	-0.191	0.191	0.513	4188.0	0.582	1.0
b2[2,55]	0.414	0.00413	0.295	-0.191	0.406	0.993	5105.0	0.709	1.0
b2[2,56]	0.611	0.00509	0.314	-0.0393	0.608	1.2	3806.0	0.528	1.0
b2[2,57]	0.436	0.00473	0.265	-0.0963	0.431	0.932	3143.0	0.437	1.0
b2[2,58]	0.436	0.00775	0.394	-0.381	0.437	1.17	2581.0	0.358	1.0
b2[2,59]	0.609	0.0025	0.17	0.254	0.609	0.93	4587.0	0.637	1.0
b2[2,60]	0.57	0.0025	0.187	0.189	0.569	0.937	5579.0	0.775	1.0
b2[2,61]	-0.0094	0.00434	0.288	-0.601	-0.00889	0.525	4397.0	0.611	1.0
b2[2,62]	0.501	0.00554	0.3	-0.11	0.492	1.08	2924.0	0.406	1.0
b2[2,63]	0.422	0.00452	0.314	-0.222	0.409	1.04	4845.0	0.673	1.0
b2[2,64]	0.692	0.00502	0.331	0.0448	0.686	1.33	4354.0	0.605	0.999
b2[2,65]	0.254	0.00424	0.262	-0.282	0.248	0.761	3819.0	0.53	1.0
b2[2,66]	0.523	0.00486	0.312	-0.137	0.525	1.11	4129.0	0.573	1.0
b2[2,67]	-0.0643	0.00372	0.251	-0.578	-0.0643	0.415	4552.0	0.632	1.0
b2[2,68]	0.523	0.00477	0.311	-0.107	0.525	1.12	4257.0	0.591	1.0
b2[2,69]	0.53	0.00502	0.299	-0.0651	0.527	1.09	3563.0	0.495	0.999
b2[2,70]	-0.426	0.00302	0.193	-0.828	-0.426	-0.0789	4088.0	0.568	1.0
b2[2,71]	0.255	0.00486	0.286	-0.338	0.252	0.806	3465.0	0.481	1.0
b2[2,72]	0.272	0.00387	0.234	-0.2	0.271	0.723	3660.0	0.508	1.0
b2[2,73]	0.408	0.00384	0.26	-0.118	0.402	0.902	4598.0	0.638	1.0
b2[2,74]	-0.123	0.00379	0.246	-0.647	-0.118	0.333	4218.0	0.586	1.0
b2[2,75]	0.433	0.00489	0.322	-0.243	0.433	1.04	4324.0	0.601	1.0
b2[2,76]	0.551	0.00479	0.313	-0.0619	0.543	1.16	4271.0	0.593	1.0
b2[2,77]	-0.25	0.00558	0.336	-0.936	-0.254	0.394	3624.0	0.503	1.0
b2[2,78]	0.469	0.00585	0.331	-0.194	0.466	1.1	3193.0	0.443	1.0
b2[2,79]	0.324	0.00385	0.25	-0.203	0.321	0.802	4204.0	0.584	1.0
b2[2,80]	0.117	0.00485	0.277	-0.473	0.118	0.628	3270.0	0.454	1.0
b2[2,81]	0.395	0.00438	0.289	-0.184	0.396	0.959	4362.0	0.606	1.0
b2[2,82]	0.214	0.00426	0.282	-0.362	0.211	0.745	4380.0	0.608	1.0
b2[2,83]	0.661	0.00471	0.329	0.00323	0.652	1.31	4887.0	0.679	1.0
b2[2,84]	-0.0975	0.0025	0.166	-0.435	-0.0949	0.213	4386.0	0.609	1.0
b2[2,85]	0.586	0.00507	0.304	-0.0305	0.582	1.18	3595.0	0.499	1.0
b2[2,86]	0.65	0.00479	0.309	0.0326	0.649	1.24	4165.0	0.578	1.0
b2[2,87]	-0.026	0.00356	0.235	-0.51	-0.0275	0.413	4359.0	0.605	1.0
b2[2,88]	-0.186	0.00453	0.294	-0.794	-0.178	0.355	4207.0	0.584	1.0
b2[2,89]	0.289	0.00568	0.379	-0.486	0.293	0.997	4456.0	0.619	1.0
b2[2,90]	0.95	0.00493	0.312	0.329	0.946	1.55	3997.0	0.555	1.0
b2[2,91]	0.473	0.00404	0.287	-0.095	0.474	1.03	5044.0	0.7	1.0
b2[2,92]	0.0189	0.00382	0.266	-0.528	0.0179	0.522	4848.0	0.673	1.0
b2[2,93]	-0.00757	0.00506	0.265	-0.56	-0.0101	0.48	2743.0	0.381	1.0
b2[2,94]	0.441	0.00309	0.209	0.0106	0.438	0.841	4596.0	0.638	1.0
b2[2,95]	0.252	0.0033	0.221	-0.211	0.255	0.662	4455.0	0.619	1.0
b2[2,96]	0.174	0.00435	0.271	-0.387	0.176	0.69	3893.0	0.541	1.0
b2[2,97]	0.241	0.00221	0.162	-0.107	0.242	0.547	5346.0	0.742	1.0
b2[2,98]	0.567	0.00394	0.283	-0.0205	0.561	1.11	5170.0	0.718	1.0
