	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	14.0	0.0378	1.44	11.2	14.0	16.8	1454.0	0.0991	1.0
b1_mu[2]	25.9	0.0869	2.31	21.5	25.8	30.5	706.0	0.0481	1.0
b2_mu[1]	20.7	0.148	3.04	15.1	20.5	26.9	421.0	0.0287	1.01
b2_mu[2]	27.0	0.109	2.8	22.0	26.8	32.8	654.0	0.0446	1.0
b3_mu[1]	1.89	0.00376	0.144	1.6	1.88	2.16	1458.0	0.0994	1.0
b3_mu[2]	1.17	0.0037	0.136	0.899	1.17	1.44	1351.0	0.0921	1.01
b4_mu[1]	0.125	0.00183	0.0716	-0.0227	0.125	0.256	1530.0	0.104	1.0
b4_mu[2]	0.438	0.00202	0.0889	0.256	0.438	0.601	1937.0	0.132	1.0
a1_mu[1]	0.179	0.000464	0.0195	0.141	0.178	0.216	1760.0	0.12	1.0
a1_mu[2]	0.129	0.000593	0.0157	0.0975	0.129	0.159	697.0	0.0475	1.01
a2_mu[1]	0.061	0.000554	0.0132	0.0377	0.0599	0.0891	572.0	0.039	1.01
a2_mu[2]	0.117	0.000753	0.0178	0.0809	0.116	0.152	557.0	0.038	1.01
c1_mu[1]	0.00857	0.00014	0.00455	0.00203	0.00783	0.019	1049.0	0.0715	1.0
c1_mu[2]	0.00475	7.28e-05	0.00248	0.00116	0.00432	0.0104	1160.0	0.0791	1.0
sigma[1,1]	0.958	0.00294	0.116	0.744	0.949	1.2	1562.0	0.106	1.0
sigma[2,1]	1.18	0.00904	0.193	0.826	1.16	1.58	454.0	0.0309	1.01
sigma[3,1]	0.168	0.00052	0.0204	0.13	0.166	0.209	1540.0	0.105	1.0
sigma[4,1]	0.0912	0.000279	0.0118	0.0687	0.0906	0.116	1804.0	0.123	1.0
sigma[5,1]	0.365	0.00199	0.0523	0.264	0.363	0.468	687.0	0.0468	1.0
sigma[6,1]	0.472	0.00242	0.0647	0.343	0.471	0.596	717.0	0.0489	1.0
sigma[7,1]	2.14	0.00858	0.281	1.64	2.11	2.72	1072.0	0.0731	1.01
sigma[1,2]	0.472	0.00274	0.0784	0.325	0.466	0.629	816.0	0.0557	1.0
sigma[2,2]	0.342	0.00604	0.111	0.137	0.335	0.563	336.0	0.0229	1.01
sigma[3,2]	0.119	0.000321	0.015	0.0908	0.118	0.15	2190.0	0.149	1.0
sigma[4,2]	0.0665	0.00023	0.0101	0.0468	0.0661	0.0866	1923.0	0.131	1.0
sigma[5,2]	0.257	0.00158	0.0409	0.174	0.255	0.335	668.0	0.0456	1.01
sigma[6,2]	0.204	0.00226	0.048	0.108	0.203	0.295	452.0	0.0308	1.01
sigma[7,2]	1.01	0.00646	0.165	0.707	1.0	1.35	651.0	0.0444	1.01
b1[1,1]	23.6	0.124	6.98	10.5	23.1	38.1	3198.0	0.218	1.0
b1[2,1]	34.7	0.124	8.04	20.7	34.1	51.3	4234.0	0.289	1.0
b1[1,2]	5.86	0.111	4.67	1.14	4.56	17.9	1771.0	0.121	1.0
b1[2,2]	27.3	0.119	6.88	15.7	26.4	42.3	3365.0	0.229	1.0
b1[1,3]	12.0	0.0871	4.44	6.35	11.0	22.8	2597.0	0.177	1.0
b1[2,3]	29.6	0.141	7.6	16.2	29.1	45.0	2915.0	0.199	1.0
b1[1,4]	26.5	0.0926	7.39	12.8	26.0	41.7	6376.0	0.435	1.0
b1[2,4]	35.9	0.119	8.04	21.2	35.4	51.8	4550.0	0.31	0.999
b1[1,5]	21.3	0.121	7.16	10.5	20.1	37.3	3511.0	0.239	1.0
b1[2,5]	33.0	0.154	8.98	16.6	32.5	51.3	3391.0	0.231	1.0
b1[1,6]	12.4	0.105	5.42	6.0	10.8	26.0	2677.0	0.183	1.0
b1[2,6]	24.7	0.382	10.6	6.93	25.0	44.9	768.0	0.0524	1.0
b1[1,7]	6.06	0.0417	2.26	2.62	5.74	10.8	2939.0	0.2	1.0
b1[2,7]	22.8	0.137	6.63	12.7	21.5	38.6	2328.0	0.159	1.0
b1[1,8]	13.6	0.0885	5.06	7.0	12.4	26.1	3266.0	0.223	1.0
b1[2,8]	28.2	0.119	7.48	15.5	27.4	44.3	3953.0	0.27	1.0
b1[1,9]	3.92	0.0779	3.14	1.31	2.97	11.6	1627.0	0.111	1.0
b1[2,9]	15.9	0.168	7.2	6.03	14.4	32.5	1840.0	0.125	1.0
b1[1,10]	12.1	0.103	4.89	6.38	10.7	24.2	2256.0	0.154	1.0
b1[2,10]	28.5	0.136	7.02	16.6	27.7	43.7	2652.0	0.181	1.0
b1[1,11]	4.21	0.0433	2.1	0.903	4.09	7.87	2353.0	0.16	1.0
b1[2,11]	21.8	0.136	7.07	10.4	21.0	36.7	2710.0	0.185	1.0
b1[1,12]	9.45	0.138	5.76	3.75	7.42	25.1	1735.0	0.118	1.0
b1[2,12]	28.3	0.129	7.29	16.4	27.4	44.0	3213.0	0.219	1.0
b1[1,13]	3.21	0.0546	2.19	1.03	2.7	8.08	1602.0	0.109	1.0
b1[2,13]	11.3	0.255	7.33	3.6	8.64	29.2	828.0	0.0565	1.0
b1[1,14]	16.0	0.0725	4.58	9.37	15.2	26.2	4003.0	0.273	1.0
b1[2,14]	33.9	0.109	7.28	21.0	33.3	48.6	4450.0	0.303	1.0
b1[1,15]	19.2	0.11	6.28	10.2	18.0	34.0	3254.0	0.222	1.0
b1[2,15]	30.3	0.124	8.07	16.2	29.6	47.3	4256.0	0.29	1.0
b1[1,16]	24.3	0.0925	6.35	13.8	23.6	38.4	4713.0	0.321	1.0
b1[2,16]	35.2	0.119	8.06	21.0	34.5	51.6	4578.0	0.312	1.0
b1[1,17]	10.7	0.045	2.7	6.53	10.4	16.6	3592.0	0.245	1.0
b1[2,17]	24.6	0.144	7.32	12.2	23.8	39.8	2596.0	0.177	1.0
b1[1,18]	16.2	0.103	6.4	7.36	15.0	30.9	3843.0	0.262	1.0
b1[2,18]	28.6	0.188	9.07	11.3	28.4	46.6	2320.0	0.158	1.0
b1[1,19]	27.6	0.094	6.69	16.3	26.9	41.7	5071.0	0.346	1.0
b1[2,19]	37.5	0.119	8.29	22.5	37.1	54.5	4816.0	0.328	0.999
b1[1,20]	22.0	0.0945	6.23	12.2	21.1	36.0	4347.0	0.296	1.0
b1[2,20]	34.5	0.127	8.45	19.0	33.9	52.1	4424.0	0.302	1.0
b1[1,21]	4.32	0.0717	3.4	0.572	3.42	13.3	2251.0	0.153	1.0
b1[2,21]	16.8	0.146	7.07	6.86	15.4	32.6	2359.0	0.161	1.0
b1[1,22]	14.9	0.18	7.18	6.53	12.6	32.0	1583.0	0.108	1.0
b1[2,22]	33.7	0.12	7.62	20.4	33.0	50.2	4010.0	0.273	1.0
b1[1,23]	12.4	0.123	5.17	5.92	11.1	25.1	1771.0	0.121	1.0
