	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	32.8	0.0902	3.28	26.5	32.7	39.4	1318.0	0.0572	1.0
b1_mu[2]	33.3	0.0821	3.31	27.0	33.1	39.8	1632.0	0.0709	1.0
b2_mu[1]	28.7	0.0668	2.92	23.1	28.7	34.4	1910.0	0.0829	1.0
b2_mu[2]	28.8	0.0664	2.85	23.2	28.7	34.3	1844.0	0.0801	1.0
b3_mu[1]	1.27	0.00235	0.13	1.0	1.26	1.52	3057.0	0.133	1.0
b3_mu[2]	1.11	0.00361	0.134	0.834	1.11	1.36	1379.0	0.0599	1.0
b4_mu[1]	0.412	0.002	0.0976	0.215	0.41	0.6	2372.0	0.103	1.0
b4_mu[2]	0.475	0.0023	0.102	0.267	0.475	0.67	1973.0	0.0857	1.0
a1_mu[1]	0.105	0.000384	0.0142	0.0778	0.104	0.133	1365.0	0.0593	1.0
a1_mu[2]	0.104	0.000334	0.0137	0.0777	0.104	0.131	1687.0	0.0733	1.0
a2_mu[1]	0.094	0.000331	0.0135	0.0685	0.0933	0.121	1661.0	0.0721	1.0
a2_mu[2]	0.121	0.000428	0.0162	0.0898	0.12	0.153	1440.0	0.0625	1.0
c1_mu[1]	0.0138	0.000116	0.00437	0.00617	0.0133	0.0232	1417.0	0.0615	1.01
c1_mu[2]	0.00775	7.81e-05	0.00292	0.00302	0.00739	0.0142	1400.0	0.0608	1.0
sigma[1,1]	1.95	0.00867	0.283	1.45	1.93	2.54	1067.0	0.0464	1.0
sigma[2,1]	1.67	0.00561	0.232	1.25	1.66	2.16	1706.0	0.0741	1.0
sigma[3,1]	0.144	0.000443	0.0181	0.11	0.143	0.18	1662.0	0.0722	1.0
sigma[4,1]	0.125	0.000343	0.0157	0.0954	0.124	0.156	2105.0	0.0914	1.0
sigma[5,1]	0.37	0.00213	0.0573	0.255	0.369	0.479	727.0	0.0316	1.0
sigma[6,1]	0.431	0.00271	0.0719	0.284	0.429	0.57	702.0	0.0305	1.0
sigma[7,1]	1.5	0.00721	0.2	1.14	1.49	1.91	773.0	0.0336	1.01
sigma[1,2]	0.385	0.00855	0.162	0.116	0.375	0.724	361.0	0.0157	1.02
sigma[2,2]	0.143	0.00282	0.0753	0.0322	0.129	0.317	712.0	0.0309	1.0
sigma[3,2]	0.115	0.000442	0.0166	0.0835	0.114	0.148	1402.0	0.0609	1.0
sigma[4,2]	0.0636	0.000341	0.0135	0.0363	0.0633	0.0898	1563.0	0.0679	1.01
sigma[5,2]	0.235	0.00146	0.0408	0.151	0.235	0.314	782.0	0.034	1.01
sigma[6,2]	0.202	0.00117	0.0358	0.128	0.201	0.27	936.0	0.0406	1.01
sigma[7,2]	0.762	0.00592	0.142	0.5	0.755	1.05	572.0	0.0248	1.01
b1[1,1]	47.1	0.182	14.1	23.8	45.4	77.3	5931.0	0.258	1.0
b1[2,1]	47.0	0.185	14.1	23.4	45.4	77.7	5788.0	0.251	1.0
b1[1,2]	36.1	0.228	14.2	12.5	34.7	65.7	3887.0	0.169	1.0
b1[2,2]	39.0	0.17	13.1	18.5	37.3	67.5	5928.0	0.257	0.999
b1[1,3]	41.1	0.218	15.1	16.1	39.5	72.8	4778.0	0.208	1.0
b1[2,3]	42.9	0.19	14.4	19.0	41.1	73.8	5732.0	0.249	1.0
b1[1,4]	53.1	0.205	14.9	27.6	51.8	84.8	5260.0	0.228	1.0
b1[2,4]	52.2	0.218	15.2	26.2	50.7	84.3	4834.0	0.21	1.0
b1[1,5]	45.8	0.197	14.3	22.8	44.3	77.1	5261.0	0.229	1.0
b1[2,5]	46.7	0.203	14.9	20.4	45.4	78.0	5382.0	0.234	1.0
b1[1,6]	6.82	0.183	5.1	3.41	5.64	16.8	774.0	0.0336	1.01
b1[2,6]	10.4	0.253	6.59	5.33	8.44	30.1	679.0	0.0295	1.01
b1[1,7]	24.3	0.394	15.4	7.04	19.6	61.1	1537.0	0.0668	1.0
b1[2,7]	28.6	0.324	14.2	12.7	23.6	64.0	1919.0	0.0833	1.0
b1[1,8]	29.9	0.269	14.1	8.69	27.9	61.2	2728.0	0.119	1.0
b1[2,8]	34.1	0.187	12.6	15.8	31.7	63.2	4547.0	0.198	1.0
b1[1,9]	27.1	0.241	13.0	11.7	23.3	57.5	2936.0	0.128	1.0
b1[2,9]	23.6	0.269	13.8	6.65	20.1	56.0	2618.0	0.114	1.0
b1[1,10]	41.0	0.196	13.5	19.7	39.1	70.1	4734.0	0.206	1.0
b1[2,10]	41.5	0.196	13.5	20.0	39.7	70.8	4750.0	0.206	1.0
b1[1,11]	38.1	0.202	13.9	15.9	36.3	67.7	4710.0	0.205	1.0
b1[2,11]	37.7	0.218	14.2	14.4	35.9	68.7	4235.0	0.184	1.0
b1[1,12]	48.8	0.2	14.8	22.8	47.4	79.2	5471.0	0.238	1.0
b1[2,12]	49.1	0.192	15.0	23.3	47.6	81.1	6125.0	0.266	1.0
b1[1,13]	6.63	0.0351	1.98	3.54	6.42	10.7	3184.0	0.138	1.0
b1[2,13]	7.61	0.0907	3.6	3.66	6.79	16.4	1576.0	0.0685	1.0
b1[1,14]	42.6	0.228	14.4	18.8	40.9	73.3	3985.0	0.173	1.0
b1[2,14]	45.7	0.178	13.4	24.1	43.9	74.7	5625.0	0.244	1.0
b1[1,15]	46.3	0.227	15.1	18.8	44.9	78.1	4464.0	0.194	1.0
b1[2,15]	44.9	0.228	15.1	19.7	43.6	76.8	4390.0	0.191	1.0
b1[1,16]	44.0	0.209	14.1	19.8	42.6	73.8	4508.0	0.196	1.0
b1[2,16]	45.1	0.195	13.9	21.7	43.5	74.6	5046.0	0.219	1.0
b1[1,17]	38.9	0.273	15.2	13.4	37.3	71.8	3073.0	0.133	1.0
b1[2,17]	37.6	0.264	15.0	14.7	35.4	70.9	3209.0	0.139	1.0
