name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_d_pr[2,26]	-0.123	0.0098	0.745	-1.71	-0.124	1.3	5780.0	0.411	1.0
theta_d_pr[2,27]	0.0809	0.0103	0.763	-1.49	0.0668	1.53	5478.0	0.39	1.0
theta_d_pr[2,28]	-0.206	0.0129	0.485	-1.2	-0.216	0.718	1412.0	0.101	1.0
theta_d_pr[2,29]	0.376	0.0146	0.698	-1.04	0.385	1.64	2296.0	0.163	1.0
theta_d_pr[2,30]	-0.0428	0.0108	0.637	-1.38	-0.0141	1.13	3487.0	0.248	1.0
theta_d_pr[2,31]	0.815	0.0122	0.723	-0.655	0.794	2.19	3511.0	0.25	1.0
theta_d_pr[2,32]	1.15	0.0111	0.698	-0.323	1.13	2.46	3984.0	0.284	1.0
theta_d_pr[2,33]	0.788	0.0104	0.631	-0.527	0.778	2.0	3658.0	0.26	1.0
theta_d_pr[2,34]	-1.24	0.0129	0.503	-2.29	-1.23	-0.284	1514.0	0.108	1.0
theta_d_pr[2,35]	0.062	0.00963	0.664	-1.28	0.0352	1.34	4752.0	0.338	1.0
theta_d_pr[2,36]	-1.7	0.0184	0.517	-2.78	-1.69	-0.731	792.0	0.0564	1.01
theta_d_pr[2,37]	-0.264	0.0146	0.759	-1.83	-0.267	1.16	2690.0	0.191	1.0
theta_d_pr[2,38]	0.848	0.0139	0.688	-0.531	0.846	2.11	2455.0	0.175	1.0
theta_d_pr[2,39]	0.258	0.0251	0.707	-1.2	0.264	1.52	790.0	0.0562	1.0
theta_d_pr[2,40]	0.514	0.0101	0.699	-0.924	0.507	1.88	4801.0	0.342	1.0
theta_d_pr[2,41]	-0.454	0.016	0.625	-1.72	-0.448	0.69	1526.0	0.109	1.0
theta_d_pr[2,42]	-1.66	0.0162	0.708	-3.12	-1.67	-0.355	1903.0	0.135	1.0
theta_d_pr[2,43]	-0.837	0.00916	0.642	-2.18	-0.828	0.35	4912.0	0.35	1.0
theta_d_pr[2,44]	0.704	0.0112	0.52	-0.358	0.709	1.67	2170.0	0.154	1.0
theta_d_pr[2,45]	-0.743	0.00894	0.543	-1.92	-0.743	0.257	3690.0	0.263	1.0
theta_d_pr[2,46]	-0.18	0.00869	0.518	-1.25	-0.167	0.823	3550.0	0.253	1.0
theta_d_pr[2,47]	0.00499	0.0201	0.751	-1.48	0.00719	1.46	1397.0	0.0995	1.0
theta_d_pr[2,48]	0.339	0.0138	0.761	-1.27	0.343	1.74	3037.0	0.216	1.0
theta_d_pr[2,49]	0.0662	0.00966	0.637	-1.2	0.0488	1.32	4355.0	0.31	1.0
theta_d_pr[2,50]	-0.793	0.0203	0.519	-1.89	-0.787	0.118	651.0	0.0463	1.01
theta_d_pr[2,51]	-0.26	0.0181	0.526	-1.35	-0.254	0.686	846.0	0.0602	1.01
theta_d_pr[2,52]	-0.0658	0.011	0.731	-1.6	-0.0759	1.33	4415.0	0.314	1.0
