name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-11000.0	1.31	30.1	-11000.0	-11000.0	-10900.0	530.0	0.104	1.01
theta_mu[1,1]	28.8	0.0201	1.13	26.6	28.8	31.0	3153.0	0.619	1.0
theta_mu[1,2]	1.62	0.0051	0.103	1.41	1.62	1.81	408.0	0.0802	1.0
theta_mu[2,1]	0.0371	0.000444	0.0114	0.0135	0.0372	0.0576	655.0	0.129	1.01
theta_mu[2,2]	0.0525	0.000481	0.0123	0.027	0.0527	0.0754	649.0	0.128	1.01
theta_mu[3,1]	0.115	0.00102	0.0189	0.0763	0.115	0.151	343.0	0.0673	1.02
theta_mu[3,2]	0.133	0.000998	0.0204	0.0919	0.133	0.171	417.0	0.0819	1.01
theta_mu[4,1]	-2.69	0.00129	0.0326	-2.75	-2.69	-2.63	635.0	0.125	1.01
theta_mu[4,2]	-1.03	0.0025	0.043	-1.12	-1.02	-0.944	295.0	0.058	1.01
theta_mu[5,1]	-2.76	0.00113	0.0338	-2.83	-2.76	-2.7	901.0	0.177	1.01
theta_mu[5,2]	-1.07	0.00135	0.0407	-1.16	-1.07	-0.997	916.0	0.18	1.0
theta_c_pr[1,1]	0.0305	0.0135	0.363	-0.681	0.026	0.728	723.0	0.142	1.01
theta_c_pr[1,2]	0.411	0.026	0.421	-0.418	0.388	1.27	263.0	0.0517	1.03
theta_c_pr[1,3]	0.29	0.0166	0.436	-0.529	0.249	1.14	690.0	0.136	1.01
theta_c_pr[1,4]	0.449	0.0107	0.431	-0.386	0.421	1.32	1637.0	0.322	1.0
theta_c_pr[1,5]	0.417	0.03	0.453	-0.692	0.405	1.29	228.0	0.0448	1.01
theta_c_pr[1,6]	-1.12	0.0177	0.267	-1.69	-1.13	-0.598	228.0	0.0448	1.01
theta_c_pr[1,7]	0.602	0.0136	0.458	-0.272	0.556	1.51	1131.0	0.222	1.0
theta_c_pr[1,8]	-0.0986	0.0175	0.462	-0.959	-0.138	0.867	699.0	0.137	1.0
theta_c_pr[1,9]	-1.03	0.0317	0.37	-1.73	-1.08	-0.0791	136.0	0.0268	1.04
theta_c_pr[1,10]	0.925	0.0172	0.527	-0.0439	0.88	2.04	941.0	0.185	1.0
