	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	33.6	0.114	3.41	27.1	33.5	40.5	894.0	0.0701	1.0
b1_mu[2]	33.3	0.129	3.55	26.7	33.2	40.4	750.0	0.0588	1.0
b2_mu[1]	28.9	0.0844	2.87	23.4	28.8	34.7	1155.0	0.0905	1.0
b2_mu[2]	29.3	0.0877	2.95	23.8	29.2	35.1	1129.0	0.0884	1.01
b3_mu[1]	1.22	0.00368	0.138	0.933	1.21	1.48	1400.0	0.11	1.0
b3_mu[2]	0.858	0.00371	0.132	0.595	0.854	1.11	1277.0	0.1	1.0
b4_mu[1]	0.55	0.00276	0.109	0.334	0.547	0.762	1564.0	0.123	1.0
b4_mu[2]	0.476	0.00268	0.104	0.275	0.473	0.676	1516.0	0.119	1.0
a1_mu[1]	0.109	0.000388	0.0138	0.082	0.109	0.135	1262.0	0.0988	1.0
a1_mu[2]	0.0965	0.000489	0.0138	0.0707	0.0957	0.124	796.0	0.0624	1.01
a2_mu[1]	0.115	0.000349	0.0135	0.0889	0.115	0.141	1498.0	0.117	1.0
a2_mu[2]	0.0904	0.000308	0.0108	0.0693	0.0898	0.111	1233.0	0.0966	1.01
c1_mu[1]	0.0113	0.000139	0.00403	0.00445	0.0108	0.0198	840.0	0.0658	1.01
c1_mu[2]	0.00624	9.17e-05	0.00249	0.00227	0.00589	0.0118	735.0	0.0576	1.02
sigma[1,1]	1.83	0.00877	0.267	1.35	1.8	2.4	926.0	0.0726	1.0
sigma[2,1]	1.59	0.00761	0.224	1.2	1.57	2.06	864.0	0.0677	1.0
sigma[3,1]	0.166	0.000569	0.0197	0.13	0.165	0.206	1198.0	0.0938	1.0
sigma[4,1]	0.128	0.000445	0.0161	0.0974	0.127	0.16	1316.0	0.103	1.01
sigma[5,1]	0.325	0.00272	0.0604	0.203	0.323	0.444	493.0	0.0386	1.01
