	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	16.0	0.0407	1.9	12.5	15.9	19.9	2191.0	0.0436	1.0
b1_mu[2]	21.7	0.056	2.37	17.4	21.5	26.4	1784.0	0.0355	1.0
b2_mu[1]	10.3	0.0748	1.96	7.26	9.96	14.8	689.0	0.0137	1.0
b2_mu[2]	22.8	0.0867	3.13	17.1	22.5	29.4	1302.0	0.0259	1.0
b3_mu[1]	2.5	0.00522	0.232	2.06	2.49	2.96	1986.0	0.0395	1.0
b3_mu[2]	1.69	0.00398	0.197	1.3	1.69	2.07	2449.0	0.0488	1.0
b4_mu[1]	0.157	0.00131	0.0831	-0.00969	0.155	0.316	4007.0	0.0798	1.0
b4_mu[2]	0.121	0.00125	0.0888	-0.0652	0.121	0.29	5086.0	0.101	1.0
a1_mu[1]	0.155	0.000583	0.0271	0.103	0.154	0.21	2167.0	0.0431	1.0
a1_mu[2]	0.135	0.000429	0.0214	0.0936	0.135	0.178	2499.0	0.0498	0.999
a2_mu[1]	0.143	0.00162	0.0457	0.0619	0.138	0.238	802.0	0.016	1.0
a2_mu[2]	0.0633	0.0004	0.0137	0.0396	0.0619	0.0927	1179.0	0.0235	1.0
c1_mu[1]	0.0113	0.000119	0.00615	0.00208	0.0103	0.0251	2655.0	0.0529	1.0
c1_mu[2]	0.00522	7.51e-05	0.00329	0.000717	0.00452	0.0129	1922.0	0.0383	1.0
sigma[1,1]	0.93	0.00276	0.138	0.681	0.919	1.23	2502.0	0.0498	1.0
sigma[2,1]	0.619	0.0034	0.112	0.439	0.602	0.863	1083.0	0.0216	1.0
sigma[3,1]	0.246	0.000594	0.03	0.191	0.244	0.307	2541.0	0.0506	1.0
sigma[4,1]	0.0991	0.00023	0.0123	0.0759	0.0982	0.124	2890.0	0.0575	1.0
sigma[5,1]	0.549	0.00249	0.0823	0.369	0.549	0.7	1093.0	0.0218	1.0
sigma[6,1]	0.555	0.00142	0.0669	0.416	0.554	0.683	2215.0	0.0441	1.0
sigma[7,1]	2.05	0.00656	0.322	1.47	2.01	2.72	2417.0	0.0481	1.0
sigma[1,2]	0.335	0.00398	0.116	0.0787	0.337	0.551	842.0	0.0168	1.0
sigma[2,2]	0.144	0.00291	0.0991	0.00527	0.131	0.361	1160.0	0.0231	1.0
sigma[3,2]	0.164	0.000496	0.0248	0.118	0.163	0.215	2510.0	0.05	1.0
sigma[4,2]	0.0801	0.000241	0.0121	0.0576	0.0795	0.104	2521.0	0.0502	1.0
sigma[5,2]	0.365	0.00221	0.0672	0.231	0.363	0.497	920.0	0.0183	1.0
sigma[6,2]	0.378	0.00165	0.0649	0.257	0.376	0.509	1543.0	0.0307	1.0
sigma[7,2]	0.775	0.00611	0.221	0.351	0.765	1.22	1307.0	0.026	1.0
b1[1,1]	13.6	0.164	7.89	5.52	10.6	33.5	2320.0	0.0462	1.0
b1[2,1]	25.2	0.128	7.19	13.5	24.3	40.6	3162.0	0.063	1.0
b1[1,2]	12.5	0.134	7.63	1.42	11.4	29.4	3262.0	0.0649	1.0
b1[2,2]	15.6	0.154	9.26	1.62	14.7	34.6	3604.0	0.0718	1.0
b1[1,3]	21.6	0.137	7.67	8.08	20.7	38.0	3124.0	0.0622	1.0
b1[2,3]	26.6	0.152	8.89	9.16	26.5	44.1	3444.0	0.0686	0.999
b1[1,4]	17.7	0.127	7.77	6.71	16.3	35.2	3719.0	0.0741	1.0
b1[2,4]	25.9	0.143	8.6	11.3	25.1	43.8	3614.0	0.0719	1.0
b1[1,5]	25.6	0.136	8.2	10.9	25.2	42.1	3614.0	0.072	1.0
b1[2,5]	30.0	0.159	8.97	12.6	29.6	48.2	3201.0	0.0637	1.0
b1[1,6]	23.8	0.135	8.11	9.9	23.1	40.1	3618.0	0.072	1.0
b1[2,6]	27.8	0.132	8.24	13.4	27.0	44.5	3869.0	0.077	1.0
b1[1,7]	12.8	0.0913	5.42	6.06	11.4	26.7	3530.0	0.0703	1.0
b1[2,7]	16.3	0.126	7.42	6.02	14.8	32.9	3499.0	0.0697	1.0
b1[1,8]	16.8	0.0728	4.5	8.95	16.5	26.3	3821.0	0.0761	1.0
b1[2,8]	23.4	0.113	6.52	11.7	22.9	37.0	3315.0	0.066	1.0
b1[1,9]	7.59	0.301	10.3	-2.79	2.48	30.7	1172.0	0.0233	1.0
b1[2,9]	22.5	0.136	7.51	10.6	21.5	38.6	3068.0	0.0611	1.0
b1[1,10]	22.5	0.158	8.07	8.1	21.9	39.6	2606.0	0.0519	1.0
b1[2,10]	29.9	0.14	7.88	15.9	29.2	46.4	3183.0	0.0634	1.0
b1[1,11]	21.7	0.12	7.14	10.0	20.9	37.1	3551.0	0.0707	1.0
b1[2,11]	28.5	0.123	7.52	15.4	27.7	44.1	3721.0	0.0741	1.0
b1[1,12]	7.06	0.133	7.19	-0.541	4.4	24.5	2936.0	0.0584	1.0
b1[2,12]	13.4	0.148	8.21	2.58	11.8	31.7	3082.0	0.0614	1.0
b1[1,13]	14.9	0.112	6.86	5.92	13.2	31.7	3752.0	0.0747	1.0
b1[2,13]	24.4	0.112	6.89	13.1	23.6	39.2	3800.0	0.0757	1.0
b1[1,14]	8.78	0.105	5.15	2.89	7.64	23.7	2398.0	0.0477	1.0
b1[2,14]	7.19	0.218	8.69	-2.67	4.41	28.1	1592.0	0.0317	1.0
b1[1,15]	13.7	0.107	6.91	4.06	12.3	29.4	4151.0	0.0826	1.0
b1[2,15]	19.8	0.13	7.8	7.25	18.9	36.9	3598.0	0.0716	1.0
b1[1,16]	20.3	0.101	6.48	10.1	19.4	34.5	4154.0	0.0827	1.0
b1[2,16]	24.4	0.121	7.51	11.8	23.7	40.8	3824.0	0.0761	1.0
b1[1,17]	18.1	0.122	7.37	7.54	16.6	35.2	3625.0	0.0722	1.0
b1[2,17]	26.4	0.119	7.34	13.9	25.5	42.5	3791.0	0.0755	1.0
b1[1,18]	23.8	0.118	6.96	12.4	23.1	38.8	3499.0	0.0697	1.0
b1[2,18]	29.6	0.118	7.33	16.5	29.1	44.8	3827.0	0.0762	1.0
b1[1,19]	20.0	0.113	7.05	8.17	19.4	35.0	3906.0	0.0778	1.0
b1[2,19]	25.8	0.125	7.67	12.3	25.2	41.8	3783.0	0.0753	1.0
b1[1,20]	17.2	0.119	6.91	7.19	16.1	32.7	3394.0	0.0676	1.0
b1[2,20]	22.7	0.138	7.89	9.29	21.8	39.4	3283.0	0.0654	1.0
b1[1,21]	27.6	0.113	6.88	15.6	27.0	42.1	3742.0	0.0745	1.0
b1[2,21]	31.2	0.125	7.92	16.6	30.6	47.4	4000.0	0.0796	1.0
b1[1,22]	21.1	0.114	6.98	9.95	20.2	36.8	3733.0	0.0743	1.0
b1[2,22]	26.9	0.123	7.38	14.5	26.2	42.6	3576.0	0.0712	1.0
b1[1,23]	4.51	0.109	6.11	-3.57	2.9	21.1	3154.0	0.0628	1.0
b1[2,23]	9.6	0.165	7.57	1.96	6.51	28.5	2111.0	0.042	1.0
b1[1,24]	14.7	0.101	6.44	6.07	13.2	29.7	4098.0	0.0816	1.0
b1[2,24]	18.3	0.137	8.23	6.9	16.6	36.6	3582.0	0.0713	1.0
b1[1,25]	21.6	0.11	6.74	10.8	20.7	36.0	3760.0	0.0749	1.0
b1[2,25]	22.1	0.187	9.77	5.27	22.0	41.0	2741.0	0.0546	1.0
