	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu	10.18	0.02	0.74	8.72	10.18	11.63	1468.74	0.15	1.0
b3_mu	1.45	0.0	0.1	1.24	1.45	1.64	2202.73	0.22	1.0
b4_mu	0.1	0.0	0.05	-0.0	0.1	0.19	3918.81	0.39	1.0
a1_mu	0.18	0.0	0.02	0.15	0.18	0.22	2984.57	0.29	1.0
a2_mu	0.1	0.0	0.01	0.08	0.1	0.12	2417.59	0.24	1.0
sigma[1]	0.634	0.00137	0.0614	0.524	0.629	0.759	2008.0	0.198	1.0
sigma[2]	0.185	0.00035	0.0177	0.152	0.184	0.22	2543.0	0.251	1.0
sigma[3]	0.0799	0.000159	0.00912	0.0621	0.0793	0.0979	3306.0	0.327	1.0
sigma[4]	0.498	0.001	0.0532	0.399	0.496	0.606	2826.0	0.279	1.0
sigma[5]	0.408	0.0015	0.0603	0.291	0.406	0.525	1616.0	0.16	1.0
b1[1]	14.4	0.0487	3.22	9.44	14.0	21.7	4355.0	0.43	1.0
b1[2]	1.91	0.0345	1.3	0.559	1.65	4.32	1424.0	0.141	1.0
b1[3]	6.94	0.041	2.58	3.62	6.36	13.1	3967.0	0.392	1.0
b1[4]	12.3	0.0389	2.49	8.1	12.1	17.7	4092.0	0.404	1.0
b1[5]	8.09	0.0384	2.32	4.92	7.59	13.6	3658.0	0.361	1.0
b1[6]	12.8	0.0345	2.32	8.95	12.6	17.8	4536.0	0.448	1.0
b1[7]	8.58	0.0392	2.33	5.36	8.06	14.2	3543.0	0.35	1.0
b1[8]	14.7	0.0357	2.32	10.4	14.6	19.4	4199.0	0.415	1.0
b1[9]	3.68	0.0209	1.21	1.94	3.49	6.34	3365.0	0.332	1.0
b1[10]	16.3	0.0511	3.5	10.6	15.9	24.0	4704.0	0.465	1.0
b1[11]	9.73	0.0442	2.69	5.73	9.27	16.1	3707.0	0.366	1.0
b1[12]	4.87	0.0174	1.04	3.2	4.74	7.14	3603.0	0.356	1.0
b1[13]	10.9	0.0517	3.01	6.7	10.3	18.2	3396.0	0.336	1.0
b1[14]	1.65	0.00738	0.48	0.843	1.6	2.62	4233.0	0.418	1.0
b1[15]	5.9	0.0371	2.14	3.33	5.36	11.4	3308.0	0.327	1.0
b1[16]	15.8	0.05	3.03	10.8	15.5	22.5	3677.0	0.363	1.0
b1[17]	14.5	0.0406	2.85	9.66	14.2	20.7	4934.0	0.487	1.0
b1[18]	20.5	0.0552	3.62	14.1	20.2	28.2	4295.0	0.424	1.0
b1[19]	8.44	0.0252	1.7	5.49	8.29	12.1	4586.0	0.453	1.0
b1[20]	12.2	0.0487	3.18	7.23	11.8	19.3	4265.0	0.421	1.0
b1[21]	22.1	0.059	3.79	15.3	21.8	29.9	4125.0	0.408	1.0
b1[22]	17.7	0.0506	3.45	11.8	17.2	25.1	4653.0	0.46	1.0
b1[23]	2.66	0.0121	0.734	1.57	2.56	4.28	3674.0	0.363	1.0
b1[24]	11.3	0.033	2.06	7.99	11.0	15.8	3902.0	0.385	1.0
b1[25]	6.54	0.0227	1.31	4.41	6.4	9.38	3348.0	0.331	1.0
b1[26]	20.8	0.0568	3.83	13.9	20.5	28.9	4556.0	0.45	1.0
b1[27]	1.41	0.0167	0.927	0.284	1.22	3.49	3070.0	0.303	1.0
b1[28]	17.1	0.048	3.21	11.6	16.8	23.9	4478.0	0.442	1.0
b1[29]	17.5	0.0533	3.58	11.4	17.1	25.1	4512.0	0.446	1.0
b1[30]	11.8	0.0332	2.25	8.08	11.5	16.8	4585.0	0.453	1.0
b1[31]	1.68	0.0234	1.09	0.533	1.43	4.21	2150.0	0.212	1.0
b1[32]	11.1	0.0511	3.33	6.36	10.5	18.6	4250.0	0.42	1.0
b1[33]	4.58	0.0293	1.19	3.05	4.21	7.45	1659.0	0.164	1.0
