	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu	11.479	0.022	1.007	9.543	11.44	13.519	2083.8	0.124	1.001
b3_mu	0.618	0.001	0.053	0.508	0.618	0.719	3185.425	0.19	1.0
a1_mu	0.124	0.0	0.017	0.091	0.123	0.158	1948.855	0.116	1.001
sigma[1]	0.716	0.00156	0.079	0.57	0.709	0.878	2573.0	0.153	1.0
sigma[2]	0.0958	0.000166	0.009	0.079	0.0953	0.114	2931.0	0.174	1.0
sigma[3]	0.688	0.00113	0.0628	0.569	0.685	0.814	3103.0	0.185	1.0
b1[1]	15.1	0.0542	3.6	9.53	14.5	23.2	4396.0	0.262	1.0
b1[2]	6.65	0.0931	6.01	0.496	4.74	20.7	4159.0	0.248	1.0
b1[3]	9.35	0.0739	4.88	3.28	8.18	20.8	4356.0	0.259	1.0
b1[4]	10.2	0.0537	3.27	6.19	9.25	18.4	3710.0	0.221	1.0
b1[5]	7.12	0.0534	3.18	4.08	6.03	15.5	3542.0	0.211	1.0
b1[6]	15.4	0.0564	3.65	9.82	14.8	23.6	4197.0	0.25	1.0
b1[7]	12.3	0.0724	4.75	5.37	11.5	23.0	4317.0	0.257	1.0
b1[8]	11.8	0.027	1.73	8.56	11.6	15.3	4134.0	0.246	1.0
b1[9]	7.16	0.0828	5.31	1.58	5.41	20.1	4114.0	0.245	1.0
b1[10]	19.8	0.0742	4.76	12.0	19.3	29.7	4117.0	0.245	1.0
b1[11]	14.4	0.0806	5.22	5.97	13.8	25.7	4192.0	0.249	1.0
b1[12]	2.96	0.0221	0.758	2.08	2.87	4.06	1180.0	0.0702	1.0
b1[13]	17.2	0.0728	4.84	9.03	16.7	27.4	4424.0	0.263	1.0
b1[14]	1.64	0.0636	1.64	0.761	1.41	2.86	661.0	0.0394	1.01
b1[15]	7.97	0.09	5.39	2.7	5.78	20.7	3581.0	0.213	1.0
b1[16]	15.3	0.06	3.63	9.9	14.8	23.4	3664.0	0.218	1.0
b1[17]	15.5	0.0646	4.25	8.95	14.8	25.2	4335.0	0.258	1.0
b1[18]	20.5	0.0666	4.3	13.3	20.0	29.5	4171.0	0.248	1.0
b1[19]	9.38	0.0857	5.45	3.06	8.01	21.6	4037.0	0.24	1.0
b1[20]	17.2	0.0774	4.94	9.21	16.5	27.9	4071.0	0.242	1.0
b1[21]	22.2	0.0684	4.29	14.6	21.8	31.3	3926.0	0.234	1.0
b1[22]	20.3	0.0722	4.66	12.3	19.9	30.2	4160.0	0.248	0.999
b1[23]	2.66	0.0427	1.57	1.41	2.39	5.09	1355.0	0.0807	1.0
b1[24]	12.5	0.0481	3.1	8.0	11.9	19.7	4145.0	0.247	1.0
b1[25]	10.5	0.0833	5.61	2.67	9.76	22.4	4545.0	0.271	1.0
b1[26]	19.4	0.0671	4.38	12.3	18.8	29.0	4251.0	0.253	1.0
b1[27]	5.88	0.0888	5.71	0.333	3.85	19.3	4135.0	0.246	1.0
b1[28]	17.6	0.0631	4.17	11.0	17.0	26.8	4369.0	0.26	1.0
b1[29]	19.0	0.0682	4.34	11.8	18.4	28.3	4051.0	0.241	0.999
b1[30]	13.0	0.0466	3.07	8.44	12.5	20.0	4332.0	0.258	1.0
b1[31]	7.14	0.089	5.98	0.594	5.52	20.5	4513.0	0.269	1.0
b1[32]	16.1	0.0743	4.94	7.99	15.5	26.3	4418.0	0.263	1.0
b1[33]	3.31	0.00638	0.424	2.5	3.29	4.12	4411.0	0.263	1.0
b1[34]	14.1	0.064	4.15	7.86	13.3	23.5	4198.0	0.25	1.0
b1[35]	16.6	0.0762	5.03	8.26	16.0	27.3	4347.0	0.259	1.0
b1[36]	11.5	0.0439	2.83	7.33	11.0	18.2	4164.0	0.248	1.0
b1[37]	5.65	0.0777	4.7	1.48	3.66	17.7	3663.0	0.218	1.0
b1[38]	2.97	0.0237	0.828	2.02	2.87	4.23	1223.0	0.0728	1.0
b1[39]	8.68	0.0855	5.63	1.76	7.29	21.6	4338.0	0.258	1.0
b1[40]	8.46	0.0858	5.72	1.27	7.19	21.7	4443.0	0.264	1.0
b1[41]	9.42	0.0868	5.83	1.46	8.45	22.1	4513.0	0.269	1.0
b1[42]	19.0	0.0657	4.25	12.0	18.4	28.0	4195.0	0.25	0.999
b1[43]	12.5	0.0741	4.78	5.88	11.5	23.1	4166.0	0.248	1.0
b1[44]	7.94	0.0813	5.51	1.75	6.43	20.8	4605.0	0.274	0.999
b1[45]	15.3	0.0782	5.03	7.0	14.7	26.0	4140.0	0.246	1.0
b1[46]	20.7	0.0556	3.39	14.6	20.4	27.9	3705.0	0.221	0.999
b1[47]	8.58	0.0616	3.84	4.34	7.42	17.9	3876.0	0.231	1.0
b1[48]	14.6	0.0712	4.69	7.65	13.8	25.3	4332.0	0.258	0.999
b1[49]	5.76	0.0132	0.794	4.28	5.72	7.34	3619.0	0.215	1.0
b1[50]	1.83	0.00401	0.281	1.28	1.83	2.38	4904.0	0.292	1.0
b1[51]	11.3	0.0786	5.28	3.74	10.4	22.9	4505.0	0.268	1.0
b1[52]	11.6	0.058	3.68	7.0	10.7	20.4	4028.0	0.24	1.0
b1[53]	4.48	0.0882	5.16	0.669	1.7	18.1	3423.0	0.204	1.0
b1[54]	5.82	0.0699	3.91	2.18	4.49	16.5	3127.0	0.186	1.0
b1[55]	15.9	0.0656	4.17	9.61	15.2	25.2	4044.0	0.241	1.0
b1[56]	17.6	0.0695	4.51	10.1	17.1	27.8	4216.0	0.251	1.0
b1[57]	10.7	0.0882	5.76	2.04	9.98	23.3	4272.0	0.254	1.0
b1[58]	6.48	0.0318	1.38	4.71	6.26	9.19	1897.0	0.113	1.0
b1[59]	5.98	0.0871	4.79	2.07	3.75	19.1	3027.0	0.18	1.0
b1[60]	3.29	0.00809	0.514	2.33	3.27	4.31	4031.0	0.24	0.999
b1[61]	15.2	0.0651	4.09	8.9	14.6	24.6	3945.0	0.235	1.0
b1[62]	2.29	0.00486	0.319	1.67	2.27	2.92	4317.0	0.257	1.0
b1[63]	20.3	0.0686	4.4	13.1	19.8	29.8	4115.0	0.245	1.0
