	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	11.4	0.0233	1.21	9.15	11.3	13.9	2673.0	0.0673	1.0
b1_mu[2]	15.7	0.0239	1.31	13.2	15.6	18.3	3003.0	0.0757	1.0
b2_mu[1]	10.6	0.0409	1.61	7.68	10.5	14.0	1544.0	0.0389	1.0
b2_mu[2]	15.8	0.0459	1.64	12.8	15.7	19.1	1284.0	0.0324	1.0
b3_mu[1]	5.31	0.0204	0.803	3.84	5.26	7.0	1544.0	0.0389	1.0
b3_mu[2]	7.91	0.0229	0.822	6.38	7.87	9.57	1284.0	0.0324	1.0
b4_mu[1]	1.84	0.00222	0.14	1.56	1.83	2.11	3973.0	0.1	1.0
b4_mu[2]	1.34	0.00224	0.139	1.06	1.34	1.6	3841.0	0.0968	1.0
a1_mu[1]	0.51	8.77e-05	0.00561	0.498	0.51	0.52	4093.0	0.103	1.0
a1_mu[2]	0.507	9.38e-05	0.00585	0.495	0.507	0.518	3895.0	0.0981	1.0
a2_mu[1]	0.152	0.00054	0.0261	0.103	0.152	0.204	2332.0	0.0588	1.0
a2_mu[2]	0.145	0.000362	0.0203	0.105	0.144	0.185	3151.0	0.0794	1.0
sigma[1,1]	0.709	0.00155	0.0849	0.556	0.703	0.887	3006.0	0.0757	1.0
sigma[2,1]	0.676	0.00225	0.0977	0.496	0.669	0.873	1878.0	0.0473	1.0
sigma[3,1]	0.196	0.000328	0.0189	0.161	0.195	0.234	3319.0	0.0836	1.0
sigma[4,1]	0.0857	0.000175	0.0099	0.0667	0.0852	0.106	3195.0	0.0805	1.0
sigma[5,1]	0.541	0.00208	0.0773	0.374	0.541	0.685	1388.0	0.035	1.0
sigma[6,1]	0.542	0.00161	0.0725	0.394	0.54	0.68	2025.0	0.051	1.0
sigma[1,2]	0.287	0.00168	0.0615	0.161	0.286	0.405	1346.0	0.0339	1.0
sigma[2,2]	0.189	0.00249	0.0726	0.0278	0.193	0.319	847.0	0.0213	1.0
sigma[3,2]	0.136	0.000264	0.0156	0.107	0.136	0.167	3509.0	0.0884	1.0
sigma[4,2]	0.0712	0.000172	0.00959	0.0529	0.0708	0.0899	3106.0	0.0782	1.0
sigma[5,2]	0.3	0.00218	0.0663	0.165	0.299	0.427	925.0	0.0233	1.0
sigma[6,2]	0.325	0.00126	0.0545	0.218	0.324	0.433	1882.0	0.0474	1.0
b1[1,1]	9.22	0.0572	3.27	5.05	8.52	17.3	3269.0	0.0824	1.0
b1[2,1]	19.7	0.0748	4.39	12.0	19.4	28.8	3443.0	0.0867	1.0
b1[1,2]	6.22	0.0903	5.1	0.776	4.49	18.8	3187.0	0.0803	0.999
b1[2,2]	9.27	0.11	6.32	0.958	7.97	23.7	3324.0	0.0837	1.0
b1[1,3]	10.0	0.0824	5.1	3.19	8.85	21.8	3827.0	0.0964	1.0
b1[2,3]	13.4	0.0859	5.71	5.64	12.2	26.2	4417.0	0.111	1.0
b1[1,4]	11.5	0.063	4.02	5.53	10.8	20.6	4074.0	0.103	1.0
b1[2,4]	14.4	0.0613	3.95	8.1	13.8	23.4	4156.0	0.105	1.0
b1[1,5]	7.35	0.0595	3.84	2.92	6.22	17.3	4158.0	0.105	1.0
b1[2,5]	10.7	0.0625	4.01	4.95	9.9	19.8	4114.0	0.104	0.999
