name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-8670.0	1.13	34.0	-8740.0	-8670.0	-8600.0	912.0	0.225	1.0
theta_mu[1,1]	1.09	0.0034	0.101	0.895	1.09	1.3	882.0	0.218	1.0
theta_mu[1,2]	1.5	0.00314	0.103	1.29	1.5	1.7	1083.0	0.268	1.0
theta_mu[2,1]	0.0254	0.000281	0.0132	-0.000897	0.0253	0.0503	2208.0	0.545	1.0
theta_mu[2,2]	0.0159	0.000295	0.0144	-0.0139	0.0158	0.043	2375.0	0.587	1.0
theta_mu[3,1]	0.341	0.000645	0.0283	0.285	0.341	0.396	1930.0	0.477	1.0
theta_mu[3,2]	0.254	0.000721	0.0292	0.193	0.254	0.31	1637.0	0.404	1.0
theta_mu[4,1]	-0.981	0.0031	0.0917	-1.17	-0.98	-0.811	878.0	0.217	1.0
theta_mu[4,2]	-1.0	0.00185	0.0723	-1.15	-1.0	-0.864	1524.0	0.377	1.0
theta_mu[5,1]	-1.36	0.00386	0.0903	-1.54	-1.36	-1.19	547.0	0.135	1.01
theta_mu[5,2]	-1.31	0.00173	0.0704	-1.45	-1.3	-1.17	1664.0	0.411	1.0
theta_c_pr[1,1]	0.673	0.0098	0.519	-0.189	0.607	1.82	2808.0	0.694	1.0
theta_c_pr[1,2]	-1.44	0.00775	0.23	-1.86	-1.46	-0.941	878.0	0.217	1.0
theta_c_pr[1,3]	-0.722	0.00917	0.37	-1.27	-0.783	0.108	1625.0	0.402	1.0
theta_c_pr[1,4]	0.0906	0.00604	0.348	-0.516	0.0529	0.833	3323.0	0.821	1.0
theta_c_pr[1,5]	-0.415	0.00847	0.355	-0.988	-0.464	0.354	1757.0	0.434	1.0
theta_c_pr[1,6]	0.257	0.0072	0.374	-0.432	0.226	1.03	2704.0	0.668	1.0
theta_c_pr[1,7]	-0.324	0.00939	0.423	-0.955	-0.4	0.679	2034.0	0.503	1.0
theta_c_pr[1,8]	0.821	0.00757	0.463	-0.0327	0.789	1.76	3742.0	0.925	1.0
theta_c_pr[1,9]	-0.734	0.00662	0.285	-1.25	-0.759	-0.152	1855.0	0.458	1.0
theta_c_pr[1,10]	0.905	0.0108	0.595	-0.113	0.838	2.21	3032.0	0.749	1.0
theta_c_pr[1,11]	0.433	0.00978	0.553	-0.486	0.373	1.61	3204.0	0.792	1.0
theta_c_pr[1,12]	-0.893	0.0073	0.272	-1.36	-0.922	-0.313	1385.0	0.342	1.0
theta_c_pr[1,13]	0.553	0.0102	0.51	-0.274	0.478	1.69	2499.0	0.617	1.0
theta_c_pr[1,14]	-1.54	0.00749	0.188	-1.93	-1.54	-1.2	629.0	0.155	1.01
theta_c_pr[1,15]	-0.511	0.00808	0.354	-1.08	-0.556	0.31	1912.0	0.472	1.0
theta_c_pr[1,16]	0.714	0.00856	0.472	-0.117	0.668	1.7	3039.0	0.751	1.0
