Subject,Block,Trial,Valence,Exposure,Action,Robot,Rune,Color,Correct,Choice,RT,Accuracy,Sham,Outcome,TotalKeys
0ubclurpshlgyru3cwo3stun,1,81,Lose,21,Go,GAL,rune_02_raido,blue,1,1,0.724,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,82,Lose,21,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,83,Win,21,Go,GW,rune_02_cen,yellow,1,1,0.399,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,84,Win,21,No-Go,NGW,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,85,Lose,22,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,86,Lose,22,Go,GAL,rune_02_raido,blue,1,1,0.36,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,87,Win,22,No-Go,NGW,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,88,Win,22,Go,GW,rune_02_cen,yellow,1,1,0.327,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,89,Win,23,No-Go,NGW,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,90,Lose,23,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,91,Win,23,Go,GW,rune_02_cen,yellow,1,1,0.484,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,92,Lose,23,Go,GAL,rune_02_raido,blue,1,1,0.496,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,93,Lose,24,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,94,Win,24,Go,GW,rune_02_cen,yellow,1,1,0.455,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,1,95,Win,24,No-Go,NGW,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,96,Lose,24,Go,GAL,rune_02_raido,blue,1,1,0.471,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,97,Win,25,Go,GW,rune_02_cen,yellow,1,1,1.113,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,98,Win,25,No-Go,NGW,rune_02_os,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,1,99,Lose,25,Go,GAL,rune_02_raido,blue,1,1,0.423,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,1,100,Lose,25,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,1,101,Lose,26,Go,GAL,rune_02_raido,blue,1,1,0.506,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,1,102,Lose,26,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,1,103,Win,26,Go,GW,rune_02_cen,yellow,1,1,0.56,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,1,104,Win,26,No-Go,NGW,rune_02_os,yellow,0,1,0.36,0,0.0,+1,1
0ubclurpshlgyru3cwo3stun,1,105,Lose,27,Go,GAL,rune_02_raido,blue,1,1,0.352,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,106,Lose,27,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,107,Win,27,No-Go,NGW,rune_02_os,yellow,0,1,0.701,0,0.0,+1,1
0ubclurpshlgyru3cwo3stun,1,108,Win,27,Go,GW,rune_02_cen,yellow,1,1,0.337,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,109,Win,28,Go,GW,rune_02_cen,yellow,1,1,0.425,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,110,Win,28,No-Go,NGW,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,111,Lose,28,Go,GAL,rune_02_raido,blue,1,1,0.445,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,112,Lose,28,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,113,Lose,29,Go,GAL,rune_02_raido,blue,1,1,0.536,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,114,Win,29,Go,GW,rune_02_cen,yellow,1,1,0.392,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,115,Win,29,No-Go,NGW,rune_02_os,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,1,116,Lose,29,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,117,Lose,30,Go,GAL,rune_02_raido,blue,1,1,0.521,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,118,Win,30,Go,GW,rune_02_cen,yellow,1,1,0.374,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,119,Lose,30,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,120,Win,30,No-Go,NGW,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,121,Lose,31,No-Go,NGAL,rune_01_ingwaz,blue,0,1,0.496,0,0.0,-10,1
0ubclurpshlgyru3cwo3stun,2,122,Lose,31,Go,GAL,rune_01_ear,blue,1,1,0.476,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,123,Win,31,No-Go,NGW,rune_01_yr,yellow,0,1,0.587,0,0.0,+1,1
0ubclurpshlgyru3cwo3stun,2,124,Win,31,Go,GW,rune_01_ger,yellow,1,1,0.698,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,125,Lose,32,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,2,126,Win,32,No-Go,NGW,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,127,Win,32,Go,GW,rune_01_ger,yellow,1,1,0.823,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,128,Lose,32,Go,GAL,rune_01_ear,blue,1,0,,0,0.0,-10,0
0ubclurpshlgyru3cwo3stun,2,129,Win,33,No-Go,NGW,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,130,Lose,33,No-Go,NGAL,rune_01_ingwaz,blue,0,1,0.731,0,0.0,-10,1
0ubclurpshlgyru3cwo3stun,2,131,Lose,33,Go,GAL,rune_01_ear,blue,1,1,1.252,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,2,132,Win,33,Go,GW,rune_01_ger,yellow,1,1,0.394,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,133,Lose,34,Go,GAL,rune_01_ear,blue,1,1,0.591,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,134,Win,34,No-Go,NGW,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,135,Win,34,Go,GW,rune_01_ger,yellow,1,1,0.536,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,2,136,Lose,34,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,2,137,Lose,35,Go,GAL,rune_01_ear,blue,1,1,1.232,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,138,Win,35,No-Go,NGW,rune_01_yr,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,2,139,Lose,35,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,2,140,Win,35,Go,GW,rune_01_ger,yellow,1,1,0.496,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,141,Win,36,No-Go,NGW,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,142,Lose,36,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,2,143,Lose,36,Go,GAL,rune_01_ear,blue,1,1,0.437,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,144,Win,36,Go,GW,rune_01_ger,yellow,1,1,0.466,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,145,Win,37,No-Go,NGW,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,146,Lose,37,Go,GAL,rune_01_ear,blue,1,1,0.832,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,147,Lose,37,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,2,148,Win,37,Go,GW,rune_01_ger,yellow,1,1,0.426,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,149,Lose,38,Go,GAL,rune_01_ear,blue,1,1,0.682,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,2,150,Win,38,Go,GW,rune_01_ger,yellow,1,1,0.576,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,151,Lose,38,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,2,152,Win,38,No-Go,NGW,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,153,Win,39,Go,GW,rune_01_ger,yellow,1,1,0.383,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,154,Lose,39,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,2,155,Lose,39,Go,GAL,rune_01_ear,blue,1,1,0.424,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,156,Win,39,No-Go,NGW,rune_01_yr,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,2,157,Lose,40,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,2,158,Win,40,No-Go,NGW,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,159,Win,40,Go,GW,rune_01_ger,yellow,1,1,0.366,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,2,160,Lose,40,Go,GAL,rune_01_ear,blue,1,1,0.512,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,161,Win,41,No-Go,NGW,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,162,Lose,41,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,2,163,Lose,41,Go,GAL,rune_01_ear,blue,1,1,0.462,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,164,Win,41,Go,GW,rune_01_ger,yellow,1,1,0.335,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,165,Win,42,No-Go,NGW,rune_01_yr,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,2,166,Lose,42,Go,GAL,rune_01_ear,blue,1,1,0.37,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,167,Win,42,Go,GW,rune_01_ger,yellow,1,1,0.426,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,168,Lose,42,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,2,169,Lose,43,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,2,170,Lose,43,Go,GAL,rune_01_ear,blue,1,1,0.491,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,171,Win,43,No-Go,NGW,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,172,Win,43,Go,GW,rune_01_ger,yellow,1,1,0.326,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,173,Win,44,Go,GW,rune_01_ger,yellow,1,1,0.504,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,174,Lose,44,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,2,175,Lose,44,Go,GAL,rune_01_ear,blue,1,1,0.451,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,2,176,Win,44,No-Go,NGW,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,177,Lose,45,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,2,178,Lose,45,Go,GAL,rune_01_ear,blue,1,1,0.366,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,179,Win,45,No-Go,NGW,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,180,Win,45,Go,GW,rune_01_ger,yellow,1,1,0.327,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,2,181,Win,46,No-Go,NGW,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,182,Lose,46,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,2,183,Lose,46,Go,GAL,rune_01_ear,blue,1,1,0.337,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,184,Win,46,Go,GW,rune_01_ger,yellow,1,1,0.311,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,185,Win,47,Go,GW,rune_01_ger,yellow,1,1,0.394,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,2,186,Lose,47,Go,GAL,rune_01_ear,blue,1,1,0.462,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,187,Lose,47,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,2,188,Win,47,No-Go,NGW,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,189,Lose,48,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,2,190,Win,48,No-Go,NGW,rune_01_yr,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,2,191,Lose,48,Go,GAL,rune_01_ear,blue,1,1,0.511,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,192,Win,48,Go,GW,rune_01_ger,yellow,1,1,0.369,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,193,Lose,49,Go,GAL,rune_01_ear,blue,1,1,0.431,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,2,194,Lose,49,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,2,195,Win,49,Go,GW,rune_01_ger,yellow,1,1,0.319,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,196,Win,49,No-Go,NGW,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,197,Win,50,Go,GW,rune_01_ger,yellow,1,1,0.415,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,198,Lose,50,Go,GAL,rune_01_ear,blue,1,1,0.45,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,199,Lose,50,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,2,200,Win,50,No-Go,NGW,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,201,Lose,51,Go,GAL,rune_01_ear,blue,1,1,0.497,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,202,Win,51,No-Go,NGW,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,203,Lose,51,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,2,204,Win,51,Go,GW,rune_01_ger,yellow,1,1,0.325,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,205,Win,52,No-Go,NGW,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,206,Win,52,Go,GW,rune_01_ger,yellow,1,1,0.429,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,207,Lose,52,No-Go,NGAL,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
