trial,robot,stimulus
1,NGW,1
2,GAL,2
3,NGAL,3
4,GAL,4
5,NGW,1
6,GAL,2
7,NGAL,3
8,GAL,4
9,NGAL,3
10,NGW,1
11,GAL,2
12,GAL,4
13,GAL,4
14,GAL,2
15,NGAL,3
16,NGW,1
17,GAL,4
18,GAL,2
19,NGW,1
20,NGAL,3
21,GAL,4
22,NGAL,3
23,GAL,2
24,NGW,1
25,GAL,2
26,GAL,4
27,NGW,1
28,NGAL,3
29,GAL,2
30,NGW,1
31,GAL,4
32,NGAL,3
33,NGAL,3
34,GW,5
35,GAL,4
36,GW,6
37,GAL,4
38,GW,5
39,GW,6
40,NGAL,3
41,GW,5
42,NGW,7
43,NGAL,8
44,GW,6
45,NGAL,8
46,GW,5
47,GW,6
48,NGW,7
49,GW,5
50,GW,6
51,NGAL,8
52,NGW,7
53,GW,5
54,GW,6
55,NGAL,8
56,NGW,7
57,GW,5
58,NGW,7
59,NGAL,8
60,GW,6
61,GW,6
62,GW,5
63,NGW,7
64,NGAL,8
65,NGAL,8
66,GW,5
67,GW,6
68,NGW,7
69,NGAL,8
70,NGW,7
71,GW,6
72,GW,5
73,GAL,9
74,NGAL,10
75,NGW,7
76,GW,6
77,NGW,7
78,NGAL,10
79,GAL,9
80,GW,6
81,GAL,9
82,NGW,7
83,NGW,11
84,NGAL,10
85,GAL,9
86,NGW,7
87,NGW,11
88,NGAL,10
89,NGAL,10
90,GW,12
91,GAL,9
92,NGW,11
93,GW,12
94,NGAL,10
95,NGW,11
96,GAL,9
97,NGAL,10
98,NGW,11
99,GW,12
100,GAL,9
101,GAL,9
102,NGW,11
103,GW,12
104,NGAL,10
105,NGAL,10
106,NGW,11
107,GW,12
108,GAL,9
109,NGW,11
110,GW,12
111,GAL,9
112,NGAL,10
113,GW,12
114,NGW,11
115,GAL,9
116,NGAL,10
117,GW,12
118,NGAL,10
119,GAL,9
120,NGW,11
