trial,robot,stimulus
1,GW,1
2,NGAL,2
3,NGAL,3
4,NGW,4
5,NGAL,3
6,NGW,4
7,NGAL,2
8,GW,1
9,NGAL,2
10,GW,1
11,NGAL,3
12,NGW,4
13,NGAL,2
14,NGAL,3
15,NGW,4
16,GW,1
17,GW,1
18,NGAL,3
19,NGW,4
20,NGAL,2
21,NGAL,3
22,NGW,4
23,NGAL,2
24,GW,1
25,NGW,4
26,GW,1
27,NGAL,2
28,NGAL,3
29,NGAL,2
30,NGW,4
31,NGAL,3
32,GW,1
33,GW,5
34,NGAL,2
35,GAL,6
36,GW,1
37,GW,5
38,GAL,6
39,NGAL,2
40,GW,1
41,GW,5
42,GAL,6
43,GW,1
44,NGAL,2
45,GAL,6
46,GW,5
47,NGAL,2
48,GW,1
49,GW,5
50,GAL,7
51,NGW,8
52,GAL,6
53,NGW,8
54,GAL,7
55,GAL,6
56,GW,5
57,GAL,6
58,NGW,8
59,GW,5
60,GAL,7
61,NGW,8
62,GW,5
63,GAL,7
64,GAL,6
65,GW,5
66,GAL,6
67,NGW,8
68,GAL,7
69,GW,5
70,NGW,8
71,GAL,7
72,GAL,6
73,GAL,6
74,NGW,9
75,NGW,8
76,GAL,7
77,NGW,9
78,GAL,7
79,GAL,6
80,NGW,8
81,NGW,8
82,NGW,9
83,GAL,10
84,NGAL,11
85,GAL,10
86,NGW,9
87,NGW,8
88,NGAL,11
89,GAL,10
90,NGW,9
91,GW,12
92,NGAL,11
93,GAL,10
94,NGAL,11
95,GW,12
96,NGW,9
97,NGW,9
98,GW,12
99,GAL,10
100,NGAL,11
101,NGW,9
102,GW,12
103,GAL,10
104,NGAL,11
105,GAL,10
106,NGAL,11
107,GW,12
108,NGW,9
109,NGAL,11
110,GAL,10
111,GW,12
112,NGW,9
113,GW,12
114,NGW,9
115,GAL,10
116,NGAL,11
117,GAL,10
118,GW,12
119,NGW,9
120,NGAL,11
