	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu	19.525	0.031	1.397	16.815	19.47	22.286	2086.617	0.212	1.0
b2_mu	16.297	0.025	1.183	14.059	16.251	18.627	2196.131	0.223	1.0
b3_mu	1.019	0.002	0.098	0.812	1.018	1.212	2585.045	0.262	1.001
b4_mu	0.285	0.002	0.081	0.12	0.284	0.439	2462.353	0.25	1.001
a1_mu	0.111	0.0	0.013	0.087	0.111	0.137	917.658	0.093	1.002
sigma[1]	0.919	0.0027	0.114	0.712	0.91	1.15	1771.0	0.18	1.0
sigma[2]	0.86	0.00216	0.0974	0.678	0.856	1.06	2033.0	0.206	1.0
sigma[3]	0.159	0.000323	0.0173	0.126	0.158	0.193	2880.0	0.292	1.0
sigma[4]	0.134	0.000281	0.0147	0.106	0.132	0.163	2735.0	0.277	1.0
sigma[5]	0.507	0.00114	0.0503	0.407	0.506	0.604	1938.0	0.196	1.0
b1[1]	29.2	0.105	6.67	17.4	28.6	42.9	4042.0	0.41	1.0
b1[2]	16.7	0.109	6.59	5.5	16.2	30.4	3657.0	0.371	1.0
b1[3]	22.2	0.136	7.93	8.83	21.5	38.5	3407.0	0.345	1.0
b1[4]	24.7	0.0902	5.89	14.3	24.1	37.0	4259.0	0.432	1.0
b1[5]	30.8	0.117	7.07	18.4	30.2	45.3	3659.0	0.371	1.0
b1[6]	20.8	0.0702	4.56	13.1	20.4	30.5	4230.0	0.429	1.0
b1[7]	11.7	0.126	6.4	3.93	10.2	25.7	2579.0	0.261	1.0
b1[8]	15.5	0.136	7.0	6.6	13.9	31.4	2648.0	0.268	1.0
b1[9]	22.1	0.0728	4.79	14.0	21.5	32.3	4326.0	0.439	1.0
b1[10]	22.7	0.132	7.63	9.37	22.2	38.2	3363.0	0.341	1.0
b1[11]	14.7	0.0497	2.96	9.77	14.3	20.9	3544.0	0.359	1.0
b1[12]	24.8	0.0977	6.12	14.6	24.0	38.0	3928.0	0.398	1.0
b1[13]	9.53	0.148	6.59	2.9	6.9	25.1	1982.0	0.201	1.0
b1[14]	18.5	0.0768	4.89	10.8	17.8	29.5	4063.0	0.412	1.0
b1[15]	5.97	0.0751	2.56	3.13	5.45	12.1	1159.0	0.117	1.0
b1[16]	22.3	0.0861	5.63	12.8	21.7	34.2	4286.0	0.434	1.0
b1[17]	13.6	0.0504	3.1	8.6	13.2	20.3	3779.0	0.383	1.0
b1[18]	25.1	0.0969	6.42	13.9	24.5	38.3	4394.0	0.445	1.0
b1[19]	21.8	0.0885	5.68	12.1	21.2	33.7	4111.0	0.417	0.999
b1[20]	23.4	0.0918	5.74	13.7	22.7	35.8	3912.0	0.397	0.999
