	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu	32.63	0.08	4.01	25.31	32.4	40.69	2310.25	0.09	1.0
b2_mu	30.23	0.1	3.95	23.19	29.89	38.19	1451.59	0.06	1.0
b3_mu	1.36	0.0	0.15	1.05	1.35	1.65	2652.55	0.1	1.0
b4_mu	0.4	0.0	0.11	0.18	0.4	0.62	2393.13	0.09	1.0
a1_mu	0.11	0.0	0.01	0.08	0.11	0.14	2035.47	0.08	1.0
a2_mu	0.09	0.0	0.02	0.06	0.09	0.12	1109.89	0.04	1.0
c1_mu	0.01	0.0	0.0	0.01	0.01	0.02	1680.11	0.06	1.0
sigma[1]	1.86	0.00608	0.298	1.35	1.84	2.5	2408.0	0.0914	1.0
sigma[2]	1.57	0.00531	0.261	1.08	1.55	2.11	2417.0	0.0917	1.0
sigma[3]	0.224	0.000577	0.028	0.172	0.223	0.279	2352.0	0.0893	1.0
sigma[4]	0.17	0.000398	0.0199	0.133	0.168	0.21	2505.0	0.0951	1.0
sigma[5]	0.375	0.00219	0.0704	0.23	0.375	0.505	1033.0	0.0392	1.0
sigma[6]	0.531	0.00246	0.0837	0.356	0.533	0.69	1163.0	0.0441	1.0
sigma[7]	1.65	0.00464	0.207	1.28	1.64	2.07	1994.0	0.0757	1.0
b1[1]	45.1	0.226	14.0	21.7	43.6	75.1	3816.0	0.145	1.0
b1[2]	30.2	0.235	14.0	9.72	28.0	61.6	3528.0	0.134	1.0
b1[3]	24.3	0.246	12.7	8.22	21.1	54.7	2654.0	0.101	1.0
b1[4]	36.9	0.237	14.9	14.9	34.7	69.1	3960.0	0.15	1.0
b1[5]	51.0	0.245	15.0	25.4	49.3	82.3	3732.0	0.142	1.0
b1[6]	42.3	0.222	13.4	20.9	40.6	71.8	3630.0	0.138	1.0
b1[7]	8.45	0.203	7.32	3.62	6.16	31.1	1300.0	0.0494	1.0
b1[8]	21.5	0.251	12.9	6.92	17.6	52.9	2647.0	0.1	1.0
b1[9]	49.0	0.221	14.4	24.2	47.4	79.4	4209.0	0.16	1.0
b1[10]	22.1	0.222	12.4	7.05	18.9	52.4	3131.0	0.119	1.0
b1[11]	35.6	0.263	15.3	12.8	33.8	68.6	3406.0	0.129	1.0
b1[12]	38.2	0.217	13.5	17.5	36.4	67.9	3871.0	0.147	1.0
b1[13]	37.8	0.238	14.3	14.8	35.9	68.3	3636.0	0.138	1.0
b1[14]	46.0	0.223	14.7	19.8	44.6	76.8	4345.0	0.165	1.0
