name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-6160.0	0.608	18.4	-6190.0	-6150.0	-6120.0	920.0	0.235	1.0
theta_mu[1]	1.67	0.0036	0.126	1.42	1.67	1.91	1235.0	0.315	1.01
theta_mu[2]	0.116	0.000255	0.0114	0.094	0.116	0.138	1988.0	0.508	1.0
theta_mu[3]	-1.18	0.00203	0.0663	-1.32	-1.18	-1.05	1064.0	0.272	1.0
theta_pr[1,1]	0.842	0.00907	0.633	-0.231	0.769	2.16	4868.0	1.24	1.0
theta_pr[1,2]	-0.535	0.0102	0.654	-1.44	-0.681	0.97	4065.0	1.04	1.0
theta_pr[1,3]	-0.754	0.0119	0.724	-1.71	-0.944	0.921	3700.0	0.945	1.0
theta_pr[1,4]	0.634	0.00803	0.572	-0.323	0.573	1.88	5076.0	1.3	0.999
theta_pr[1,5]	1.15	0.00863	0.639	0.0519	1.11	2.45	5490.0	1.4	1.0
theta_pr[1,6]	0.549	0.00732	0.464	-0.239	0.494	1.59	4013.0	1.02	1.0
theta_pr[1,7]	-1.09	0.0122	0.446	-1.64	-1.2	0.102	1326.0	0.339	1.0
theta_pr[1,8]	-0.859	0.0101	0.461	-1.43	-0.974	0.367	2087.0	0.533	1.0
theta_pr[1,9]	0.355	0.00716	0.486	-0.449	0.286	1.43	4610.0	1.18	1.0
theta_pr[1,10]	-0.436	0.0107	0.706	-1.49	-0.561	1.13	4341.0	1.11	1.0
theta_pr[1,11]	-1.08	0.00835	0.291	-1.52	-1.11	-0.49	1212.0	0.309	1.0
theta_pr[1,12]	-0.0618	0.00854	0.5	-0.838	-0.143	1.09	3422.0	0.874	1.0
theta_pr[1,13]	-1.29	0.00966	0.364	-1.78	-1.35	-0.415	1423.0	0.363	1.0
theta_pr[1,14]	0.115	0.00874	0.494	-0.67	0.0323	1.21	3195.0	0.816	1.0
theta_pr[1,15]	-1.41	0.00551	0.203	-1.8	-1.41	-1.01	1350.0	0.345	1.01
theta_pr[1,16]	0.715	0.00848	0.631	-0.345	0.649	2.06	5536.0	1.41	1.0
theta_pr[1,17]	0.0292	0.00717	0.44	-0.661	-0.0278	0.997	3763.0	0.961	1.0
theta_pr[1,18]	0.925	0.00896	0.666	-0.217	0.87	2.32	5522.0	1.41	1.0
theta_pr[1,19]	0.345	0.0095	0.65	-0.696	0.256	1.79	4682.0	1.2	1.0
theta_pr[1,20]	0.381	0.00921	0.635	-0.622	0.286	1.78	4760.0	1.22	1.0
theta_pr[1,21]	0.648	0.00863	0.595	-0.343	0.577	1.94	4754.0	1.21	1.0
theta_pr[1,22]	1.15	0.00744	0.579	0.106	1.1	2.34	6061.0	1.55	1.0
theta_pr[1,23]	-0.473	0.0097	0.561	-1.26	-0.6	0.887	3345.0	0.854	1.0
theta_pr[1,24]	0.803	0.00729	0.514	-0.0877	0.75	1.91	4963.0	1.27	0.999
theta_pr[1,25]	-0.168	0.011	0.724	-1.29	-0.284	1.41	4362.0	1.11	1.0
theta_pr[1,26]	0.799	0.00864	0.62	-0.257	0.725	2.11	5150.0	1.32	1.0
theta_pr[1,27]	0.763	0.00755	0.532	-0.148	0.711	1.89	4958.0	1.27	1.0
theta_pr[1,28]	1.38	0.00792	0.618	0.292	1.33	2.68	6083.0	1.55	1.0
theta_pr[1,29]	0.362	0.00612	0.388	-0.332	0.327	1.21	4025.0	1.03	1.0
theta_pr[1,30]	-1.61	0.0116	0.326	-2.06	-1.65	-0.918	786.0	0.201	1.0
theta_pr[1,31]	0.444	0.00905	0.671	-0.708	0.375	1.9	5498.0	1.4	1.0
theta_pr[1,32]	-0.837	0.00601	0.253	-1.28	-0.858	-0.311	1769.0	0.452	1.0
theta_pr[1,33]	0.389	0.0088	0.566	-0.507	0.308	1.63	4140.0	1.06	1.0
theta_pr[1,34]	1.49	0.00797	0.618	0.383	1.45	2.77	6005.0	1.53	0.999
theta_pr[1,35]	-0.0384	0.00889	0.552	-0.885	-0.135	1.22	3845.0	0.982	1.0
