name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-6270.0	1.08	31.4	-6340.0	-6270.0	-6210.0	839.0	0.199	1.0
theta_mu[1,1]	1.77	0.00523	0.143	1.48	1.76	2.04	748.0	0.177	1.0
theta_mu[1,2]	2.05	0.00534	0.153	1.74	2.04	2.35	820.0	0.195	1.0
theta_mu[2,1]	0.0446	0.000459	0.0162	0.0114	0.0445	0.0751	1241.0	0.295	1.0
theta_mu[2,2]	0.0689	0.000488	0.0175	0.0329	0.0691	0.101	1295.0	0.307	1.0
theta_mu[3,1]	0.212	0.000828	0.0294	0.153	0.212	0.269	1256.0	0.298	1.0
theta_mu[3,2]	0.138	0.000799	0.03	0.0774	0.138	0.194	1406.0	0.334	1.0
theta_mu[4,1]	-1.09	0.00162	0.0604	-1.22	-1.09	-0.977	1387.0	0.329	1.0
theta_mu[4,2]	-1.05	0.0016	0.0604	-1.17	-1.05	-0.934	1428.0	0.339	1.0
theta_mu[5,1]	-1.36	0.00169	0.064	-1.49	-1.36	-1.24	1436.0	0.341	1.0
theta_mu[5,2]	-1.18	0.00193	0.0652	-1.31	-1.18	-1.06	1143.0	0.271	1.0
theta_c_pr[1,1]	1.08	0.0106	0.63	-0.0369	1.03	2.38	3559.0	0.845	1.0
theta_c_pr[1,2]	-1.08	0.00981	0.298	-1.56	-1.11	-0.404	926.0	0.22	1.01
theta_c_pr[1,3]	-0.874	0.00995	0.345	-1.41	-0.924	-0.108	1201.0	0.285	1.0
theta_c_pr[1,4]	0.434	0.01	0.516	-0.445	0.38	1.49	2660.0	0.631	1.0
theta_c_pr[1,5]	1.45	0.0103	0.671	0.218	1.42	2.77	4251.0	1.01	1.0
theta_c_pr[1,6]	0.586	0.0077	0.434	-0.199	0.549	1.5	3179.0	0.754	1.0
theta_c_pr[1,7]	-1.03	0.0086	0.256	-1.48	-1.05	-0.519	885.0	0.21	1.0
