	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	30.2	0.0819	3.45	23.7	30.1	37.1	1779.0	0.0416	1.0
b1_mu[2]	29.7	0.0781	3.26	23.6	29.5	36.4	1746.0	0.0408	1.0
b2_mu[1]	27.6	0.076	3.3	21.4	27.4	34.4	1882.0	0.044	1.0
b2_mu[2]	27.4	0.0637	3.07	21.7	27.1	33.7	2319.0	0.0542	1.0
b3_mu[1]	1.53	0.00338	0.179	1.18	1.53	1.88	2797.0	0.0654	1.0
b3_mu[2]	1.21	0.00365	0.172	0.855	1.2	1.54	2214.0	0.0518	1.0
b4_mu[1]	0.34	0.00225	0.116	0.107	0.337	0.567	2649.0	0.0619	1.0
b4_mu[2]	0.445	0.0024	0.119	0.205	0.445	0.674	2459.0	0.0575	1.0
a1_mu[1]	0.106	0.000365	0.016	0.0754	0.105	0.137	1907.0	0.0446	1.0
a1_mu[2]	0.127	0.000393	0.0169	0.0941	0.126	0.16	1848.0	0.0432	1.0
a2_mu[1]	0.0804	0.000306	0.0135	0.0554	0.0796	0.108	1952.0	0.0456	1.0
a2_mu[2]	0.122	0.000388	0.0173	0.0883	0.122	0.155	1988.0	0.0465	1.0
c1_mu[1]	0.0118	0.0001	0.00483	0.00391	0.0113	0.0222	2316.0	0.0542	1.0
c1_mu[2]	0.00358	4.42e-05	0.00204	0.000694	0.0032	0.00825	2128.0	0.0498	1.0
sigma[1,1]	1.75	0.00603	0.273	1.27	1.73	2.32	2046.0	0.0478	1.0
sigma[2,1]	1.58	0.00413	0.231	1.17	1.56	2.08	3121.0	0.073	1.0
sigma[3,1]	0.221	0.00054	0.0272	0.169	0.22	0.276	2531.0	0.0592	1.0
sigma[4,1]	0.167	0.000359	0.0194	0.131	0.166	0.205	2918.0	0.0682	1.0
sigma[5,1]	0.361	0.00405	0.0846	0.17	0.367	0.508	437.0	0.0102	1.01
sigma[6,1]	0.409	0.00503	0.109	0.194	0.409	0.609	472.0	0.011	1.01
sigma[7,1]	1.74	0.0086	0.273	1.22	1.72	2.28	1010.0	0.0236	1.0
sigma[1,2]	0.289	0.00624	0.138	0.0373	0.275	0.582	491.0	0.0115	1.01
sigma[2,2]	0.227	0.0032	0.109	0.0547	0.211	0.474	1155.0	0.027	1.0
sigma[3,2]	0.102	0.000431	0.0183	0.0664	0.102	0.138	1792.0	0.0419	1.0
sigma[4,2]	0.0262	0.000305	0.0146	0.00113	0.0259	0.0547	2309.0	0.054	1.0
sigma[5,2]	0.106	0.0021	0.0556	0.00533	0.107	0.211	698.0	0.0163	1.0
sigma[6,2]	0.243	0.00151	0.0463	0.147	0.244	0.33	940.0	0.022	1.0
sigma[7,2]	0.85	0.00933	0.199	0.431	0.846	1.24	456.0	0.0106	1.01
b1[1,1]	44.3	0.221	13.7	21.7	42.8	73.7	3807.0	0.089	1.0
b1[2,1]	44.7	0.213	13.5	21.4	43.3	73.4	4041.0	0.0945	1.0
b1[1,2]	29.4	0.193	12.6	9.87	27.6	57.1	4260.0	0.0996	1.0
b1[2,2]	27.9	0.193	12.5	8.57	26.3	55.2	4178.0	0.0977	1.0
b1[1,3]	23.3	0.236	10.9	9.27	20.7	49.6	2128.0	0.0497	1.0
b1[2,3]	18.9	0.249	11.4	5.16	15.7	46.9	2096.0	0.049	1.0
b1[1,4]	35.6	0.21	13.6	14.4	33.8	64.1	4202.0	0.0982	1.0
b1[2,4]	35.8	0.204	13.1	15.2	34.0	64.4	4139.0	0.0968	1.0
b1[1,5]	48.9	0.237	14.2	24.2	47.7	78.6	3603.0	0.0842	1.0
b1[2,5]	48.4	0.222	14.1	24.4	47.0	78.4	4006.0	0.0936	1.0
b1[1,6]	40.3	0.222	13.5	17.1	39.1	69.1	3723.0	0.087	1.0
b1[2,6]	41.5	0.198	12.7	20.1	40.0	68.8	4106.0	0.096	0.999
b1[1,7]	10.2	0.185	8.36	2.6	7.27	32.6	2043.0	0.0478	1.0
b1[2,7]	14.9	0.15	7.93	6.16	12.7	34.9	2787.0	0.0652	1.0
b1[1,8]	21.9	0.274	12.6	6.72	18.6	51.7	2099.0	0.0491	1.0
b1[2,8]	26.1	0.19	11.3	10.2	23.9	52.0	3514.0	0.0821	1.0
b1[1,9]	47.2	0.226	13.7	23.7	45.9	76.0	3644.0	0.0852	1.0
b1[2,9]	46.5	0.218	13.4	23.3	45.1	74.7	3774.0	0.0882	1.0
b1[1,10]	21.2	0.238	11.7	6.46	18.3	48.4	2407.0	0.0563	1.0
b1[2,10]	22.3	0.254	11.8	7.25	19.4	49.5	2154.0	0.0504	1.0
b1[1,11]	31.7	0.29	13.7	13.9	28.4	63.5	2213.0	0.0517	1.0
