	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	18.2	0.047	1.71	14.9	18.2	21.6	1323.0	0.0767	1.0
b1_mu[2]	20.2	0.051	1.87	16.8	20.2	23.9	1338.0	0.0775	1.0
b2_mu[1]	16.3	0.0428	1.7	13.1	16.2	19.8	1584.0	0.0918	1.0
b2_mu[2]	18.2	0.047	1.69	15.1	18.1	21.7	1293.0	0.0749	1.0
b3_mu[1]	8.14	0.0214	0.852	6.54	8.1	9.88	1584.0	0.0918	1.0
b3_mu[2]	9.11	0.0235	0.845	7.53	9.04	10.8	1293.0	0.0749	1.0
b4_mu[1]	1.23	0.00271	0.128	0.974	1.23	1.47	2211.0	0.128	1.0
b4_mu[2]	0.992	0.00273	0.129	0.723	0.993	1.24	2230.0	0.129	1.0
a1_mu[1]	0.52	0.000175	0.00739	0.505	0.52	0.534	1788.0	0.104	1.0
a1_mu[2]	0.53	0.000184	0.00786	0.514	0.53	0.545	1821.0	0.105	1.0
a2_mu[1]	0.122	0.000378	0.0153	0.0925	0.122	0.152	1645.0	0.0953	1.0
a2_mu[2]	0.142	0.000433	0.0165	0.109	0.142	0.173	1449.0	0.084	1.0
sigma[1,1]	0.983	0.0026	0.121	0.764	0.974	1.24	2171.0	0.126	1.0
sigma[2,1]	1.0	0.00304	0.123	0.785	0.994	1.26	1622.0	0.094	1.0
sigma[3,1]	0.174	0.000396	0.019	0.139	0.173	0.212	2309.0	0.134	1.0
sigma[4,1]	0.138	0.000318	0.0153	0.11	0.138	0.169	2318.0	0.134	1.0
sigma[5,1]	0.387	0.00228	0.0661	0.254	0.385	0.514	842.0	0.0488	1.0
sigma[6,1]	0.357	0.00545	0.0964	0.178	0.352	0.539	313.0	0.0181	1.01
sigma[1,2]	0.393	0.00174	0.0721	0.261	0.387	0.543	1718.0	0.0995	1.0
sigma[2,2]	0.259	0.0038	0.0802	0.127	0.251	0.431	445.0	0.0258	1.01
sigma[3,2]	0.0911	0.000236	0.0135	0.0648	0.0906	0.118	3282.0	0.19	1.0
sigma[4,2]	0.035	0.000338	0.0132	0.0048	0.0359	0.0583	1522.0	0.0882	1.0
sigma[5,2]	0.0494	0.000965	0.0352	0.00173	0.0431	0.128	1332.0	0.0772	1.0
sigma[6,2]	0.2	0.00323	0.066	0.0293	0.209	0.304	417.0	0.0241	1.01
b1[1,1]	28.7	0.116	7.57	15.7	27.8	44.5	4281.0	0.248	1.0
b1[2,1]	31.3	0.119	8.14	16.0	30.7	48.1	4652.0	0.27	1.0
b1[1,2]	15.1	0.155	7.38	5.0	13.7	32.0	2280.0	0.132	1.0
b1[2,2]	13.0	0.153	7.2	3.86	11.3	30.4	2209.0	0.128	1.0
b1[1,3]	19.1	0.132	6.82	8.86	18.1	34.4	2675.0	0.155	1.0
b1[2,3]	12.6	0.134	6.42	4.68	10.9	28.4	2284.0	0.132	1.0
b1[1,4]	20.3	0.0994	6.19	10.5	19.5	33.3	3882.0	0.225	1.0
b1[2,4]	25.3	0.115	7.17	13.0	24.4	40.3	3897.0	0.226	1.0
b1[1,5]	31.5	0.127	8.05	17.0	30.8	48.1	3995.0	0.231	1.0
b1[2,5]	32.7	0.13	8.32	17.5	32.2	50.2	4080.0	0.236	1.0
b1[1,6]	19.8	0.108	6.76	9.46	18.6	35.1	3934.0	0.228	1.0
