subject,session,block,trial,exposure,stimulus,valence,action,robot,rune,color,correct,choice,rt,accuracy,sham,outcome,totalkeys
0ubclurpshlgyru3cwo3stun,2,1,1,1,1,win,go,gw,rune_04_wunjo,yellow,1,1,0.178,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,1,2,1,2,lose,no-go,ngal,rune_04_dagaz,blue,0,1,0.433,0,0.0,-10,1
0ubclurpshlgyru3cwo3stun,2,1,3,1,3,win,no-go,ngw,rune_04_iwaz,yellow,0,1,0.619,0,0.0,+1,1
0ubclurpshlgyru3cwo3stun,2,1,4,1,4,lose,go,gal,rune_04_ac,blue,1,1,0.562,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,1,5,2,2,lose,no-go,ngal,rune_04_dagaz,blue,0,0,,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,2,1,6,2,1,win,go,gw,rune_04_wunjo,yellow,1,1,0.447,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,1,7,2,3,win,no-go,ngw,rune_04_iwaz,yellow,0,1,0.547,0,1.0,+10,1
0ubclurpshlgyru3cwo3stun,2,1,8,2,4,lose,go,gal,rune_04_ac,blue,1,0,,0,0.0,-10,0
0ubclurpshlgyru3cwo3stun,2,1,9,3,3,win,no-go,ngw,rune_04_iwaz,yellow,0,1,0.76,0,0.0,+1,1
0ubclurpshlgyru3cwo3stun,2,1,10,3,1,win,go,gw,rune_04_wunjo,yellow,1,1,0.442,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,2,1,11,3,4,lose,go,gal,rune_04_ac,blue,1,1,0.442,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,2,1,12,3,2,lose,no-go,ngal,rune_04_dagaz,blue,0,1,0.78,0,0.0,-10,1
0ubclurpshlgyru3cwo3stun,2,1,13,4,2,lose,no-go,ngal,rune_04_dagaz,blue,0,1,0.812,0,0.0,-10,1
0ubclurpshlgyru3cwo3stun,2,1,14,4,4,lose,go,gal,rune_04_ac,blue,1,0,,0,0.0,-10,1
0ubclurpshlgyru3cwo3stun,2,1,15,4,1,win,go,gw,rune_04_wunjo,yellow,1,1,0.4,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,1,16,4,3,win,no-go,ngw,rune_04_iwaz,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,1,17,5,1,win,go,gw,rune_04_wunjo,yellow,1,1,0.588,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,1,18,5,2,lose,no-go,ngal,rune_04_dagaz,blue,0,1,0.903,0,0.0,-10,1
0ubclurpshlgyru3cwo3stun,2,1,19,5,3,win,no-go,ngw,rune_04_iwaz,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,1,20,5,4,lose,go,gal,rune_04_ac,blue,1,1,1.076,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,1,21,6,3,win,no-go,ngw,rune_04_iwaz,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,2,1,22,6,4,lose,go,gal,rune_04_ac,blue,1,1,1.285,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,2,1,23,6,1,win,go,gw,rune_04_wunjo,yellow,1,1,0.572,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,2,1,24,6,2,lose,no-go,ngal,rune_04_dagaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,2,1,25,7,3,win,no-go,ngw,rune_04_iwaz,yellow,0,0,,1,0.0,+10,0
