subject	session	block	trial	exposure	valence	action	robot	correct	choice	rt	accuracy	sham	outcome	Y_hat	Y_pred	waic
docukifcaouwsykbg5hxgt9o	3	1	113	7	0	go	GAL	1	0		0	1.0	1	0.5177	0.4850646192841812	0.3942680026179584
docukifcaouwsykbg5hxgt9o	3	1	117	8	0	go	GAL	1	1	1.252	1	0.0	1	0.5197	0.5208293409311645	0.4179457578482998
docukifcaouwsykbg5hxgt9o	3	2	171	1	0	no-go	NGAL	0	0		1	0.0	1	0.5001	0.5	0.4054651081081644
docukifcaouwsykbg5hxgt9o	3	2	175	2	0	no-go	NGAL	0	0		1	0.0	1	0.5058	0.4919480508229293	0.3996470645538733
docukifcaouwsykbg5hxgt9o	3	2	177	3	0	no-go	NGAL	0	0		1	0.0	1	0.5119	0.4850874497591507	0.3942284548958507
docukifcaouwsykbg5hxgt9o	3	2	182	4	0	no-go	NGAL	0	0		1	0.0	1	0.5144	0.47919210067026796	0.38938887949864004
docukifcaouwsykbg5hxgt9o	3	2	188	5	0	no-go	NGAL	0	0		1	0.0	1	0.5216	0.4740132427104667	0.38504263843284814
docukifcaouwsykbg5hxgt9o	3	2	190	6	0	no-go	NGAL	0	0		1	0.0	1	0.5287	0.4693844770201421	0.38109611791934905
docukifcaouwsykbg5hxgt9o	3	2	193	7	0	no-go	NGAL	0	0		1	0.0	1	0.5287	0.46519525043806614	0.37748099378426814
docukifcaouwsykbg5hxgt9o	3	2	200	8	0	no-go	NGAL	0	0		1	0.0	1	0.5354	0.4613674038661374	0.37414634522702883
docukifcaouwsykbg5hxgt9o	3	1	91	1	0	no-go	NGAL	0	1	0.947	0	0.0	0	0.4994	0.5	0.4054651081081644
docukifcaouwsykbg5hxgt9o	3	1	93	2	0	no-go	NGAL	0	0		1	0.0	1	0.4904	0.5081484813180462	0.4105839553855706
docukifcaouwsykbg5hxgt9o	3	1	99	3	0	no-go	NGAL	0	0		1	0.0	1	0.5018	0.500065220004076	0.405500234508166
docukifcaouwsykbg5hxgt9o	3	1	101	4	0	no-go	NGAL	0	0		1	1.0	0	0.5106	0.49209187030293217	0.39970355124738965
docukifcaouwsykbg5hxgt9o	3	1	105	5	0	no-go	NGAL	0	1	1.276	0	0.0	0	0.5164	0.514848972085387	0.41448842867337204
docukifcaouwsykbg5hxgt9o	3	1	109	6	0	no-go	NGAL	0	0		1	0.0	1	0.508	0.4921292679270616	0.39973310979905274
docukifcaouwsykbg5hxgt9o	3	1	114	7	0	no-go	NGAL	0	0		1	0.0	1	0.5168	0.48536983655391885	0.3943846037399861
docukifcaouwsykbg5hxgt9o	3	1	119	8	0	no-go	NGAL	0	0		1	0.0	1	0.5216	0.4795494938560939	0.38960491588937857
docukifcaouwsykbg5hxgt9o	3	1	3	1	0	go	GAL	1	1	0.843	1	0.0	1	0.4965	0.5	0.4054651081081644
docukifcaouwsykbg5hxgt9o	3	1	5	2	0	go	GAL	1	1	0.852	1	0.0	1	0.4904	0.4919480508229293	0.3996470645538733
docukifcaouwsykbg5hxgt9o	3	1	11	3	0	go	GAL	1	1	0.988	1	0.0	1	0.4721	0.4850874497591507	0.3942284548958507
docukifcaouwsykbg5hxgt9o	3	1	13	4	0	go	GAL	1	0		0	1.0	1	0.4744	0.520807899329732	0.4178910032363623
docukifcaouwsykbg5hxgt9o	3	1	20	5	0	go	GAL	1	0		0	0.0	0	0.4859	0.514848972085387	0.414488428673372
docukifcaouwsykbg5hxgt9o	3	1	22	6	0	go	GAL	1	0		0	0.0	0	0.4969	0.5078727780320738	0.4103556564184409
