	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
beta_mu_01[1]	0.366	0.000632	0.0245	0.314	0.366	0.411	1505.0	0.198	1.0
beta_mu_01[2]	1.98	0.00226	0.0633	1.85	1.98	2.1	784.0	0.103	1.01
beta_mu_01[3]	0.56	0.000763	0.035	0.488	0.56	0.627	2100.0	0.276	1.0
beta_mu_01[4]	0.0978	0.000443	0.0276	0.0416	0.0975	0.151	3890.0	0.512	1.0
beta_mu_01[5]	-0.312	0.000932	0.0535	-0.421	-0.312	-0.213	3295.0	0.434	1.0
beta_mu_02[1]	0.00348	0.000893	0.0351	-0.0673	0.0034	0.0704	1545.0	0.203	1.0
beta_mu_02[2]	0.0771	0.000926	0.0349	0.00294	0.0776	0.141	1418.0	0.187	1.0
beta_mu_02[3]	-0.0806	0.000959	0.0353	-0.152	-0.0812	-0.0129	1355.0	0.178	1.0
sigma[1]	0.39	0.000515	0.0191	0.352	0.39	0.426	1375.0	0.181	1.0
sigma[2]	1.03	0.00127	0.0473	0.938	1.03	1.12	1389.0	0.183	1.0
sigma[3]	0.534	0.000698	0.0299	0.474	0.534	0.592	1840.0	0.242	1.0
sigma[4]	0.362	0.000568	0.0263	0.308	0.361	0.413	2143.0	0.282	1.0
sigma[5]	0.763	0.00101	0.0497	0.665	0.763	0.862	2442.0	0.321	1.0
beta[1,1,1]	-0.169	0.0018	0.142	-0.459	-0.167	0.095	6236.0	0.821	1.0
beta[2,1,1]	0.483	0.00182	0.145	0.193	0.479	0.762	6320.0	0.832	1.0
beta[3,1,1]	-0.112	0.00173	0.139	-0.404	-0.112	0.147	6452.0	0.849	1.0
beta[4,1,1]	0.147	0.00182	0.156	-0.168	0.146	0.442	7358.0	0.969	1.0
beta[5,1,1]	-0.205	0.0019	0.152	-0.517	-0.207	0.0853	6460.0	0.851	1.0
beta[6,1,1]	-0.236	0.00212	0.153	-0.547	-0.236	0.0566	5200.0	0.685	0.999
beta[7,1,1]	0.13	0.00219	0.138	-0.159	0.129	0.394	3981.0	0.524	1.0
beta[8,1,1]	0.447	0.00179	0.146	0.151	0.447	0.716	6600.0	0.869	1.0
beta[9,1,1]	0.369	0.00217	0.164	0.0357	0.367	0.68	5741.0	0.756	1.0
beta[10,1,1]	0.0887	0.00175	0.14	-0.188	0.0867	0.356	6336.0	0.834	1.0
beta[11,1,1]	0.255	0.00221	0.163	-0.0769	0.251	0.571	5453.0	0.718	1.0
beta[12,1,1]	0.187	0.00224	0.153	-0.124	0.187	0.472	4659.0	0.613	1.0
beta[13,1,1]	0.11	0.00216	0.171	-0.24	0.108	0.434	6256.0	0.824	1.0
beta[14,1,1]	0.172	0.00198	0.151	-0.13	0.174	0.458	5813.0	0.765	1.0
beta[15,1,1]	0.33	0.00168	0.143	0.0425	0.328	0.597	7214.0	0.95	1.0
beta[16,1,1]	-0.563	0.00199	0.172	-0.916	-0.562	-0.236	7424.0	0.977	1.0
beta[17,1,1]	-0.674	0.00202	0.141	-0.965	-0.674	-0.407	4907.0	0.646	1.0
beta[18,1,1]	-0.38	0.00219	0.161	-0.712	-0.378	-0.0764	5443.0	0.717	1.0
beta[19,1,1]	-0.0424	0.00176	0.141	-0.328	-0.0462	0.234	6498.0	0.855	0.999
beta[20,1,1]	0.416	0.00191	0.149	0.114	0.415	0.697	6095.0	0.802	1.0
beta[21,1,1]	-0.0876	0.00216	0.147	-0.385	-0.0885	0.19	4657.0	0.613	1.0
beta[22,1,1]	0.697	0.00237	0.16	0.376	0.695	0.998	4582.0	0.603	1.0
beta[23,1,1]	0.0213	0.00189	0.156	-0.296	0.0251	0.315	6795.0	0.895	0.999
beta[24,1,1]	0.213	0.00182	0.146	-0.0845	0.212	0.486	6475.0	0.852	1.0
beta[25,1,1]	0.221	0.00174	0.143	-0.0679	0.221	0.49	6808.0	0.896	0.999
beta[26,1,1]	0.189	0.00221	0.142	-0.0959	0.186	0.453	4134.0	0.544	1.0
beta[27,1,1]	-0.61	0.00177	0.142	-0.901	-0.609	-0.347	6485.0	0.854	0.999
beta[28,1,1]	-0.276	0.00181	0.139	-0.568	-0.276	-0.0163	5838.0	0.769	1.0
beta[29,1,1]	0.387	0.00182	0.152	0.0831	0.386	0.678	7000.0	0.922	0.999
beta[30,1,1]	0.256	0.00184	0.148	-0.0438	0.256	0.535	6480.0	0.853	1.0
beta[31,1,1]	0.51	0.00191	0.148	0.208	0.51	0.798	6064.0	0.798	1.0
beta[32,1,1]	-0.302	0.00184	0.147	-0.606	-0.301	-0.0341	6368.0	0.838	1.0
beta[33,1,1]	0.333	0.00212	0.144	0.0429	0.331	0.61	4643.0	0.611	1.0
beta[34,1,1]	-0.121	0.00182	0.15	-0.427	-0.12	0.158	6738.0	0.887	1.0
beta[35,1,1]	0.0339	0.00215	0.174	-0.318	0.0335	0.366	6552.0	0.863	1.0
beta[36,1,1]	-0.027	0.00212	0.168	-0.371	-0.0309	0.287	6274.0	0.826	1.0
beta[37,1,1]	0.453	0.00199	0.153	0.142	0.451	0.741	5886.0	0.775	1.0
