name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta_pr[3,72]	-1.07	0.0295	0.665	-2.15	-1.09	0.0247	509.0	0.392	1.01
theta_pr[3,73]	-0.786	0.0154	0.495	-1.61	-0.784	0.0413	1027.0	0.791	1.01
theta_pr[3,74]	0.124	0.00999	0.331	-0.42	0.124	0.681	1099.0	0.847	1.0
theta_pr[3,75]	1.17	0.0169	0.656	0.173	1.14	2.28	1503.0	1.16	1.0
theta_pr[3,76]	0.171	0.0175	0.464	-0.554	0.142	0.998	700.0	0.54	1.0
theta_pr[3,77]	0.679	0.0135	0.579	-0.181	0.618	1.73	1847.0	1.42	1.0
theta_pr[3,78]	-0.247	0.0108	0.352	-0.821	-0.257	0.363	1066.0	0.822	1.0
theta_pr[3,79]	-1.51	0.0456	0.888	-3.02	-1.46	-0.145	379.0	0.292	1.0
theta_pr[3,80]	0.108	0.012	0.46	-0.656	0.106	0.851	1470.0	1.13	0.999
theta_pr[3,81]	-0.67	0.0166	0.522	-1.53	-0.663	0.213	988.0	0.761	1.0
theta_pr[3,82]	0.514	0.0129	0.341	-0.0298	0.505	1.11	699.0	0.539	1.0
theta_pr[3,83]	-0.0808	0.011	0.414	-0.758	-0.0915	0.627	1419.0	1.09	1.0
theta_pr[3,84]	-3.1	0.0229	0.569	-4.08	-3.08	-2.23	617.0	0.475	1.0
theta_pr[3,85]	-0.262	0.0137	0.399	-0.899	-0.278	0.437	852.0	0.657	1.0
theta_pr[3,86]	0.25	0.0161	0.439	-0.425	0.22	1.05	738.0	0.569	1.0
theta_pr[3,87]	0.915	0.0144	0.602	-0.02	0.896	1.91	1760.0	1.36	1.0
theta_pr[3,88]	-0.379	0.0109	0.398	-1.03	-0.375	0.276	1343.0	1.03	1.0
theta_pr[3,89]	0.725	0.0151	0.537	-0.133	0.723	1.63	1264.0	0.974	1.0
theta_pr[3,90]	-1.29	0.0148	0.482	-2.07	-1.28	-0.479	1066.0	0.821	1.0
theta_pr[3,91]	-0.309	0.0165	0.443	-1.02	-0.315	0.451	723.0	0.557	1.0
theta_pr[3,92]	-0.407	0.0172	0.444	-1.13	-0.409	0.32	666.0	0.513	1.0
theta_pr[3,93]	-0.43	0.0115	0.386	-1.06	-0.431	0.201	1132.0	0.872	1.0
theta_pr[3,94]	0.234	0.0126	0.352	-0.334	0.227	0.806	782.0	0.602	1.0
theta_pr[3,95]	-0.243	0.0153	0.621	-1.19	-0.286	0.826	1640.0	1.26	1.0
theta_pr[3,96]	0.0819	0.0141	0.597	-0.856	0.0446	1.13	1792.0	1.38	1.0
theta_pr[3,97]	-0.964	0.0295	0.847	-2.34	-0.996	0.444	824.0	0.635	1.0
theta_pr[3,98]	1.25	0.0144	0.536	0.414	1.23	2.17	1383.0	1.07	1.0
theta_pr[3,99]	-0.245	0.00938	0.333	-0.772	-0.249	0.32	1261.0	0.972	1.0
theta_pr[3,100]	-0.227	0.00927	0.345	-0.803	-0.225	0.343	1386.0	1.07	1.0
theta_pr[3,101]	-0.9	0.0112	0.382	-1.56	-0.894	-0.285	1176.0	0.906	1.0
theta_pr[3,102]	1.02	0.0199	0.588	0.221	0.92	2.09	872.0	0.672	1.0
theta_pr[3,103]	0.35	0.014	0.373	-0.259	0.334	0.981	713.0	0.55	1.0
theta_pr[3,104]	-0.107	0.0116	0.396	-0.744	-0.107	0.555	1166.0	0.899	1.0
theta_pr[3,105]	0.743	0.0163	0.658	-0.328	0.726	1.88	1639.0	1.26	1.0
theta_pr[3,106]	1.25	0.0259	0.62	0.428	1.14	2.44	571.0	0.44	0.999
theta_pr[3,107]	0.54	0.0102	0.36	-0.0206	0.53	1.16	1243.0	0.958	1.0
theta_pr[3,108]	1.11	0.0283	0.653	0.223	0.994	2.38	533.0	0.411	1.01
theta_pr[3,109]	-0.633	0.0249	0.603	-1.66	-0.625	0.334	588.0	0.453	1.0
theta_pr[3,110]	0.495	0.00995	0.361	-0.0746	0.488	1.11	1317.0	1.01	0.999
theta_pr[4,1]	0.882	0.0284	0.728	-0.172	0.787	2.26	657.0	0.506	1.0
theta_pr[4,2]	0.844	0.0149	0.77	-0.377	0.83	2.12	2676.0	2.06	0.998
theta_pr[4,3]	-1.33	0.0136	0.586	-2.32	-1.3	-0.418	1862.0	1.43	1.0
theta_pr[4,4]	0.732	0.0146	0.689	-0.336	0.692	1.93	2238.0	1.72	1.0
theta_pr[4,5]	-0.268	0.0118	0.481	-1.09	-0.244	0.471	1669.0	1.29	1.0
theta_pr[4,6]	0.963	0.016	0.835	-0.442	0.96	2.32	2718.0	2.09	1.0
theta_pr[4,7]	0.196	0.0171	0.871	-1.23	0.199	1.6	2602.0	2.0	1.0
theta_pr[4,8]	0.117	0.0157	0.693	-0.945	0.0611	1.34	1952.0	1.5	1.0
theta_pr[4,9]	-0.634	0.0163	0.771	-1.91	-0.624	0.633	2232.0	1.72	1.0
theta_pr[4,10]	-0.268	0.0155	0.651	-1.27	-0.31	0.906	1775.0	1.37	0.999
theta_pr[4,11]	-0.228	0.0114	0.482	-1.02	-0.223	0.569	1799.0	1.39	1.0
theta_pr[4,12]	-0.652	0.0126	0.605	-1.63	-0.647	0.332	2309.0	1.78	0.999
theta_pr[4,13]	-0.551	0.0171	0.533	-1.41	-0.546	0.363	972.0	0.749	1.0
theta_pr[4,14]	-0.791	0.0138	0.639	-1.8	-0.793	0.316	2159.0	1.66	1.0
theta_pr[4,15]	0.077	0.0179	0.876	-1.37	0.0835	1.55	2383.0	1.84	0.999
theta_pr[4,16]	-0.324	0.0155	0.561	-1.21	-0.329	0.648	1307.0	1.01	1.0
theta_pr[4,17]	-0.702	0.0274	0.74	-1.84	-0.761	0.595	729.0	0.562	1.01
theta_pr[4,18]	-0.22	0.0128	0.512	-1.06	-0.215	0.637	1613.0	1.24	0.999
theta_pr[4,19]	-0.211	0.0155	0.851	-1.62	-0.212	1.24	3032.0	2.34	1.0
theta_pr[4,20]	-0.826	0.0152	0.709	-1.94	-0.852	0.354	2175.0	1.68	0.999
theta_pr[4,21]	1.14	0.0181	0.669	0.139	1.08	2.33	1361.0	1.05	1.0
theta_pr[4,22]	-0.221	0.0173	0.73	-1.34	-0.253	1.06	1772.0	1.37	1.0
theta_pr[4,23]	0.129	0.0105	0.47	-0.64	0.12	0.908	2007.0	1.55	1.0
theta_pr[4,24]	-0.945	0.0154	0.76	-2.17	-0.966	0.287	2450.0	1.89	0.999
theta_pr[4,25]	-0.402	0.0156	0.833	-1.71	-0.413	1.01	2854.0	2.2	0.999
theta_pr[4,26]	0.631	0.0233	0.849	-0.671	0.571	2.07	1327.0	1.02	1.0
theta_pr[4,27]	-0.681	0.0141	0.589	-1.67	-0.657	0.247	1733.0	1.34	1.0
theta_pr[4,28]	0.375	0.0184	0.802	-0.907	0.338	1.77	1906.0	1.47	1.0
theta_pr[4,29]	-0.887	0.0136	0.665	-1.97	-0.886	0.231	2392.0	1.84	1.0
theta_pr[4,30]	0.819	0.0176	0.803	-0.438	0.806	2.16	2093.0	1.61	0.999
theta_pr[4,31]	-0.346	0.0185	0.685	-1.38	-0.378	0.845	1369.0	1.06	0.998
theta_pr[4,32]	0.869	0.0174	0.624	-0.0618	0.812	1.96	1285.0	0.99	1.0
theta_pr[4,33]	-0.132	0.0165	0.806	-1.45	-0.129	1.18	2396.0	1.85	1.0
theta_pr[4,34]	1.15	0.0123	0.513	0.316	1.13	2.01	1732.0	1.33	0.999
theta_pr[4,35]	-0.0483	0.0116	0.49	-0.867	-0.0523	0.768	1794.0	1.38	1.0
theta_pr[4,36]	1.54	0.0131	0.525	0.689	1.52	2.46	1609.0	1.24	1.0
theta_pr[4,37]	-0.205	0.0144	0.721	-1.39	-0.23	1.0	2499.0	1.93	0.999
theta_pr[4,38]	0.547	0.011	0.527	-0.308	0.527	1.47	2301.0	1.77	0.999
theta_pr[4,39]	0.568	0.0121	0.51	-0.272	0.564	1.4	1777.0	1.37	1.0
theta_pr[4,40]	0.0634	0.013	0.472	-0.711	0.0615	0.863	1314.0	1.01	1.0
theta_pr[4,41]	-1.9	0.0168	0.663	-3.02	-1.89	-0.809	1567.0	1.21	0.999
theta_pr[4,42]	-0.302	0.0161	0.505	-1.16	-0.291	0.521	990.0	0.763	1.0
theta_pr[4,43]	0.26	0.025	0.81	-0.918	0.161	1.77	1051.0	0.81	1.0
theta_pr[4,44]	0.878	0.0168	0.825	-0.447	0.875	2.23	2422.0	1.87	1.0
theta_pr[4,45]	0.221	0.015	0.702	-0.856	0.181	1.42	2202.0	1.7	1.0
theta_pr[4,46]	1.12	0.0163	0.606	0.165	1.09	2.17	1391.0	1.07	1.0
theta_pr[4,47]	-0.313	0.011	0.5	-1.13	-0.31	0.498	2064.0	1.59	0.999
theta_pr[4,48]	0.57	0.0257	0.786	-0.568	0.463	1.98	939.0	0.723	1.0
theta_pr[4,49]	-0.339	0.0191	0.827	-1.63	-0.355	1.09	1868.0	1.44	1.0
theta_pr[4,50]	-0.366	0.0149	0.623	-1.37	-0.385	0.689	1744.0	1.34	0.999
theta_pr[4,51]	-0.757	0.0177	0.766	-1.96	-0.806	0.573	1863.0	1.44	1.0
theta_pr[4,52]	0.12	0.011	0.486	-0.674	0.117	0.914	1943.0	1.5	1.0
theta_pr[4,53]	-0.647	0.0154	0.825	-2.01	-0.637	0.726	2878.0	2.22	0.998
theta_pr[4,54]	-0.558	0.0173	0.68	-1.65	-0.573	0.648	1544.0	1.19	0.998
theta_pr[4,55]	-0.0512	0.0276	0.966	-1.61	-0.0894	1.62	1222.0	0.942	1.01
theta_pr[4,56]	1.01	0.0176	0.796	-0.333	1.01	2.3	2037.0	1.57	0.999
theta_pr[4,57]	0.764	0.0156	0.684	-0.301	0.738	1.94	1927.0	1.48	0.999
theta_pr[4,58]	0.901	0.0171	0.721	-0.207	0.863	2.17	1779.0	1.37	0.999
theta_pr[4,59]	0.0295	0.0135	0.495	-0.772	0.0288	0.816	1341.0	1.03	0.999
theta_pr[4,60]	-0.341	0.018	0.832	-1.71	-0.33	1.02	2127.0	1.64	1.0
theta_pr[4,61]	-1.15	0.0166	0.585	-2.1	-1.16	-0.192	1244.0	0.959	1.0
theta_pr[4,62]	-0.424	0.0118	0.567	-1.36	-0.415	0.458	2299.0	1.77	1.0
theta_pr[4,63]	-0.134	0.0125	0.453	-0.91	-0.131	0.578	1304.0	1.0	0.999
theta_pr[4,64]	0.496	0.018	0.674	-0.518	0.459	1.71	1407.0	1.08	1.0
theta_pr[4,65]	0.328	0.0163	0.681	-0.672	0.263	1.55	1745.0	1.34	1.0
theta_pr[4,66]	-1.34	0.0184	0.845	-2.65	-1.36	0.19	2116.0	1.63	0.999
theta_pr[4,67]	0.423	0.0155	0.561	-0.487	0.412	1.36	1311.0	1.01	1.0
theta_pr[4,68]	-0.432	0.0114	0.507	-1.28	-0.434	0.38	1977.0	1.52	1.0
theta_pr[4,69]	1.17	0.0168	0.843	-0.193	1.19	2.52	2512.0	1.94	0.999
theta_pr[4,70]	-1.12	0.0175	0.872	-2.53	-1.13	0.383	2484.0	1.91	1.0
theta_pr[4,71]	0.177	0.0182	0.839	-1.22	0.148	1.56	2126.0	1.64	1.0
theta_pr[4,72]	-1.28	0.0153	0.64	-2.32	-1.27	-0.213	1739.0	1.34	1.0
theta_pr[4,73]	0.868	0.0173	0.752	-0.366	0.859	2.14	1879.0	1.45	1.0
theta_pr[4,74]	-0.187	0.0128	0.502	-1.04	-0.172	0.616	1541.0	1.19	1.0
theta_pr[4,75]	0.0131	0.0168	0.867	-1.42	-0.00613	1.47	2676.0	2.06	0.999
theta_pr[4,76]	0.212	0.0147	0.513	-0.601	0.194	1.07	1217.0	0.938	1.0
theta_pr[4,77]	0.798	0.0157	0.781	-0.453	0.762	2.11	2465.0	1.9	1.0
theta_pr[4,78]	-0.239	0.0123	0.496	-1.08	-0.232	0.548	1614.0	1.24	1.0
theta_pr[4,79]	-0.631	0.0165	0.636	-1.64	-0.63	0.387	1480.0	1.14	0.999
theta_pr[4,80]	-0.217	0.0153	0.762	-1.45	-0.241	1.03	2471.0	1.9	0.999
theta_pr[4,81]	0.109	0.0146	0.497	-0.716	0.115	0.928	1163.0	0.896	1.0
theta_pr[4,82]	-0.95	0.0148	0.555	-1.87	-0.957	-0.0381	1402.0	1.08	0.999
theta_pr[4,83]	0.936	0.0156	0.679	-0.103	0.903	2.09	1883.0	1.45	0.999
theta_pr[4,84]	-0.691	0.0191	0.763	-1.98	-0.68	0.55	1590.0	1.23	1.0
theta_pr[4,85]	0.878	0.0183	0.629	-0.0476	0.816	2.02	1185.0	0.913	1.0
theta_pr[4,86]	0.402	0.017	0.506	-0.399	0.39	1.24	881.0	0.679	1.01
theta_pr[4,87]	-0.17	0.016	0.803	-1.51	-0.171	1.15	2534.0	1.95	1.0
theta_pr[4,88]	-0.266	0.0138	0.662	-1.31	-0.286	0.858	2308.0	1.78	1.0
theta_pr[4,89]	-0.461	0.0153	0.801	-1.72	-0.488	0.915	2725.0	2.1	0.998
theta_pr[4,90]	0.413	0.0152	0.556	-0.505	0.402	1.34	1335.0	1.03	1.0
theta_pr[4,91]	-0.211	0.0128	0.453	-0.947	-0.202	0.526	1255.0	0.967	1.0
theta_pr[4,92]	1.84	0.0137	0.536	0.996	1.82	2.75	1524.0	1.17	1.0
theta_pr[4,93]	0.0198	0.015	0.569	-0.91	0.0121	0.939	1446.0	1.11	1.0
theta_pr[4,94]	1.43	0.0164	0.599	0.516	1.38	2.46	1338.0	1.03	1.0
theta_pr[4,95]	-0.718	0.0197	0.843	-2.06	-0.767	0.755	1834.0	1.41	1.0
theta_pr[4,96]	-1.44	0.0206	0.891	-2.92	-1.45	0.0907	1879.0	1.45	0.998
theta_pr[4,97]	-0.371	0.0299	0.823	-1.59	-0.482	1.22	757.0	0.583	1.0
theta_pr[4,98]	-0.551	0.0181	0.773	-1.86	-0.549	0.752	1835.0	1.41	1.0
theta_pr[4,99]	0.24	0.0111	0.523	-0.598	0.232	1.09	2217.0	1.71	0.999
theta_pr[4,100]	0.775	0.0127	0.615	-0.207	0.765	1.82	2332.0	1.8	0.999
theta_pr[4,101]	1.22	0.0135	0.622	0.224	1.2	2.26	2114.0	1.63	1.0
theta_pr[4,102]	0.625	0.0203	0.75	-0.485	0.56	1.94	1373.0	1.06	1.0
theta_pr[4,103]	-0.304	0.0131	0.53	-1.2	-0.304	0.566	1634.0	1.26	1.0
theta_pr[4,104]	0.0138	0.0156	0.677	-1.03	-0.0296	1.18	1887.0	1.45	0.999
theta_pr[4,105]	0.119	0.0154	0.861	-1.27	0.1	1.55	3139.0	2.42	0.999
theta_pr[4,106]	0.525	0.0197	0.728	-0.611	0.466	1.78	1364.0	1.05	1.0
theta_pr[4,107]	0.582	0.0157	0.631	-0.451	0.556	1.68	1613.0	1.24	1.0
theta_pr[4,108]	-0.903	0.0201	0.71	-2.0	-0.918	0.312	1248.0	0.962	1.0
theta_pr[4,109]	-1.72	0.0221	0.647	-2.79	-1.71	-0.674	858.0	0.661	1.0
theta_pr[4,110]	-0.147	0.0127	0.656	-1.2	-0.151	0.96	2670.0	2.06	0.999
beta[1]	5.16	0.155	2.63	1.53	4.84	9.98	289.0	0.222	1.0
beta[2]	2.67	0.0118	0.511	1.95	2.62	3.61	1893.0	1.46	1.0
beta[3]	5.19	0.0813	1.84	2.98	4.76	8.89	511.0	0.394	1.01
beta[4]	3.93	0.0455	1.22	2.49	3.69	6.17	718.0	0.553	1.0
