	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
beta_mu_01[1]	1.17	0.00205	0.0356	1.1	1.17	1.24	301.0	0.126	1.0
beta_mu_01[2]	0.805	0.00248	0.0524	0.7	0.806	0.903	447.0	0.187	1.0
beta_mu_01[3]	0.0967	0.000739	0.0282	0.0379	0.0973	0.148	1454.0	0.609	1.0
beta_mu_01[4]	0.58	0.00131	0.0364	0.505	0.579	0.648	775.0	0.324	1.0
beta_mu_01[5]	1.58	0.00213	0.063	1.45	1.58	1.7	879.0	0.368	1.0
beta_mu_02[1]	0.0356	0.00341	0.0537	-0.0748	0.0369	0.136	248.0	0.104	1.02
beta_mu_02[2]	0.0421	0.0032	0.0551	-0.0714	0.0409	0.149	296.0	0.124	1.02
beta_mu_02[3]	-0.0777	0.00401	0.055	-0.191	-0.0779	0.0259	188.0	0.0789	1.02
sigma[1]	0.619	0.00128	0.0283	0.564	0.617	0.674	489.0	0.205	1.01
sigma[2]	0.84	0.00179	0.0403	0.763	0.839	0.918	506.0	0.212	1.01
sigma[3]	0.377	0.000944	0.0266	0.324	0.376	0.428	793.0	0.332	1.0
sigma[4]	0.55	0.00105	0.0304	0.49	0.549	0.609	832.0	0.348	1.0
sigma[5]	0.93	0.00215	0.0579	0.813	0.929	1.04	726.0	0.304	1.01
beta[1,1,1]	-0.687	0.004	0.156	-1.01	-0.685	-0.393	1532.0	0.642	1.0
beta[2,1,1]	-0.735	0.00407	0.16	-1.06	-0.734	-0.435	1537.0	0.643	1.0
beta[3,1,1]	-0.303	0.00358	0.154	-0.612	-0.304	-0.0034	1842.0	0.771	1.0
beta[4,1,1]	-0.0693	0.00457	0.18	-0.435	-0.0738	0.265	1550.0	0.649	1.0
beta[5,1,1]	0.109	0.00391	0.169	-0.229	0.106	0.428	1863.0	0.78	1.0
beta[6,1,1]	0.111	0.00562	0.18	-0.254	0.114	0.47	1025.0	0.429	1.0
beta[7,1,1]	-0.467	0.00518	0.162	-0.785	-0.468	-0.153	983.0	0.412	1.0
beta[8,1,1]	-0.487	0.00344	0.162	-0.807	-0.49	-0.181	2208.0	0.925	0.999
beta[9,1,1]	0.0345	0.00408	0.182	-0.332	0.0274	0.38	1995.0	0.835	1.0
beta[10,1,1]	-0.478	0.0037	0.155	-0.787	-0.478	-0.184	1759.0	0.736	1.0
beta[11,1,1]	0.375	0.00419	0.197	-0.0382	0.377	0.747	2202.0	0.922	1.0
beta[12,1,1]	-0.0923	0.00563	0.175	-0.457	-0.089	0.241	970.0	0.406	1.0
beta[13,1,1]	0.733	0.00471	0.206	0.323	0.727	1.13	1904.0	0.797	1.0
beta[14,1,1]	-0.00922	0.00446	0.175	-0.369	-0.00821	0.313	1539.0	0.644	1.0
beta[15,1,1]	-0.478	0.0033	0.156	-0.805	-0.479	-0.186	2226.0	0.932	1.0
beta[16,1,1]	1.22	0.00587	0.244	0.761	1.21	1.7	1728.0	0.724	1.0
beta[17,1,1]	-0.614	0.00607	0.165	-0.941	-0.613	-0.299	743.0	0.311	1.0
beta[18,1,1]	0.592	0.006	0.192	0.209	0.592	0.956	1021.0	0.428	1.0
beta[19,1,1]	-0.476	0.00363	0.155	-0.793	-0.475	-0.184	1831.0	0.767	1.0
beta[20,1,1]	-0.339	0.00437	0.173	-0.686	-0.339	-0.0194	1573.0	0.659	1.0
beta[21,1,1]	-0.524	0.00719	0.168	-0.866	-0.524	-0.217	544.0	0.228	1.01
beta[22,1,1]	-0.0457	0.00575	0.184	-0.426	-0.0425	0.306	1027.0	0.43	1.0
beta[23,1,1]	0.136	0.00377	0.171	-0.202	0.134	0.476	2048.0	0.858	1.0
beta[24,1,1]	-0.41	0.00388	0.16	-0.728	-0.41	-0.107	1700.0	0.712	1.0
beta[25,1,1]	-0.577	0.00372	0.156	-0.89	-0.578	-0.28	1760.0	0.737	1.0
beta[26,1,1]	-0.564	0.0056	0.165	-0.923	-0.566	-0.253	873.0	0.366	1.0
beta[27,1,1]	-0.239	0.00387	0.166	-0.568	-0.237	0.067	1838.0	0.77	1.0
beta[28,1,1]	-0.304	0.0037	0.159	-0.635	-0.305	-0.00415	1851.0	0.775	1.0
beta[29,1,1]	-0.19	0.0047	0.171	-0.526	-0.195	0.154	1324.0	0.555	1.0
beta[30,1,1]	-0.255	0.00378	0.174	-0.602	-0.256	0.077	2108.0	0.883	1.0
beta[31,1,1]	-0.829	0.00333	0.153	-1.14	-0.836	-0.541	2117.0	0.887	1.0
beta[32,1,1]	-0.16	0.00397	0.161	-0.486	-0.162	0.147	1638.0	0.686	1.0
beta[33,1,1]	-0.491	0.00647	0.163	-0.821	-0.489	-0.191	637.0	0.267	1.0
beta[34,1,1]	-0.086	0.004	0.168	-0.427	-0.0841	0.234	1752.0	0.734	1.0
beta[35,1,1]	1.06	0.00481	0.23	0.611	1.05	1.5	2289.0	0.958	1.0
beta[36,1,1]	0.718	0.00464	0.207	0.291	0.719	1.12	1995.0	0.835	1.0
beta[37,1,1]	-0.201	0.00399	0.173	-0.551	-0.202	0.124	1875.0	0.785	1.0
beta[38,1,1]	0.467	0.00453	0.188	0.088	0.47	0.834	1718.0	0.72	1.0
beta[39,1,1]	0.887	0.00544	0.22	0.446	0.881	1.29	1635.0	0.684	1.0
beta[40,1,1]	0.852	0.00413	0.204	0.442	0.85	1.24	2450.0	1.03	0.999
beta[41,1,1]	0.00568	0.00358	0.16	-0.306	0.00166	0.311	2006.0	0.84	1.0
beta[42,1,1]	0.784	0.00454	0.207	0.361	0.781	1.18	2084.0	0.873	0.999
beta[43,1,1]	-0.666	0.00547	0.16	-1.0	-0.664	-0.375	853.0	0.357	1.01
beta[44,1,1]	-0.114	0.00502	0.179	-0.483	-0.122	0.226	1271.0	0.532	1.0
beta[45,1,1]	-0.257	0.00441	0.17	-0.614	-0.258	0.0709	1489.0	0.624	1.0
beta[46,1,1]	-0.298	0.00462	0.185	-0.679	-0.301	0.0572	1603.0	0.671	1.0
