	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
beta[85,3,4]	0.0187	0.00421	0.251	-0.488	0.023	0.481	3553.0	1.38	1.0
beta[86,3,4]	-0.0792	0.00468	0.324	-0.762	-0.0727	0.54	4810.0	1.86	0.998
beta[87,3,4]	0.225	0.00431	0.264	-0.317	0.226	0.722	3747.0	1.45	0.998
beta[88,3,4]	-0.00239	0.0079	0.542	-1.15	-0.00503	1.03	4715.0	1.83	0.999
beta[89,3,4]	-0.0846	0.00423	0.261	-0.612	-0.0819	0.401	3817.0	1.48	1.0
beta[90,3,4]	-0.118	0.00439	0.295	-0.702	-0.119	0.462	4503.0	1.75	0.998
beta[91,3,4]	-0.798	0.00369	0.26	-1.32	-0.803	-0.312	4956.0	1.92	0.999
beta[92,3,4]	0.797	0.00474	0.271	0.235	0.792	1.29	3255.0	1.26	0.999
beta[93,3,4]	-0.0157	0.00417	0.267	-0.573	-0.00833	0.466	4105.0	1.59	0.998
beta[94,3,4]	1.35	0.00407	0.264	0.795	1.36	1.84	4231.0	1.64	0.999
beta[95,3,4]	-0.552	0.00373	0.252	-1.09	-0.548	-0.0882	4561.0	1.77	0.999
beta[96,3,4]	0.3	0.00529	0.328	-0.376	0.294	0.92	3853.0	1.49	0.999
beta[97,3,4]	-0.879	0.00374	0.265	-1.44	-0.881	-0.363	5027.0	1.95	0.999
beta[98,3,4]	-0.496	0.00374	0.252	-1.01	-0.488	-0.0316	4527.0	1.75	0.999
beta[99,3,4]	0.246	0.00424	0.29	-0.344	0.242	0.799	4669.0	1.81	0.999
beta[100,3,4]	-0.211	0.00386	0.251	-0.727	-0.219	0.256	4217.0	1.63	0.999
beta[101,3,4]	0.2	0.0039	0.274	-0.362	0.197	0.719	4926.0	1.91	0.999
beta[102,3,4]	0.62	0.00464	0.289	0.0253	0.61	1.19	3881.0	1.5	0.999
beta[103,3,4]	0.115	0.00453	0.305	-0.498	0.113	0.7	4547.0	1.76	0.999
beta[104,3,4]	-0.204	0.0046	0.34	-0.906	-0.203	0.452	5479.0	2.12	0.999
beta[105,3,4]	-0.0951	0.00386	0.253	-0.585	-0.0997	0.383	4290.0	1.66	0.999
beta[106,3,4]	-0.354	0.00364	0.259	-0.906	-0.351	0.144	5074.0	1.97	0.999
beta[107,3,4]	0.353	0.00442	0.282	-0.226	0.351	0.897	4083.0	1.58	0.998
beta[108,3,4]	-0.0617	0.00404	0.266	-0.61	-0.0629	0.421	4324.0	1.68	0.999
beta[109,3,4]	-0.38	0.00334	0.253	-0.896	-0.376	0.0924	5721.0	2.22	0.999
beta[110,3,4]	-0.248	0.00541	0.321	-0.895	-0.252	0.354	3517.0	1.36	0.999
beta[1,1,5]	0.00423	0.00666	0.445	-0.906	0.00701	0.852	4464.0	1.73	1.0
beta[2,1,5]	-0.528	0.0071	0.47	-1.46	-0.531	0.363	4378.0	1.7	0.999
beta[3,1,5]	-0.385	0.00695	0.451	-1.29	-0.388	0.456	4211.0	1.63	0.999
beta[4,1,5]	0.366	0.00782	0.5	-0.655	0.364	1.29	4098.0	1.59	0.999
beta[5,1,5]	-0.771	0.00746	0.475	-1.79	-0.758	0.0973	4056.0	1.57	0.999
beta[6,1,5]	-0.0879	0.00774	0.493	-1.14	-0.0932	0.796	4056.0	1.57	1.0
beta[7,1,5]	-0.448	0.00801	0.458	-1.37	-0.45	0.39	3274.0	1.27	1.0
beta[8,1,5]	-0.11	0.00776	0.478	-1.1	-0.0972	0.795	3798.0	1.47	0.999
beta[9,1,5]	-1.74	0.00685	0.474	-2.69	-1.74	-0.833	4778.0	1.85	0.999
