	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
c1[1,83]	0.193	0.00296	0.103	0.000951	0.21	0.36	1225.0	0.0557	1.0
c1[2,83]	0.0446	0.000683	0.0354	0.000673	0.0372	0.124	2693.0	0.123	1.0
c1[1,84]	0.0305	0.000542	0.0388	4.6e-05	0.0161	0.132	5114.0	0.233	1.0
c1[2,84]	0.0213	0.000358	0.0273	4.57e-05	0.011	0.0928	5785.0	0.263	1.0
c1[1,85]	0.0217	0.000289	0.0225	6.84e-05	0.0142	0.0774	6028.0	0.274	1.0
c1[2,85]	0.0251	0.00034	0.026	8.03e-05	0.0167	0.0906	5813.0	0.264	1.0
c1[1,86]	0.0917	0.00108	0.0666	0.000786	0.0824	0.235	3821.0	0.174	1.0
c1[2,86]	0.0336	0.000352	0.0287	0.000518	0.0261	0.1	6646.0	0.302	1.0
c1[1,87]	0.232	0.00138	0.0748	0.0593	0.235	0.364	2933.0	0.133	1.0
c1[2,87]	0.429	0.00245	0.111	0.164	0.437	0.612	2051.0	0.0933	1.0
c1[1,88]	0.131	0.00206	0.111	0.000633	0.105	0.371	2895.0	0.132	1.0
c1[2,88]	0.245	0.0045	0.205	0.0008	0.201	0.64	2072.0	0.0943	1.0
c1[1,89]	0.0825	0.00113	0.0673	0.00163	0.0662	0.236	3523.0	0.16	1.0
c1[2,89]	0.178	0.0014	0.0764	0.00621	0.182	0.316	2960.0	0.135	1.0
c1[1,90]	0.0637	0.00116	0.0716	0.000274	0.0391	0.248	3775.0	0.172	1.0
c1[2,90]	0.112	0.00169	0.0962	0.000387	0.0908	0.332	3226.0	0.147	1.0
c1[1,91]	0.0295	0.00034	0.0258	0.000523	0.0225	0.0921	5775.0	0.263	1.0
c1[2,91]	0.0515	0.000362	0.0287	0.0083	0.047	0.116	6292.0	0.286	1.0
