name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"beta_pr[5,49]",0.00690,0.0106,0.685,-1.11,0.0111,1.13,4146,1.36,0.999
"beta_pr[5,50]",-0.987,0.0111,0.652,-2.03,-1.00,0.111,3445,1.13,1.00
"beta_pr[5,51]",0.205,0.0106,0.729,-1.01,0.215,1.39,4736,1.55,1.000
"beta_pr[5,52]",-1.91,0.0114,0.694,-3.05,-1.91,-0.762,3687,1.21,1.000
"beta_pr[5,53]",0.684,0.0102,0.667,-0.386,0.680,1.76,4243,1.39,0.999
"beta_pr[5,54]",0.353,0.0103,0.681,-0.778,0.350,1.47,4410,1.45,0.999
"beta_pr[5,55]",0.442,0.0111,0.729,-0.751,0.450,1.63,4289,1.41,1.00
"beta_pr[5,56]",-0.367,0.0101,0.718,-1.56,-0.358,0.800,5068,1.66,1.00
"beta_pr[5,57]",-0.411,0.0113,0.693,-1.56,-0.406,0.715,3768,1.24,1.00
"beta_pr[5,58]",-0.387,0.0124,0.724,-1.60,-0.374,0.794,3426,1.12,1.00
"beta_pr[5,59]",-1.10,0.0118,0.708,-2.27,-1.08,0.0711,3583,1.18,1.00
"beta_pr[5,60]",0.621,0.00989,0.689,-0.512,0.615,1.75,4854,1.59,1.000
"beta_pr[5,61]",0.262,0.0111,0.681,-0.849,0.255,1.40,3743,1.23,1.00
"beta_pr[5,62]",0.285,0.0104,0.680,-0.809,0.271,1.42,4316,1.42,1.000
"beta_pr[5,63]",0.519,0.0110,0.714,-0.655,0.525,1.67,4250,1.39,1.00
"beta_pr[5,64]",-0.503,0.0107,0.703,-1.66,-0.495,0.649,4282,1.40,1.000
"beta_pr[5,65]",-0.498,0.0114,0.741,-1.71,-0.494,0.778,4251,1.39,1.000
"beta_pr[5,66]",-0.254,0.0110,0.690,-1.39,-0.252,0.866,3953,1.30,1.00
"beta_pr[5,67]",0.432,0.0122,0.833,-0.945,0.437,1.82,4631,1.52,1.00
"beta_pr[5,68]",0.892,0.0136,0.774,-0.368,0.910,2.18,3254,1.07,1.00
"beta_pr[5,69]",0.309,0.0109,0.702,-0.854,0.321,1.47,4110,1.35,1.000
"beta_pr[5,70]",-0.650,0.0111,0.703,-1.86,-0.641,0.485,4015,1.32,1.000
"beta_pr[5,71]",-0.653,0.0113,0.722,-1.84,-0.665,0.546,4093,1.34,0.999
"beta_pr[5,72]",0.766,0.00986,0.677,-0.327,0.762,1.90,4717,1.55,1.00
"beta_pr[5,73]",0.398,0.0108,0.683,-0.713,0.403,1.53,4013,1.32,1.00
"beta_pr[5,74]",-1.18,0.0119,0.756,-2.44,-1.18,0.0750,4044,1.33,1.00
"beta_pr[5,75]",1.20,0.0117,0.729,0.00571,1.20,2.36,3909,1.28,1.00
"beta_pr[5,76]",-0.151,0.0113,0.717,-1.33,-0.146,1.04,4041,1.33,1.00
"beta_pr[5,77]",-1.65,0.0109,0.687,-2.76,-1.64,-0.561,3989,1.31,1.000
"beta_pr[5,78]",0.183,0.0128,0.723,-1.02,0.183,1.37,3186,1.04,1.00
"beta_pr[5,79]",-0.761,0.0101,0.686,-1.89,-0.756,0.334,4658,1.53,1.000
"beta_pr[5,80]",0.0768,0.0112,0.703,-1.07,0.0836,1.22,3945,1.29,1.00
"beta_pr[5,81]",-0.100,0.0100,0.674,-1.21,-0.108,1.01,4511,1.48,1.000
"beta_pr[5,82]",0.531,0.0104,0.698,-0.616,0.529,1.66,4463,1.46,1.00
"beta_pr[5,83]",-1.35,0.0110,0.721,-2.55,-1.35,-0.152,4277,1.40,1.000
"beta_pr[5,84]",0.854,0.00980,0.663,-0.244,0.861,1.93,4580,1.50,1.00
"beta_pr[5,85]",-0.191,0.0107,0.716,-1.38,-0.185,0.988,4508,1.48,0.999
"beta_pr[5,86]",-0.917,0.0106,0.691,-2.10,-0.903,0.198,4257,1.40,1.000
"beta_pr[5,87]",-0.329,0.0101,0.673,-1.44,-0.321,0.782,4475,1.47,0.999
"beta_pr[5,88]",-0.725,0.0118,0.706,-1.89,-0.730,0.442,3584,1.18,1.000
"beta_pr[5,89]",0.113,0.0100,0.676,-1.00,0.103,1.25,4571,1.50,1.00
"beta_pr[5,90]",0.319,0.0106,0.674,-0.804,0.324,1.42,4006,1.31,1.00
"beta_pr[5,91]",0.423,0.0120,0.772,-0.861,0.416,1.69,4142,1.36,1.000
"beta_pr[6,1]",-0.292,0.0113,0.760,-1.52,-0.291,0.979,4517,1.48,0.999
"beta_pr[6,2]",0.0715,0.0113,0.771,-1.22,0.0648,1.33,4650,1.53,0.999
"beta_pr[6,3]",-0.587,0.0105,0.786,-1.85,-0.591,0.689,5608,1.84,0.999
"beta_pr[6,4]",0.259,0.0103,0.737,-0.954,0.260,1.47,5080,1.67,0.999
"beta_pr[6,5]",0.455,0.0112,0.770,-0.785,0.456,1.74,4718,1.55,1.00
"beta_pr[6,6]",-0.213,0.0116,0.801,-1.52,-0.213,1.14,4744,1.56,1.00
"beta_pr[6,7]",-0.231,0.0107,0.751,-1.50,-0.216,1.02,4969,1.63,1.000
