	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	8.94	0.0319	0.926	7.16	8.88	10.8	841.0	0.0538	1.01
b1_mu[2]	9.39	0.0336	0.941	7.57	9.36	11.3	784.0	0.0502	1.01
b2_mu[1]	8.1	0.0252	0.834	6.54	8.06	9.76	1098.0	0.0703	1.0
b2_mu[2]	9.46	0.0319	0.933	7.69	9.4	11.3	855.0	0.0547	1.01
b3_mu[1]	1.41	0.00363	0.113	1.18	1.41	1.62	963.0	0.0617	1.0
b3_mu[2]	1.02	0.00327	0.105	0.805	1.02	1.22	1029.0	0.0658	1.0
b4_mu[1]	0.199	0.0021	0.069	0.0537	0.199	0.327	1079.0	0.069	1.0
b4_mu[2]	0.0974	0.00205	0.0702	-0.0492	0.0976	0.228	1173.0	0.0751	1.0
a1_mu[1]	0.321	0.000992	0.0324	0.258	0.321	0.384	1064.0	0.0681	1.0
a1_mu[2]	0.341	0.00109	0.0334	0.274	0.34	0.406	938.0	0.06	1.0
a2_mu[1]	0.371	0.00139	0.043	0.286	0.37	0.454	960.0	0.0614	1.0
a2_mu[2]	0.26	0.00157	0.0396	0.181	0.259	0.337	639.0	0.0409	1.01
c1_mu[1]	0.0697	0.000463	0.0166	0.0381	0.0691	0.102	1291.0	0.0826	1.0
c1_mu[2]	0.0537	0.000448	0.0145	0.0267	0.0528	0.0834	1048.0	0.0671	1.0
sigma[1,1]	0.669	0.00271	0.0853	0.512	0.662	0.844	993.0	0.0636	1.0
sigma[2,1]	0.517	0.0019	0.069	0.393	0.512	0.655	1321.0	0.0845	1.0
sigma[3,1]	0.157	0.000455	0.0158	0.127	0.156	0.189	1206.0	0.0772	1.0
sigma[4,1]	0.109	0.00029	0.0104	0.0895	0.109	0.13	1282.0	0.0821	1.0
sigma[5,1]	0.626	0.00263	0.0812	0.474	0.622	0.791	952.0	0.0609	1.0
sigma[6,1]	0.751	0.00246	0.086	0.588	0.746	0.923	1221.0	0.0782	1.0
sigma[7,1]	1.58	0.00491	0.191	1.23	1.57	1.97	1521.0	0.0973	1.0
sigma[1,2]	0.107	0.000552	0.0211	0.0677	0.106	0.149	1461.0	0.0935	1.0
sigma[2,2]	0.158	0.00152	0.0382	0.0868	0.156	0.234	636.0	0.0407	1.01
sigma[3,2]	0.086	0.000242	0.00985	0.0677	0.0855	0.106	1656.0	0.106	1.0
sigma[4,2]	0.0502	0.000169	0.00706	0.0369	0.0499	0.064	1741.0	0.111	1.0
sigma[5,2]	0.114	0.00143	0.0413	0.0223	0.115	0.193	836.0	0.0535	1.0
sigma[6,2]	0.346	0.00546	0.0826	0.178	0.347	0.501	229.0	0.0146	1.05
sigma[7,2]	0.407	0.00391	0.114	0.162	0.403	0.627	845.0	0.0541	1.0
b1[1,1]	3.31	0.081	3.01	0.203	2.47	11.0	1379.0	0.0883	1.0
b1[2,1]	4.64	0.0785	3.0	1.2	3.96	12.1	1456.0	0.0932	1.0
b1[1,2]	3.41	0.0569	1.52	1.51	3.18	6.04	714.0	0.0457	1.0
b1[2,2]	2.02	0.0747	1.8	0.289	1.56	5.99	582.0	0.0372	1.0
b1[1,3]	5.21	0.0238	1.43	2.86	5.01	8.33	3644.0	0.233	1.0
b1[2,3]	4.96	0.0303	1.52	2.71	4.68	8.5	2512.0	0.161	1.0
b1[1,4]	7.78	0.0839	3.42	3.15	7.08	15.6	1661.0	0.106	1.0
b1[2,4]	9.82	0.0692	3.17	5.3	9.15	17.2	2101.0	0.134	1.0
b1[1,5]	6.67	0.0909	4.11	1.69	5.5	16.6	2041.0	0.131	1.0
b1[2,5]	5.04	0.118	4.86	-0.14	3.36	16.4	1699.0	0.109	1.0
b1[1,6]	4.25	0.0167	1.03	2.61	4.11	6.56	3799.0	0.243	1.0
b1[2,6]	4.88	0.0244	1.27	2.92	4.68	7.75	2732.0	0.175	1.0
b1[1,7]	12.5	0.0916	4.68	4.85	11.9	22.6	2613.0	0.167	1.0
b1[2,7]	13.4	0.0774	4.44	6.26	12.9	23.0	3294.0	0.211	1.0
b1[1,8]	5.98	0.0783	3.2	1.92	5.21	13.8	1664.0	0.107	1.0
b1[2,8]	8.75	0.0645	2.92	4.5	8.19	15.8	2055.0	0.132	1.0
b1[1,9]	6.87	0.107	3.33	2.94	5.91	14.5	958.0	0.0613	1.0
b1[2,9]	9.26	0.0749	2.89	5.12	8.72	15.7	1486.0	0.0951	1.0
b1[1,10]	8.32	0.086	4.49	2.25	7.38	18.6	2725.0	0.174	1.0
b1[2,10]	9.55	0.0782	4.26	3.66	8.63	19.4	2976.0	0.19	1.0
b1[1,11]	11.9	0.088	3.92	5.72	11.3	20.6	1983.0	0.127	1.0
b1[2,11]	14.6	0.06	3.31	9.29	14.1	21.8	3049.0	0.195	1.0
b1[1,12]	5.25	0.022	1.37	2.93	5.11	8.14	3882.0	0.248	1.0
b1[2,12]	5.92	0.0224	1.36	3.64	5.77	8.82	3647.0	0.233	1.0
b1[1,13]	21.9	0.0758	4.55	13.9	21.6	31.3	3602.0	0.231	1.0
b1[2,13]	21.7	0.0786	4.66	13.4	21.3	31.3	3516.0	0.225	1.0
b1[1,14]	8.24	0.0666	2.7	4.53	7.72	15.1	1644.0	0.105	1.0
b1[2,14]	6.55	0.0942	3.35	2.69	5.63	15.2	1262.0	0.0808	1.01
b1[1,15]	2.99	0.0235	1.01	1.39	2.85	5.17	1842.0	0.118	1.0
b1[2,15]	-0.558	0.0341	1.15	-2.36	-0.668	2.13	1139.0	0.0729	1.0
b1[1,16]	21.9	0.0957	5.08	12.7	21.5	32.5	2821.0	0.181	1.0
b1[2,16]	23.4	0.0812	4.87	14.7	23.0	33.3	3604.0	0.231	1.0
b1[1,17]	6.31	0.1	4.07	0.835	5.54	15.5	1645.0	0.105	1.0
b1[2,17]	7.09	0.088	3.7	1.99	6.31	15.7	1767.0	0.113	1.0
b1[1,18]	12.9	0.0596	3.25	7.44	12.5	20.0	2977.0	0.191	1.0
b1[2,18]	13.5	0.075	3.74	7.27	13.1	21.5	2492.0	0.159	1.0
b1[1,19]	8.08	0.147	4.17	2.76	7.04	18.3	805.0	0.0515	1.01
b1[2,19]	8.04	0.176	4.73	1.73	7.25	19.2	721.0	0.0461	1.01
b1[1,20]	2.75	0.0717	2.35	0.753	2.09	9.12	1075.0	0.0688	1.0
b1[2,20]	3.76	0.0742	2.36	1.53	3.13	9.53	1013.0	0.0649	1.0
b1[1,21]	4.56	0.0508	2.19	1.54	4.19	9.26	1866.0	0.119	1.0
b1[2,21]	4.84	0.0491	2.02	2.4	4.41	9.5	1692.0	0.108	1.0
b1[1,22]	8.26	0.0616	2.91	4.43	7.57	15.4	2227.0	0.143	1.0
b1[2,22]	8.74	0.0601	3.0	4.45	8.12	15.8	2488.0	0.159	1.0
b1[1,23]	16.7	0.084	4.71	8.66	16.2	26.7	3144.0	0.201	1.0
b1[2,23]	16.9	0.0828	4.68	8.93	16.4	26.8	3196.0	0.205	1.0
b1[1,24]	5.27	0.046	1.96	2.65	4.84	9.95	1824.0	0.117	1.0
b1[2,24]	4.8	0.0553	2.13	2.04	4.28	9.93	1492.0	0.0955	1.0
b1[1,25]	1.68	0.0505	1.61	0.0336	1.34	5.17	1018.0	0.0651	1.01
b1[2,25]	4.26	0.042	1.54	2.42	3.95	7.86	1335.0	0.0854	1.0
b1[1,26]	5.34	0.0394	1.84	2.6	5.02	9.49	2177.0	0.139	1.0
b1[2,26]	6.15	0.0422	2.0	2.89	5.86	10.5	2254.0	0.144	1.0
b1[1,27]	15.7	0.0735	4.71	7.49	15.4	25.5	4096.0	0.262	1.0
b1[2,27]	16.1	0.0743	4.7	7.72	15.7	26.0	3999.0	0.256	1.0
b1[1,28]	8.54	0.109	4.29	2.71	7.72	18.4	1545.0	0.0989	1.0
b1[2,28]	9.77	0.093	3.91	4.57	8.88	19.1	1765.0	0.113	1.0
b1[1,29]	11.8	0.086	4.31	5.41	11.0	21.6	2513.0	0.161	1.0
b1[2,29]	13.9	0.0693	3.88	7.81	13.3	22.6	3126.0	0.2	1.0
b1[1,30]	2.47	0.0654	2.81	-1.19	1.81	9.71	1852.0	0.118	1.0
b1[2,30]	2.56	0.0666	2.88	-0.966	1.85	9.91	1869.0	0.12	1.0
b1[1,31]	3.84	0.0576	1.68	1.83	3.48	7.68	848.0	0.0543	1.0
b1[2,31]	1.79	0.0641	1.58	0.298	1.46	5.35	607.0	0.0388	1.01
b1[1,32]	5.31	0.0786	3.0	1.61	4.62	12.6	1453.0	0.093	1.0
b1[2,32]	5.33	0.0851	3.07	1.9	4.51	13.3	1298.0	0.0831	1.0
b1[1,33]	4.88	0.0436	2.09	2.06	4.43	10.0	2290.0	0.147	1.0
b1[2,33]	4.86	0.0553	2.35	1.96	4.3	10.8	1811.0	0.116	1.0
b1[1,34]	19.2	0.066	4.22	11.7	19.0	27.9	4086.0	0.261	1.0
b1[2,34]	19.4	0.0701	4.36	11.5	19.2	28.1	3882.0	0.248	1.0
