	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	6.74	0.0358	0.743	5.34	6.72	8.19	430.0	0.0488	1.01
b1_mu[2]	7.23	0.036	0.74	5.83	7.2	8.68	422.0	0.0479	1.01
b2_mu[1]	5.81	0.0196	0.564	4.73	5.79	6.94	832.0	0.0942	1.0
b2_mu[2]	6.71	0.023	0.61	5.54	6.68	7.91	706.0	0.08	1.0
b3_mu[1]	2.91	0.00978	0.282	2.37	2.9	3.47	832.0	0.0942	1.0
b3_mu[2]	3.35	0.0115	0.305	2.77	3.34	3.95	706.0	0.08	1.0
b4_mu[1]	1.01	0.00272	0.0732	0.863	1.01	1.15	724.0	0.0821	1.01
b4_mu[2]	0.767	0.00247	0.0703	0.622	0.766	0.904	813.0	0.0922	1.0
a1_mu[1]	0.512	0.000148	0.00435	0.503	0.512	0.52	859.0	0.0973	1.0
a1_mu[2]	0.508	0.000138	0.00435	0.499	0.508	0.516	988.0	0.112	1.0
a2_mu[1]	0.3	0.000956	0.0304	0.24	0.299	0.36	1012.0	0.115	1.01
a2_mu[2]	0.326	0.00103	0.0311	0.263	0.326	0.386	915.0	0.104	1.01
sigma[1,1]	0.58	0.0025	0.0713	0.449	0.575	0.729	813.0	0.0922	1.01
sigma[2,1]	0.409	0.0014	0.048	0.322	0.404	0.513	1170.0	0.133	1.0
sigma[3,1]	0.113	0.000313	0.00965	0.0956	0.113	0.133	952.0	0.108	1.01
sigma[4,1]	0.0843	0.000209	0.00738	0.0703	0.0838	0.099	1244.0	0.141	1.0
sigma[5,1]	0.594	0.00279	0.0765	0.447	0.59	0.747	751.0	0.0851	1.0
sigma[6,1]	0.701	0.00222	0.079	0.554	0.697	0.863	1264.0	0.143	1.0
sigma[1,2]	0.0822	0.000395	0.0136	0.056	0.0816	0.11	1189.0	0.135	1.0
sigma[2,2]	0.117	0.000603	0.0191	0.0805	0.116	0.155	1001.0	0.113	1.0
sigma[3,2]	0.0662	0.000163	0.00658	0.0539	0.0657	0.0794	1640.0	0.186	1.0
sigma[4,2]	0.0439	0.000126	0.00534	0.0335	0.0436	0.0548	1803.0	0.204	1.0
sigma[5,2]	0.12	0.00136	0.0373	0.0402	0.12	0.191	746.0	0.0845	1.0
sigma[6,2]	0.231	0.00264	0.0561	0.122	0.229	0.346	453.0	0.0514	1.0
b1[1,1]	2.27	0.114	2.79	0.0604	1.33	9.95	596.0	0.0676	1.0
b1[2,1]	3.01	0.12	2.85	0.723	2.05	10.6	566.0	0.0642	1.0
b1[1,2]	2.67	0.0412	1.03	1.18	2.54	4.49	630.0	0.0714	1.0
b1[2,2]	1.42	0.0557	1.11	0.302	1.23	3.46	397.0	0.045	1.0
b1[1,3]	4.69	0.0229	1.19	2.73	4.56	7.16	2683.0	0.304	1.0
b1[2,3]	4.36	0.0254	1.14	2.65	4.2	6.72	2016.0	0.228	1.0
b1[1,4]	5.31	0.0455	1.86	2.75	4.95	9.57	1674.0	0.19	1.0
b1[2,4]	7.27	0.0347	1.73	4.61	7.02	11.0	2485.0	0.282	1.0
b1[1,5]	5.31	0.0868	3.37	1.47	4.22	13.8	1511.0	0.171	1.0
b1[2,5]	4.03	0.112	3.99	-0.0849	2.6	13.8	1271.0	0.144	1.0
b1[1,6]	3.79	0.0103	0.725	2.46	3.74	5.25	4963.0	0.562	1.0
b1[2,6]	4.1	0.0111	0.782	2.68	4.03	5.76	4949.0	0.561	1.0
b1[1,7]	8.9	0.068	3.48	3.59	8.34	16.7	2613.0	0.296	1.0
b1[2,7]	10.1	0.0616	3.29	5.12	9.56	17.5	2851.0	0.323	1.0
