	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	6.87	0.032	0.773	5.44	6.82	8.42	585.0	0.066	1.01
b1_mu[2]	7.98	0.0295	0.767	6.51	7.95	9.49	676.0	0.0763	1.01
b2_mu[1]	5.45	0.025	0.568	4.37	5.42	6.56	516.0	0.0582	1.0
b2_mu[2]	6.87	0.025	0.628	5.65	6.84	8.11	628.0	0.0709	1.0
b3_mu[1]	2.72	0.0125	0.284	2.18	2.71	3.28	516.0	0.0582	1.0
b3_mu[2]	3.43	0.0125	0.314	2.83	3.42	4.06	628.0	0.0709	1.0
b4_mu[1]	1.02	0.00248	0.0723	0.875	1.02	1.15	853.0	0.0963	1.0
b4_mu[2]	0.697	0.00252	0.0717	0.544	0.697	0.83	812.0	0.0916	1.0
a1_mu[1]	0.513	0.000149	0.0044	0.504	0.513	0.521	869.0	0.0981	1.0
a1_mu[2]	0.51	0.000171	0.00439	0.502	0.51	0.519	661.0	0.0746	1.0
a2_mu[1]	0.264	0.00104	0.0305	0.203	0.264	0.322	866.0	0.0978	1.0
a2_mu[2]	0.224	0.000854	0.0272	0.171	0.223	0.277	1017.0	0.115	1.0
sigma[1,1]	0.564	0.00213	0.0708	0.437	0.559	0.708	1103.0	0.125	1.0
sigma[2,1]	0.401	0.00127	0.0467	0.316	0.398	0.496	1357.0	0.153	1.0
sigma[3,1]	0.111	0.000281	0.00926	0.0935	0.111	0.129	1089.0	0.123	1.01
sigma[4,1]	0.0853	0.000202	0.00723	0.0714	0.0848	0.0996	1277.0	0.144	1.0
sigma[5,1]	0.506	0.00276	0.0726	0.366	0.504	0.652	691.0	0.078	1.0
sigma[6,1]	0.688	0.00219	0.0776	0.541	0.684	0.839	1252.0	0.141	1.0
sigma[1,2]	0.0727	0.000838	0.0222	0.0275	0.0723	0.115	699.0	0.0789	1.01
sigma[2,2]	0.113	0.000788	0.0222	0.0709	0.112	0.158	792.0	0.0894	1.0
sigma[3,2]	0.0649	0.000136	0.00622	0.0533	0.0646	0.0774	2084.0	0.235	1.0
sigma[4,2]	0.0474	0.000113	0.00542	0.0368	0.0472	0.0585	2289.0	0.258	1.0
sigma[5,2]	0.275	0.00124	0.0374	0.201	0.274	0.35	913.0	0.103	1.0
sigma[6,2]	0.331	0.00195	0.0541	0.225	0.328	0.438	769.0	0.0868	1.0
b1[1,1]	3.04	0.0152	0.945	1.43	2.96	4.98	3847.0	0.434	1.0
b1[2,1]	3.36	0.0356	1.59	0.971	3.09	6.79	2005.0	0.226	1.0
b1[1,2]	6.2	0.0358	1.91	3.39	5.9	10.6	2845.0	0.321	1.0
b1[2,2]	7.1	0.0419	2.18	3.66	6.82	11.8	2720.0	0.307	1.0
b1[1,3]	11.3	0.0916	4.09	4.36	11.0	19.6	1994.0	0.225	1.0
b1[2,3]	13.4	0.0651	3.57	7.46	13.0	21.0	3013.0	0.34	1.0
b1[1,4]	5.6	0.0652	3.13	1.69	4.82	13.2	2298.0	0.259	1.0
b1[2,4]	6.23	0.073	3.49	1.33	5.56	14.3	2290.0	0.258	1.0
b1[1,5]	4.24	0.0142	0.878	2.71	4.16	6.06	3820.0	0.431	1.0
b1[2,5]	5.82	0.0217	1.21	3.61	5.73	8.38	3118.0	0.352	1.0
b1[1,6]	4.12	0.0248	1.39	1.98	3.9	7.27	3151.0	0.356	1.0
b1[2,6]	5.29	0.0198	1.19	3.32	5.16	7.81	3595.0	0.406	1.0
b1[1,7]	3.01	0.0396	1.62	0.967	2.62	7.09	1685.0	0.19	1.0
b1[2,7]	5.32	0.0316	1.57	2.93	5.08	8.82	2470.0	0.279	1.0
b1[1,8]	3.47	0.0268	0.846	2.2	3.39	4.9	994.0	0.112	1.0
b1[2,8]	5.58	0.0329	1.36	3.24	5.45	8.38	1707.0	0.193	1.0
b1[1,9]	11.0	0.0638	3.3	5.6	10.6	17.9	2677.0	0.302	1.0
b1[2,9]	12.9	0.051	2.98	7.95	12.5	19.4	3427.0	0.387	1.0
b1[1,10]	5.09	0.0196	1.27	2.85	4.99	7.78	4181.0	0.472	0.999
b1[2,10]	6.83	0.0154	1.19	4.64	6.75	9.28	6046.0	0.682	1.0
b1[1,11]	17.7	0.0599	3.66	11.4	17.4	25.4	3734.0	0.422	1.0
b1[2,11]	18.4	0.0606	3.77	11.7	18.1	26.3	3864.0	0.436	1.0
b1[1,12]	6.02	0.0304	1.69	3.54	5.72	9.83	3096.0	0.35	1.0
b1[2,12]	5.86	0.0598	2.49	2.0	5.56	11.0	1735.0	0.196	1.0
b1[1,13]	2.32	0.0191	0.834	1.14	2.2	4.08	1904.0	0.215	1.0
b1[2,13]	2.29	0.039	1.33	0.894	1.87	5.62	1156.0	0.131	1.0
b1[1,14]	13.8	0.0608	3.78	7.47	13.3	21.9	3872.0	0.437	0.999
b1[2,14]	14.4	0.0667	4.04	7.35	13.9	22.8	3671.0	0.414	1.0
b1[1,15]	2.43	0.0586	2.35	0.198	1.71	8.75	1603.0	0.181	1.0
b1[2,15]	3.16	0.0621	2.55	0.479	2.44	9.89	1688.0	0.191	1.0
b1[1,16]	3.88	0.00902	0.708	2.57	3.83	5.31	6160.0	0.695	1.0
b1[2,16]	6.39	0.0247	1.23	4.19	6.26	8.99	2490.0	0.281	1.0
b1[1,17]	2.99	0.0516	2.16	0.765	2.35	8.65	1747.0	0.197	1.0
b1[2,17]	4.29	0.0525	2.27	1.59	3.75	10.1	1868.0	0.211	1.0
b1[1,18]	4.49	0.068	2.92	1.24	3.64	12.2	1842.0	0.208	1.0
b1[2,18]	5.95	0.0636	2.9	2.3	5.27	13.4	2085.0	0.235	1.0
