	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	8.25	0.0345	0.883	6.48	8.24	9.97	655.0	0.0619	1.0
b1_mu[2]	8.67	0.0364	0.893	6.9	8.65	10.4	603.0	0.057	1.0
b2_mu[1]	8.25	0.0358	0.916	6.54	8.19	10.1	655.0	0.062	1.01
b2_mu[2]	8.1	0.0344	0.899	6.39	8.06	9.91	683.0	0.0646	1.01
b3_mu[1]	4.13	0.0179	0.458	3.27	4.1	5.05	655.0	0.062	1.01
b3_mu[2]	4.05	0.0172	0.45	3.2	4.03	4.96	683.0	0.0646	1.01
b4_mu[1]	0.785	0.00283	0.0767	0.631	0.783	0.934	734.0	0.0695	1.01
b4_mu[2]	0.727	0.0029	0.0765	0.57	0.726	0.876	696.0	0.0658	1.01
a1_mu[1]	0.508	0.000147	0.0046	0.499	0.508	0.517	985.0	0.0931	1.0
a1_mu[2]	0.511	0.000141	0.00462	0.501	0.511	0.519	1077.0	0.102	1.0
a2_mu[1]	0.265	0.000807	0.0271	0.212	0.264	0.318	1130.0	0.107	1.0
a2_mu[2]	0.223	0.000767	0.0254	0.175	0.222	0.274	1096.0	0.104	1.0
sigma[1,1]	0.653	0.00246	0.0797	0.509	0.647	0.818	1055.0	0.0998	1.0
sigma[2,1]	0.575	0.00211	0.0716	0.445	0.572	0.719	1154.0	0.109	1.0
sigma[3,1]	0.131	0.000338	0.0111	0.111	0.13	0.154	1067.0	0.101	1.0
sigma[4,1]	0.086	0.000208	0.00786	0.0715	0.0856	0.102	1425.0	0.135	1.01
sigma[5,1]	0.485	0.00245	0.0731	0.345	0.48	0.634	894.0	0.0845	1.0
sigma[6,1]	0.68	0.00241	0.0802	0.527	0.677	0.842	1106.0	0.105	1.0
sigma[1,2]	0.0609	0.000786	0.0207	0.0194	0.0597	0.102	694.0	0.0656	1.01
sigma[2,2]	0.0918	0.00196	0.0343	0.0227	0.0911	0.157	305.0	0.0289	1.01
sigma[3,2]	0.0398	0.000129	0.00586	0.0287	0.0395	0.0514	2067.0	0.196	1.0
sigma[4,2]	0.05	0.00013	0.00568	0.0393	0.0496	0.0616	1913.0	0.181	1.0
sigma[5,2]	0.214	0.000965	0.0318	0.151	0.214	0.275	1088.0	0.103	1.0
