name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"b2[2,30]",1.64,0.00612,0.469,0.892,1.64,2.41,5886,0.672,1.000
"b2[2,31]",1.47,0.00553,0.420,0.793,1.47,2.16,5784,0.660,0.999
"b2[2,32]",1.12,0.00719,0.498,0.312,1.12,1.92,4802,0.548,1.000
"b2[2,33]",0.396,0.00700,0.433,-0.311,0.390,1.10,3814,0.435,1.000
"b2[2,34]",0.621,0.00663,0.493,-0.148,0.604,1.45,5523,0.630,0.999
"b2[2,35]",-0.0291,0.00625,0.522,-0.865,-0.0309,0.838,6980,0.796,0.999
"b2[2,36]",1.57,0.00767,0.562,0.659,1.56,2.50,5369,0.613,1.000
"b2[2,37]",0.871,0.00820,0.488,0.0727,0.869,1.68,3540,0.404,1.00
"b2[2,38]",1.42,0.00869,0.563,0.502,1.41,2.37,4190,0.478,1.00
"b2[2,39]",0.236,0.00711,0.567,-0.711,0.245,1.15,6350,0.725,1.000
"b2[2,40]",0.445,0.00918,0.612,-0.545,0.435,1.44,4445,0.507,1.00
"b2[2,41]",-0.835,0.0122,0.548,-1.73,-0.837,0.0506,2034,0.232,1.000
"b2[2,42]",-0.461,0.00779,0.540,-1.34,-0.462,0.422,4817,0.550,1.000
"b2[2,43]",0.156,0.00574,0.384,-0.491,0.154,0.782,4483,0.512,1.000
"b2[2,44]",0.912,0.00596,0.435,0.225,0.906,1.63,5317,0.607,1.00
"b2[2,45]",0.446,0.00763,0.505,-0.354,0.441,1.27,4391,0.501,1.00
"b2[2,46]",1.85,0.00904,0.547,0.951,1.85,2.77,3656,0.417,1.000
"b2[2,47]",0.943,0.00886,0.551,0.0492,0.942,1.86,3870,0.442,1.000
"b2[2,48]",1.03,0.00438,0.372,0.423,1.02,1.64,7221,0.824,0.999
"b2[2,49]",0.105,0.00753,0.473,-0.658,0.0991,0.896,3953,0.451,1.00
"b2[2,50]",0.575,0.00887,0.480,-0.222,0.573,1.36,2928,0.334,1.00
"b2[2,51]",-0.364,0.0102,0.447,-1.11,-0.350,0.349,1928,0.220,1.00
"b2[2,52]",0.930,0.00684,0.505,0.114,0.917,1.77,5452,0.622,1.000
"b2[2,53]",0.454,0.00571,0.435,-0.254,0.451,1.19,5798,0.662,0.999
"b2[2,54]",0.738,0.00639,0.451,-0.00620,0.729,1.50,4995,0.570,1.000
"b2[2,55]",0.734,0.00456,0.357,0.141,0.733,1.34,6120,0.698,1.000
"b2[2,56]",0.896,0.00823,0.457,0.154,0.896,1.65,3078,0.351,1.00
"b2[2,57]",1.17,0.00886,0.541,0.287,1.17,2.08,3724,0.425,1.000
"b2[2,58]",1.26,0.00594,0.445,0.538,1.25,2.01,5625,0.642,1.000
"b2[2,59]",0.415,0.00663,0.473,-0.384,0.413,1.19,5088,0.581,1.000
"b2[2,60]",0.376,0.00588,0.421,-0.329,0.377,1.07,5136,0.586,1.00
"b2[2,61]",-1.06,0.00675,0.538,-1.95,-1.06,-0.186,6354,0.725,0.999
"b2[2,62]",0.174,0.00561,0.431,-0.526,0.172,0.892,5906,0.674,1.00
