subject	session	block	trial	exposure	valence	action	robot	correct	choice	rt	accuracy	sham	outcome	Y_hat	Y_pred	waic
r290tjjnbzo5rw4ls3mialc7	3	1	14	4	1	no-go	NGW	0	0		1	0.0	1	0.5026	0.49592890261446226	-0.7075427728336154
r290tjjnbzo5rw4ls3mialc7	3	1	18	5	1	no-go	NGW	0	0		1	0.0	1	0.4926	0.515893036152965	-0.6690362104049771
r290tjjnbzo5rw4ls3mialc7	3	1	23	6	1	no-go	NGW	0	0		1	0.0	1	0.4536	0.5350550977960651	-0.6336373360042991
r290tjjnbzo5rw4ls3mialc7	3	1	25	7	1	no-go	NGW	0	0		1	0.0	1	0.4439	0.5534242401055374	-0.6009748847373005
r290tjjnbzo5rw4ls3mialc7	3	1	32	8	1	no-go	NGW	0	0		1	0.0	1	0.4296	0.571010292335838	-0.5707527863743146
r290tjjnbzo5rw4ls3mialc7	3	1	34	9	1	no-go	NGW	0	0		1	0.0	1	0.4103	0.5878255149595488	-0.5427258669122259
r290tjjnbzo5rw4ls3mialc7	3	1	40	10	1	no-go	NGW	0	1	0.919	0	0.0	0	0.3945	0.39611484889445436	-0.9557673800341415
r290tjjnbzo5rw4ls3mialc7	3	1	2	1	0	go	GAL	1	0		0	0.0	0	0.5721	0.4321222623278467	-0.8453118405460126
r290tjjnbzo5rw4ls3mialc7	3	1	7	2	0	go	GAL	1	0		0	0.0	0	0.5732	0.42929538788800464	-0.8523811916253835
r290tjjnbzo5rw4ls3mialc7	3	1	10	3	0	go	GAL	1	0		0	0.0	0	0.5764	0.4265711726494884	-0.8593467342709036
r290tjjnbzo5rw4ls3mialc7	3	1	13	4	0	go	GAL	1	1	1.184	1	0.0	1	0.5766	0.5760749250471776	-0.5556815351935908
r290tjjnbzo5rw4ls3mialc7	3	1	20	5	0	go	GAL	1	0		0	0.0	0	0.598	0.40307250820001556	-0.9200166232974727
r290tjjnbzo5rw4ls3mialc7	3	1	22	6	0	go	GAL	1	1	0.885	1	0.0	1	0.5954	0.5994364853239605	-0.5168200103051858
r290tjjnbzo5rw4ls3mialc7	3	1	26	7	0	go	GAL	1	1	0.876	1	0.0	1	0.6138	0.6189177177579789	-0.48550339726895186
r290tjjnbzo5rw4ls3mialc7	3	1	29	8	0	go	GAL	1	1	0.969	1	0.0	1	0.6416	0.6372253679083398	-0.4569698361855674
r290tjjnbzo5rw4ls3mialc7	3	1	83	1	1	go	GW	1	0		0	1.0	1	0.5683	0.4321222623278467	-0.8453118405460126
r290tjjnbzo5rw4ls3mialc7	3	1	85	2	1	go	GW	1	1	1.085	1	0.0	1	0.5527	0.5464670603349638	-0.6079883772384607
r290tjjnbzo5rw4ls3mialc7	3	1	90	3	1	go	GW	1	1	0.589	1	0.0	1	0.6591	0.6571856667576781	-0.42301808799752655
r290tjjnbzo5rw4ls3mialc7	3	1	96	4	1	go	GW	1	0		0	1.0	1	0.7355	0.25929492279535166	-1.3818930779149157
r290tjjnbzo5rw4ls3mialc7	3	1	100	5	1	go	GW	1	1	0.544	1	0.0	1	0.7241	0.7246744477631034	-0.3260195783952223
r290tjjnbzo5rw4ls3mialc7	3	1	101	6	1	go	GW	1	0		0	0.0	0	0.7896	0.21204970968793724	-1.6124356264881414
r290tjjnbzo5rw4ls3mialc7	3	1	106	7	1	go	GW	1	1	1.287	1	0.0	1	0.8001	0.8029542845538835	-0.2232254104686088
r290tjjnbzo5rw4ls3mialc7	3	1	111	8	1	go	GW	1	0		0	0.0	0	0.8336	0.15403830493121323	-1.9829396422611598
r290tjjnbzo5rw4ls3mialc7	3	1	115	9	1	go	GW	1	1	0.55	1	1.0	0	0.8578	0.8568342978692762	-0.15782256681449008
r290tjjnbzo5rw4ls3mialc7	3	1	118	10	1	go	GW	1	1	0.878	1	0.0	1	0.8438	0.8413171650161922	-0.17698023580657343
r290tjjnbzo5rw4ls3mialc7	3	2	212	1	0	no-go	NGAL	0	1	1.008	0	1.0	1	0.5724	0.5678777376721532	-0.5694421300395475
r290tjjnbzo5rw4ls3mialc7	3	2	213	2	0	no-go	NGAL	0	1	0.941	0	1.0	1	0.5918	0.5889510618511986	-0.5333764634920701
r290tjjnbzo5rw4ls3mialc7	3	2	219	3	0	no-go	NGAL	0	1	0.981	0	1.0	1	0.6066	0.6087499594676863	-0.5008372133663374
