name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"a3[1,7]",0.186,0.00140,0.0668,0.0913,0.178,0.308,2270,0.157,1.000
"a3[1,8]",0.171,0.00130,0.0618,0.0843,0.165,0.281,2242,0.155,1.00
"a3[1,9]",0.156,0.000796,0.0426,0.0931,0.153,0.232,2858,0.197,1.00
"a3[1,10]",0.547,0.00125,0.0833,0.416,0.544,0.691,4445,0.307,1.00
"a3[1,11]",0.108,0.000463,0.0283,0.0689,0.105,0.161,3727,0.257,0.999
"a3[1,12]",0.351,0.00139,0.0924,0.206,0.348,0.511,4405,0.304,1.000
"a3[1,13]",0.510,0.00453,0.203,0.176,0.511,0.834,2000,0.138,1.00
"a3[1,14]",0.204,0.000860,0.0465,0.134,0.202,0.283,2926,0.202,1.00
"a3[1,15]",0.590,0.00440,0.194,0.235,0.610,0.883,1931,0.133,1.00
"a3[1,16]",0.0495,0.00103,0.0301,0.0225,0.0430,0.0978,857,0.0591,1.00
"a3[1,17]",0.112,0.00357,0.110,0.0181,0.0726,0.349,954,0.0658,1.00
"a3[1,18]",0.276,0.00289,0.110,0.101,0.272,0.463,1446,0.0997,1.00
"a3[1,19]",0.244,0.00218,0.0971,0.102,0.234,0.421,1990,0.137,1.00
"a3[1,20]",0.139,0.000691,0.0391,0.0855,0.134,0.210,3200,0.221,1.00
"a3[1,21]",0.624,0.00212,0.132,0.392,0.635,0.826,3859,0.266,0.999
"a3[1,22]",0.413,0.00412,0.163,0.159,0.406,0.691,1566,0.108,1.00
"a3[1,23]",0.236,0.00839,0.160,0.0608,0.182,0.546,364,0.0251,1.01
"a3[1,24]",0.0786,0.000677,0.0276,0.0421,0.0744,0.131,1661,0.115,1.00
"a3[1,25]",0.376,0.00197,0.109,0.210,0.368,0.566,3048,0.210,1.00
"a3[1,26]",0.197,0.000847,0.0479,0.125,0.192,0.283,3206,0.221,1.00
"a3[1,27]",0.259,0.0118,0.249,0.00396,0.197,0.724,444,0.0306,1.01
"a3[1,28]",0.256,0.0131,0.241,0.00983,0.192,0.754,341,0.0235,1.01
"a3[1,29]",0.698,0.00256,0.133,0.461,0.709,0.893,2705,0.187,1.000
