name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
a2[16]	0.0956	0.000327	0.0345	0.0472	0.0918	0.159	11127.0	0.526	1.0
a2[17]	0.411	0.00493	0.262	0.0162	0.402	0.862	2816.0	0.133	1.0
a2[18]	0.172	0.00055	0.0592	0.0866	0.165	0.278	11578.0	0.547	1.0
a2[19]	0.0997	0.0018	0.102	0.0169	0.0615	0.31	3246.0	0.153	1.0
a2[20]	0.0179	0.000398	0.029	0.00187	0.00967	0.0607	5317.0	0.251	1.0
a2[21]	0.12	0.00065	0.0664	0.0398	0.107	0.247	10453.0	0.494	1.0
a2[22]	0.0842	0.000765	0.0653	0.0202	0.0646	0.216	7281.0	0.344	1.0
a2[23]	0.0655	0.000292	0.0308	0.0266	0.0598	0.125	11106.0	0.525	1.0
a2[24]	0.642	0.00144	0.186	0.314	0.655	0.926	16667.0	0.788	1.0
a2[25]	0.018	0.000217	0.0183	0.0035	0.0128	0.0485	7156.0	0.338	1.0
a2[26]	0.295	0.00183	0.148	0.0759	0.284	0.562	6566.0	0.31	1.0
a2[27]	0.034	0.000153	0.0159	0.0143	0.0308	0.064	10855.0	0.513	1.0
a2[28]	0.142	0.00107	0.0892	0.0363	0.123	0.312	6949.0	0.328	1.0
a2[29]	0.0828	0.000288	0.0315	0.0391	0.0784	0.141	12027.0	0.568	1.0
a2[30]	0.013	0.0011	0.0587	2.87e-05	0.00111	0.0463	2863.0	0.135	1.0
a2[31]	0.157	0.00332	0.187	0.0028	0.0862	0.579	3191.0	0.151	1.0
a2[32]	0.516	0.00183	0.225	0.156	0.512	0.891	15185.0	0.718	1.0
a2[33]	0.0603	0.000471	0.0487	0.0112	0.0478	0.152	10655.0	0.504	1.0
a2[34]	0.158	0.000597	0.0653	0.068	0.15	0.279	11991.0	0.567	1.0
a2[35]	0.117	0.000679	0.0667	0.0364	0.104	0.244	9635.0	0.455	1.0
a2[36]	0.0993	0.000473	0.0513	0.036	0.0894	0.195	11744.0	0.555	1.0
a2[37]	0.0984	0.000323	0.0355	0.0483	0.094	0.163	12035.0	0.569	1.0
a2[38]	0.0379	0.000168	0.0178	0.0141	0.0352	0.07	11278.0	0.533	1.0
a2[39]	0.096	0.000896	0.0778	0.0206	0.0728	0.25	7543.0	0.357	1.0
a2[40]	0.119	0.000693	0.0632	0.0432	0.107	0.237	8313.0	0.393	1.0
a2[41]	0.0833	0.000336	0.0336	0.0397	0.0781	0.147	10027.0	0.474	1.0
a2[42]	0.816	0.000745	0.0894	0.657	0.824	0.95	14391.0	0.68	1.0
a2[43]	0.0354	0.00053	0.0404	0.00715	0.0232	0.104	5804.0	0.274	1.0
a2[44]	0.209	0.000679	0.0691	0.11	0.202	0.336	10352.0	0.489	1.0
a2[45]	0.422	0.00805	0.305	0.0032	0.45	0.89	1438.0	0.068	1.0
a2[46]	0.00322	7.53e-05	0.0066	0.000154	0.00171	0.0102	7676.0	0.363	1.0
a2[47]	0.00787	0.000195	0.0154	0.000586	0.00425	0.0248	6219.0	0.294	1.0
a2[48]	0.365	0.00115	0.116	0.184	0.358	0.567	10248.0	0.484	1.0
a2[49]	0.238	0.0014	0.118	0.0744	0.223	0.458	7129.0	0.337	1.0
a2[50]	0.0277	0.000454	0.0395	0.00283	0.0148	0.096	7564.0	0.358	1.0
a2[51]	0.241	0.000643	0.0723	0.131	0.237	0.37	12645.0	0.598	1.0
a2[52]	0.339	0.00482	0.273	0.00314	0.288	0.843	3196.0	0.151	1.0
a2[53]	0.286	0.0025	0.193	0.0218	0.26	0.639	5968.0	0.282	1.0
a2[54]	0.163	0.000497	0.0532	0.0877	0.157	0.261	11487.0	0.543	1.0
a2[55]	0.0864	0.000447	0.0439	0.0327	0.0776	0.172	9641.0	0.456	1.0
a2[56]	0.00389	5.95e-05	0.0057	0.000343	0.00233	0.0121	9175.0	0.434	1.0
a2[57]	0.0374	0.000808	0.0574	0.00291	0.0173	0.145	5038.0	0.238	1.0
a2[58]	0.637	0.00161	0.188	0.302	0.654	0.916	13598.0	0.643	1.0
a2[59]	0.123	0.000435	0.0506	0.0481	0.117	0.214	13554.0	0.641	1.0
a2[60]	0.332	0.000725	0.0865	0.203	0.325	0.487	14216.0	0.672	1.0
a2[61]	0.0846	0.00123	0.0898	0.00534	0.0566	0.258	5338.0	0.252	1.0
a2[62]	0.294	0.00139	0.143	0.0951	0.275	0.559	10603.0	0.501	1.0
a2[63]	0.0292	0.000731	0.0529	0.00162	0.0117	0.12	5230.0	0.247	1.0
a2[64]	8.35e-05	1.81e-06	0.000177	4.38e-07	2.68e-05	0.00035	9567.0	0.452	1.0
a2[65]	0.58	0.000884	0.114	0.388	0.583	0.765	16574.0	0.783	1.0
a2[66]	0.185	0.000888	0.0833	0.0741	0.172	0.338	8796.0	0.416	1.0
a2[67]	0.695	0.001	0.136	0.46	0.703	0.904	18244.0	0.862	1.0
a2[68]	0.116	0.000356	0.0376	0.0633	0.111	0.185	11161.0	0.528	1.0
a2[69]	0.166	0.000868	0.0696	0.0743	0.155	0.299	6437.0	0.304	1.0
a2[70]	0.212	0.000687	0.0832	0.0879	0.205	0.36	14698.0	0.695	1.0
a2[71]	0.286	0.00192	0.188	0.0477	0.249	0.649	9656.0	0.456	1.0
a2[72]	0.17	0.00041	0.0437	0.104	0.168	0.247	11319.0	0.535	1.0
a2[73]	0.0994	0.000275	0.0306	0.0554	0.0961	0.155	12430.0	0.588	1.0
a2[74]	0.387	0.00144	0.159	0.141	0.38	0.665	12143.0	0.574	1.0
a2[75]	0.421	0.0012	0.148	0.203	0.405	0.688	15216.0	0.719	1.0
a2[76]	0.278	0.000773	0.0963	0.132	0.272	0.447	15528.0	0.734	1.0
a2[77]	0.391	0.00209	0.186	0.109	0.378	0.726	7950.0	0.376	1.0
a2[78]	0.291	0.00585	0.303	0.00286	0.168	0.854	2688.0	0.127	1.0
a2[79]	0.104	0.00139	0.0987	0.0098	0.074	0.295	5030.0	0.238	1.0
a2[80]	0.316	0.00111	0.124	0.136	0.302	0.537	12410.0	0.587	1.0
a2[81]	0.0922	0.000768	0.0619	0.0283	0.0757	0.211	6507.0	0.308	1.0
a2[82]	0.0563	0.000343	0.0356	0.0149	0.0482	0.124	10752.0	0.508	1.0
a2[83]	0.00611	5.86e-05	0.00586	0.000967	0.0045	0.0165	10024.0	0.474	1.0
a2[84]	0.00104	1.58e-05	0.00157	2.77e-05	0.000559	0.00359	9855.0	0.466	1.0
a2[85]	0.0301	0.00024	0.021	0.00941	0.0248	0.0692	7660.0	0.362	1.0
a2[86]	0.701	0.00113	0.149	0.434	0.714	0.922	17426.0	0.824	1.0
a2[87]	0.0613	0.000656	0.0503	0.0145	0.0465	0.16	5879.0	0.278	1.0
a2[88]	0.0718	0.000426	0.0453	0.0206	0.0613	0.159	11306.0	0.534	1.0
a2[89]	0.224	0.00127	0.131	0.0551	0.199	0.475	10725.0	0.507	1.0
a2[90]	0.069	0.000863	0.0772	0.00652	0.0425	0.225	8005.0	0.378	1.0
a2[91]	0.118	0.00036	0.0362	0.0673	0.113	0.184	10142.0	0.479	1.0
a2[92]	0.176	0.0011	0.0958	0.0529	0.158	0.357	7642.0	0.361	1.0
a2[93]	0.519	0.00127	0.168	0.253	0.512	0.815	17563.0	0.83	1.0
a2[94]	0.0621	0.00289	0.149	8.2e-06	0.00188	0.403	2672.0	0.126	1.0
a2[95]	0.13	0.000771	0.0661	0.044	0.118	0.257	7362.0	0.348	1.0
a2[96]	0.261	0.00336	0.175	0.0486	0.226	0.596	2717.0	0.128	1.0
a2[97]	0.278	0.000889	0.0958	0.144	0.266	0.452	11597.0	0.548	1.0
a3[1]	0.297	0.00248	0.174	0.0398	0.279	0.615	4948.0	0.234	1.0
a3[2]	0.653	0.00579	0.226	0.102	0.705	0.924	1532.0	0.0724	1.0
a3[3]	0.449	0.0011	0.119	0.256	0.448	0.647	11694.0	0.553	1.0
a3[4]	0.477	0.00121	0.129	0.278	0.471	0.703	11312.0	0.535	1.0
a3[5]	0.0264	0.000772	0.0451	0.00238	0.0117	0.103	3410.0	0.161	1.0
a3[6]	0.424	0.00216	0.154	0.148	0.434	0.666	5105.0	0.241	1.0
a3[7]	0.194	0.00136	0.0965	0.0687	0.179	0.373	5046.0	0.239	1.0
a3[8]	0.192	0.000808	0.0691	0.0907	0.185	0.317	7316.0	0.346	1.0
a3[9]	0.191	0.000671	0.0632	0.0997	0.185	0.303	8865.0	0.419	1.0
a3[10]	0.102	0.000621	0.0466	0.0469	0.0915	0.193	5622.0	0.266	1.0
a3[11]	0.197	0.000576	0.0546	0.116	0.192	0.294	8980.0	0.424	1.0
a3[12]	0.544	0.000757	0.0881	0.403	0.542	0.693	13550.0	0.64	1.0
a3[13]	0.14	0.000368	0.0378	0.0864	0.136	0.209	10518.0	0.497	1.0
a3[14]	0.337	0.00107	0.105	0.169	0.334	0.516	9624.0	0.455	1.0
a3[15]	0.367	0.0084	0.267	0.000884	0.353	0.822	1014.0	0.0479	1.0
a3[16]	0.223	0.000407	0.0444	0.154	0.22	0.299	11864.0	0.561	1.0
a3[17]	0.531	0.00596	0.242	0.0424	0.567	0.876	1646.0	0.0778	1.0
a3[18]	0.274	0.000543	0.058	0.185	0.27	0.375	11421.0	0.54	1.0
