name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
b2[58]	-0.206	0.00144	0.187	-0.514	-0.206	0.104	16791.0	0.628	1.0
b2[59]	0.812	0.00291	0.298	0.339	0.804	1.31	10513.0	0.393	1.0
b2[60]	-0.0891	0.00221	0.258	-0.511	-0.0903	0.33	13649.0	0.511	1.0
b2[61]	-0.587	0.00139	0.189	-0.896	-0.585	-0.279	18394.0	0.688	1.0
b2[62]	0.253	0.0017	0.222	-0.104	0.249	0.62	17041.0	0.638	1.0
b2[63]	0.472	0.00146	0.184	0.172	0.469	0.772	15715.0	0.588	1.0
b2[64]	-0.289	0.00134	0.173	-0.576	-0.284	-0.00959	16738.0	0.626	1.0
b2[65]	0.872	0.00199	0.234	0.497	0.872	1.26	13833.0	0.518	1.0
b2[66]	0.768	0.00187	0.232	0.392	0.765	1.16	15449.0	0.578	1.0
b2[67]	0.635	0.00192	0.217	0.281	0.634	0.991	12714.0	0.476	1.0
b2[68]	0.168	0.00229	0.275	-0.289	0.167	0.619	14430.0	0.54	1.0
b2[69]	0.506	0.00191	0.231	0.131	0.505	0.895	14566.0	0.545	1.0
b2[70]	0.494	0.00231	0.265	0.064	0.492	0.931	13225.0	0.495	1.0
b2[71]	0.828	0.00188	0.219	0.474	0.825	1.19	13586.0	0.508	1.0
b2[72]	-1.01	0.00309	0.315	-1.54	-1.01	-0.5	10356.0	0.387	1.0
b2[73]	0.0129	0.00201	0.25	-0.401	0.00882	0.427	15527.0	0.581	1.0
b2[74]	0.101	0.00168	0.206	-0.237	0.099	0.441	15065.0	0.564	1.0
b2[75]	-0.31	0.00181	0.213	-0.665	-0.308	0.0334	13870.0	0.519	1.0
b2[76]	0.153	0.0024	0.27	-0.291	0.154	0.603	12683.0	0.475	1.0
b2[77]	0.731	0.00155	0.202	0.4	0.729	1.06	16880.0	0.632	1.0
b2[78]	0.0519	0.0016	0.185	-0.251	0.052	0.356	13305.0	0.498	1.0
b2[79]	0.522	0.00152	0.191	0.211	0.522	0.836	15751.0	0.589	1.0
b2[80]	-0.265	0.00179	0.227	-0.636	-0.265	0.101	16058.0	0.601	1.0
b2[81]	0.181	0.00173	0.21	-0.159	0.179	0.525	14719.0	0.551	1.0
b2[82]	-0.646	0.00173	0.213	-1.0	-0.643	-0.297	15198.0	0.569	1.0
b2[83]	-0.275	0.00139	0.18	-0.571	-0.274	0.0243	16757.0	0.627	1.0
b2[84]	-0.5	0.00147	0.181	-0.797	-0.5	-0.202	15104.0	0.565	1.0
b2[85]	0.333	0.00169	0.207	-0.00546	0.333	0.674	15075.0	0.564	1.0
b2[86]	-0.362	0.00171	0.217	-0.722	-0.36	-0.00527	16115.0	0.603	1.0
b2[87]	0.0308	0.00147	0.196	-0.29	0.0313	0.354	17793.0	0.666	1.0
b2[88]	0.217	0.00173	0.218	-0.138	0.215	0.58	15804.0	0.591	1.0
b2[89]	-0.111	0.00157	0.203	-0.445	-0.111	0.225	16802.0	0.629	1.0
b2[90]	0.286	0.0014	0.184	-0.0166	0.285	0.59	17333.0	0.649	1.0
b2[91]	0.376	0.00212	0.264	-0.0574	0.376	0.81	15578.0	0.583	1.0
b2[92]	0.0326	0.00162	0.219	-0.328	0.0323	0.396	18387.0	0.688	1.0
b2[93]	0.00819	0.00157	0.203	-0.322	0.00634	0.34	16730.0	0.626	1.0
b2[94]	0.263	0.00131	0.179	-0.0317	0.262	0.558	18465.0	0.691	1.0
b2[95]	0.437	0.00172	0.214	0.0882	0.433	0.791	15443.0	0.578	1.0
b2[96]	0.771	0.00158	0.207	0.439	0.767	1.11	17276.0	0.646	1.0
b2[97]	-0.621	0.00217	0.262	-1.05	-0.619	-0.19	14597.0	0.546	1.0
a1[1]	0.364	0.00801	0.246	0.0191	0.386	0.758	946.0	0.0354	1.01
a1[2]	0.679	0.0127	0.189	0.339	0.713	0.917	222.0	0.00829	1.01
a1[3]	0.41	0.00166	0.122	0.209	0.408	0.612	5389.0	0.202	1.0
a1[4]	0.576	0.00135	0.124	0.373	0.575	0.784	8428.0	0.315	1.0
a1[5]	0.327	0.0164	0.292	0.00311	0.323	0.805	317.0	0.0119	1.01
a1[6]	0.46	0.00176	0.127	0.242	0.464	0.659	5181.0	0.194	1.0
a1[7]	0.17	0.00121	0.087	0.0605	0.154	0.334	5160.0	0.193	1.0
a1[8]	0.186	0.00201	0.117	0.0463	0.163	0.408	3386.0	0.127	1.0
a1[9]	0.197	0.000786	0.0668	0.101	0.189	0.317	7227.0	0.27	1.0
a1[10]	0.092	0.000591	0.0428	0.0449	0.0818	0.176	5247.0	0.196	1.0
a1[11]	0.164	0.00059	0.0521	0.0912	0.157	0.262	7801.0	0.292	1.0
a1[12]	0.535	0.000695	0.0812	0.406	0.532	0.674	13673.0	0.512	1.0
a1[13]	0.126	0.000413	0.0357	0.0766	0.122	0.192	7475.0	0.28	1.0
a1[14]	0.298	0.00158	0.115	0.103	0.298	0.489	5338.0	0.2	1.0
a1[15]	0.434	0.078	0.266	0.00122	0.473	0.822	11.6	0.000435	1.15
a1[16]	0.194	0.00051	0.0465	0.125	0.191	0.277	8317.0	0.311	1.0
a1[17]	0.518	0.00612	0.241	0.0273	0.556	0.855	1554.0	0.0581	1.0
a1[18]	0.264	0.000562	0.06	0.171	0.261	0.367	11380.0	0.426	1.0
a1[19]	0.0719	0.00139	0.0749	0.0223	0.046	0.222	2898.0	0.108	1.0
a1[20]	0.438	0.00756	0.24	0.0276	0.481	0.784	1011.0	0.0378	1.0
a1[21]	0.365	0.00236	0.158	0.0983	0.369	0.625	4438.0	0.166	1.0
a1[22]	0.186	0.00138	0.0926	0.0717	0.167	0.366	4521.0	0.169	1.0
a1[23]	0.143	0.000557	0.0498	0.0811	0.134	0.237	8002.0	0.299	1.0
a1[24]	0.683	0.00283	0.132	0.449	0.693	0.879	2162.0	0.0809	1.0
a1[25]	0.525	0.00289	0.169	0.221	0.534	0.786	3388.0	0.127	1.0
a1[26]	0.274	0.00239	0.15	0.0598	0.266	0.535	3953.0	0.148	1.0
a1[27]	0.0887	0.000464	0.0363	0.0454	0.0807	0.159	6141.0	0.23	1.0
a1[28]	0.249	0.002	0.131	0.067	0.235	0.484	4279.0	0.16	1.0
a1[29]	0.203	0.000674	0.0613	0.118	0.195	0.315	8290.0	0.31	1.0
a1[30]	0.365	0.0113	0.259	0.00463	0.394	0.766	526.0	0.0197	1.01
a1[31]	0.376	0.017	0.312	0.00808	0.412	0.847	337.0	0.0126	1.01
a1[32]	0.645	0.00981	0.17	0.358	0.662	0.885	300.0	0.0112	1.02
a1[33]	0.498	0.00287	0.174	0.201	0.503	0.775	3655.0	0.137	1.0
a1[34]	0.24	0.000748	0.0722	0.134	0.234	0.369	9319.0	0.349	1.0
a1[35]	0.231	0.00109	0.0881	0.11	0.219	0.395	6561.0	0.245	1.0
a1[36]	0.18	0.00133	0.0916	0.0574	0.169	0.348	4729.0	0.177	1.0
a1[37]	0.177	0.000474	0.047	0.109	0.172	0.261	9806.0	0.367	1.0
a1[38]	0.304	0.000857	0.0879	0.17	0.297	0.462	10523.0	0.394	1.0
a1[39]	0.245	0.00126	0.101	0.108	0.231	0.432	6438.0	0.241	1.0
a1[40]	0.228	0.00171	0.113	0.0836	0.206	0.442	4415.0	0.165	1.0
a1[41]	0.179	0.000549	0.0504	0.106	0.173	0.269	8450.0	0.316	1.0
a1[42]	0.792	0.000982	0.0686	0.672	0.796	0.897	4871.0	0.182	1.0
a1[43]	0.154	0.00237	0.123	0.0338	0.109	0.408	2696.0	0.101	1.0
a1[44]	0.24	0.00064	0.0686	0.141	0.232	0.364	11468.0	0.429	1.0
a1[45]	0.597	0.00436	0.177	0.287	0.613	0.86	1643.0	0.0615	1.0
a1[46]	0.195	0.00742	0.199	0.012	0.109	0.578	718.0	0.0269	1.0
a1[47]	0.294	0.00628	0.244	0.0171	0.266	0.714	1508.0	0.0564	1.01
a1[48]	0.345	0.00127	0.106	0.172	0.344	0.521	6996.0	0.262	1.0
a1[49]	0.27	0.00218	0.13	0.0635	0.268	0.489	3545.0	0.133	1.0
a1[50]	0.209	0.00177	0.127	0.0564	0.181	0.454	5162.0	0.193	1.0
a1[51]	0.415	0.000595	0.0752	0.294	0.415	0.541	15988.0	0.598	1.0
a1[52]	0.445	0.0101	0.269	0.00796	0.486	0.833	715.0	0.0267	1.0
a1[53]	0.39	0.00385	0.177	0.0528	0.403	0.664	2107.0	0.0788	1.0
a1[54]	0.209	0.000502	0.0486	0.139	0.204	0.297	9379.0	0.351	1.0
