	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu	8.736	0.023	0.779	7.266	8.7	10.244	1171.658	0.309	1.005
b2_mu	7.398	0.017	0.641	6.139	7.373	8.685	1504.455	0.396	1.004
b3_mu	0.758	0.002	0.073	0.606	0.759	0.894	1568.797	0.413	1.001
b4_mu	0.099	0.001	0.055	-0.018	0.1	0.2	1887.691	0.497	1.001
a1_mu	0.204	0.001	0.026	0.154	0.203	0.255	944.429	0.249	1.003
sigma[1]	0.499	0.00146	0.0623	0.381	0.496	0.626	1825.0	0.481	1.0
sigma[2]	0.438	0.00116	0.0513	0.342	0.435	0.543	1959.0	0.516	1.0
sigma[3]	0.132	0.000261	0.0118	0.11	0.131	0.155	2034.0	0.536	1.0
sigma[4]	0.0978	0.000198	0.00905	0.0803	0.0974	0.116	2090.0	0.55	1.0
sigma[5]	0.663	0.00181	0.0696	0.535	0.66	0.803	1481.0	0.39	1.0
b1[1]	6.5	0.059	3.46	1.35	5.99	13.9	3442.0	0.906	1.0
b1[2]	5.99	0.0922	4.35	0.445	5.38	15.1	2224.0	0.586	1.0
b1[3]	5.27	0.03	1.66	2.85	4.98	9.19	3069.0	0.808	1.0
b1[4]	7.99	0.0294	2.11	4.52	7.72	12.6	5135.0	1.35	1.0
b1[5]	7.01	0.0645	4.44	-0.17	6.61	16.0	4749.0	1.25	1.0
b1[6]	6.15	0.0405	2.03	3.53	5.67	11.5	2529.0	0.666	1.0
b1[7]	10.9	0.0462	3.18	5.5	10.6	17.6	4727.0	1.24	1.0
b1[8]	9.67	0.0448	2.96	5.06	9.23	16.2	4363.0	1.15	1.0
b1[9]	12.1	0.0388	2.97	7.02	11.7	18.4	5867.0	1.55	1.0
b1[10]	9.66	0.0404	2.84	4.8	9.35	15.8	4951.0	1.3	1.0
b1[11]	17.0	0.0392	3.23	11.1	16.8	23.8	6813.0	1.79	1.0
b1[12]	5.04	0.0118	0.946	3.3	4.96	6.97	6433.0	1.69	0.999
b1[13]	14.6	0.0374	3.06	9.2	14.4	20.9	6675.0	1.76	1.0
b1[14]	5.26	0.0344	1.98	2.53	4.85	9.99	3308.0	0.871	1.0
b1[15]	0.316	0.113	4.31	-6.18	-0.894	11.5	1462.0	0.385	1.0
b1[16]	19.4	0.0485	3.82	12.6	19.1	27.2	6198.0	1.63	1.0
b1[17]	8.17	0.0835	4.36	1.7	7.69	17.3	2723.0	0.717	1.0
b1[18]	10.8	0.0248	2.15	6.89	10.7	15.3	7506.0	1.98	1.0
b1[19]	9.42	0.053	3.4	3.82	9.07	16.6	4113.0	1.08	1.0
b1[20]	8.61	0.0818	4.32	2.21	8.15	17.9	2786.0	0.734	1.0
b1[21]	6.08	0.041	2.4	2.72	5.59	11.5	3432.0	0.904	1.0
b1[22]	10.7	0.0478	3.17	5.49	10.4	17.4	4398.0	1.16	1.0
b1[23]	13.6	0.0453	3.28	7.86	13.3	20.5	5255.0	1.38	1.0
b1[24]	3.05	0.0593	1.35	1.69	2.78	6.44	515.0	0.136	1.0
b1[25]	5.41	0.0705	2.79	2.52	4.46	12.6	1563.0	0.412	1.0
b1[26]	6.45	0.0433	2.46	2.85	5.99	12.0	3222.0	0.849	1.0
b1[27]	9.84	0.041	2.69	5.17	9.56	15.6	4298.0	1.13	1.0
b1[28]	9.82	0.0542	3.04	5.03	9.35	16.5	3155.0	0.831	1.0
b1[29]	14.7	0.0413	3.23	8.83	14.5	21.5	6108.0	1.61	1.0
b1[30]	6.76	0.0636	4.46	-0.498	6.4	15.8	4924.0	1.3	1.0
b1[31]	6.15	0.0552	3.81	0.0943	5.73	14.4	4763.0	1.25	1.0
b1[32]	3.8	0.0806	2.6	1.56	2.95	11.3	1041.0	0.274	1.0
b1[33]	4.44	0.0501	2.35	1.7	3.68	10.1	2200.0	0.579	1.0
b1[34]	13.2	0.0391	2.91	8.21	12.9	19.3	5511.0	1.45	1.0
b1[35]	10.6	0.0375	2.7	6.1	10.3	16.4	5192.0	1.37	1.0
b1[36]	9.17	0.0422	2.66	4.9	8.78	15.2	3980.0	1.05	1.0
b1[37]	16.6	0.0435	3.34	10.5	16.3	23.6	5915.0	1.56	1.0
b1[38]	14.9	0.0418	3.25	9.19	14.6	21.8	6063.0	1.6	1.0
b1[39]	7.55	0.0286	1.98	4.29	7.31	11.9	4790.0	1.26	1.0
b1[40]	9.77	0.0432	2.79	5.18	9.44	15.8	4177.0	1.1	1.0
b1[41]	13.4	0.038	2.89	8.16	13.2	19.2	5758.0	1.52	1.0
b1[42]	5.76	0.0123	1.07	3.81	5.67	8.0	7579.0	2.0	0.999
b1[43]	14.4	0.0544	3.84	7.64	14.1	22.2	4977.0	1.31	1.0
b1[44]	16.0	0.0469	3.57	9.27	15.7	23.4	5800.0	1.53	1.0
b1[45]	9.08	0.0834	4.58	1.74	8.74	18.5	3011.0	0.793	1.0
b1[46]	10.3	0.0655	4.22	2.88	10.0	18.9	4139.0	1.09	1.0
b1[47]	7.9	0.0695	3.93	1.9	7.47	16.1	3201.0	0.843	1.0
b1[48]	6.46	0.0282	1.71	3.8	6.21	10.4	3684.0	0.97	1.0
b1[49]	5.12	0.0322	2.01	2.21	4.76	9.88	3891.0	1.02	1.0
b1[50]	9.95	0.0512	3.29	4.85	9.45	17.2	4124.0	1.09	1.0
b1[51]	8.69	0.0188	1.58	5.83	8.57	12.0	7091.0	1.87	1.0
b1[52]	5.84	0.0696	4.31	-0.787	5.34	15.1	3837.0	1.01	1.0
b1[53]	5.64	0.062	3.25	1.58	4.76	13.2	2748.0	0.724	1.0
b1[54]	12.4	0.0322	2.63	7.75	12.2	18.0	6685.0	1.76	1.0
b1[55]	8.25	0.0293	2.03	4.82	8.03	12.7	4803.0	1.26	1.0
b1[56]	5.96	0.0534	3.73	0.0387	5.49	13.9	4891.0	1.29	1.0
