	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu[1]	10.5	0.041	1.18	8.29	10.4	12.9	832.0	0.0936	1.01
b1_mu[2]	9.64	0.0347	1.07	7.71	9.56	11.9	956.0	0.108	1.01
b2_mu[1]	11.5	0.0645	1.72	8.42	11.3	15.1	715.0	0.0805	1.01
b2_mu[2]	13.9	0.057	1.82	10.5	13.8	17.7	1025.0	0.115	1.0
b3_mu[1]	0.994	0.00439	0.133	0.729	0.99	1.26	921.0	0.104	1.0
b3_mu[2]	1.15	0.00416	0.137	0.872	1.15	1.41	1079.0	0.122	1.0
b4_mu[1]	0.0623	0.00244	0.0891	-0.126	0.062	0.234	1330.0	0.15	1.0
b4_mu[2]	0.148	0.00235	0.0891	-0.0351	0.148	0.316	1437.0	0.162	1.0
a1_mu[1]	0.268	0.001	0.0336	0.199	0.268	0.331	1127.0	0.127	1.0
a1_mu[2]	0.321	0.00104	0.0368	0.247	0.321	0.394	1252.0	0.141	1.0
a2_mu[1]	0.207	0.00185	0.0404	0.131	0.206	0.288	476.0	0.0536	1.01
a2_mu[2]	0.18	0.00108	0.0316	0.121	0.179	0.243	854.0	0.0962	1.01
c1_mu[1]	0.0444	0.000548	0.0175	0.0146	0.0427	0.0804	1014.0	0.114	1.0
c1_mu[2]	0.0404	0.000504	0.0164	0.0128	0.0385	0.076	1060.0	0.119	1.0
sigma[1,1]	0.597	0.00304	0.0901	0.434	0.591	0.781	877.0	0.0988	1.01
sigma[2,1]	0.59	0.00372	0.105	0.391	0.583	0.801	794.0	0.0894	1.0
sigma[3,1]	0.19	0.0006	0.0207	0.152	0.189	0.231	1187.0	0.134	1.0
sigma[4,1]	0.13	0.000372	0.0141	0.103	0.129	0.158	1436.0	0.162	1.0
sigma[5,1]	0.474	0.00637	0.112	0.257	0.47	0.689	308.0	0.0347	1.02
sigma[6,1]	0.748	0.00406	0.0953	0.569	0.744	0.948	551.0	0.062	1.01
sigma[7,1]	2.01	0.00827	0.287	1.52	1.99	2.63	1207.0	0.136	1.0
sigma[1,2]	0.125	0.00231	0.0461	0.0235	0.126	0.211	398.0	0.0448	1.01
sigma[2,2]	0.345	0.00557	0.103	0.148	0.34	0.55	340.0	0.0383	1.01
sigma[3,2]	0.0888	0.000308	0.0129	0.0641	0.0883	0.115	1751.0	0.197	1.0
sigma[4,2]	0.0556	0.000234	0.01	0.0359	0.0552	0.0748	1845.0	0.208	1.0
sigma[5,2]	0.189	0.0032	0.0622	0.0419	0.193	0.298	378.0	0.0426	1.0
sigma[6,2]	0.149	0.00397	0.0736	0.0102	0.151	0.284	343.0	0.0386	1.0
sigma[7,2]	0.593	0.00553	0.156	0.277	0.591	0.896	792.0	0.0892	1.0
