	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1_mu	8.39	0.02	0.86	6.73	8.36	10.07	1524.23	0.42	1.0
a1_mu	0.2	0.0	0.03	0.14	0.2	0.25	1371.17	0.38	1.0
sigma[1]	0.581	0.00161	0.0705	0.454	0.575	0.725	1909.0	0.529	1.0
sigma[2]	0.7	0.00211	0.0839	0.54	0.695	0.871	1578.0	0.437	1.0
b1[1]	5.57	0.0611	4.09	1.2	4.37	15.6	4487.0	1.24	1.0
b1[2]	2.57	0.0723	3.14	0.587	1.32	11.6	1888.0	0.523	1.0
b1[3]	4.37	0.0272	1.41	2.54	4.06	7.68	2708.0	0.75	1.0
b1[4]	4.2	0.0314	1.61	2.34	3.82	8.09	2637.0	0.731	1.0
b1[5]	4.65	0.0659	4.55	-0.379	3.19	15.5	4750.0	1.32	1.0
b1[6]	4.92	0.047	2.06	2.79	4.38	10.4	1921.0	0.532	1.0
b1[7]	8.17	0.0452	3.1	4.02	7.45	15.7	4711.0	1.31	1.0
b1[8]	8.13	0.0446	3.6	3.17	7.39	16.6	6516.0	1.81	1.0
b1[9]	11.3	0.0391	3.12	6.39	10.8	18.4	6387.0	1.77	1.0
b1[10]	12.6	0.0495	4.13	5.86	12.0	21.9	6968.0	1.93	1.0
b1[11]	13.3	0.0439	3.71	7.23	12.7	21.4	7132.0	1.98	1.0
b1[12]	5.78	0.0114	0.922	4.07	5.72	7.66	6588.0	1.83	0.999
b1[13]	16.1	0.0432	3.76	9.72	15.7	24.0	7570.0	2.1	1.0
b1[14]	7.47	0.0556	3.61	2.8	6.6	16.0	4223.0	1.17	0.999
b1[15]	0.714	0.083	3.79	-4.85	-0.187	11.0	2089.0	0.579	1.0
b1[16]	15.9	0.0384	3.41	9.88	15.5	23.1	7905.0	2.19	1.0
b1[17]	4.44	0.0693	4.03	0.935	2.74	14.8	3375.0	0.935	1.0
b1[18]	13.9	0.0321	2.77	8.99	13.6	19.6	7430.0	2.06	1.0
b1[19]	8.59	0.0546	4.19	2.61	7.87	17.9	5885.0	1.63	1.0
b1[20]	6.59	0.0598	4.37	1.2	5.64	16.4	5331.0	1.48	1.0
b1[21]	7.58	0.0536	3.82	2.79	6.66	16.8	5072.0	1.41	1.0
b1[22]	11.0	0.0458	4.02	4.82	10.5	19.9	7706.0	2.14	1.0
b1[23]	15.3	0.0461	3.97	8.36	14.9	23.6	7396.0	2.05	1.0
b1[24]	2.52	0.0556	2.08	1.19	1.92	8.28	1404.0	0.389	1.0
b1[25]	6.4	0.0554	3.96	1.78	5.26	15.7	5108.0	1.42	0.999
b1[26]	6.33	0.0496	3.23	2.75	5.39	14.5	4255.0	1.18	1.0
b1[27]	12.6	0.0454	3.77	6.57	12.0	21.0	6922.0	1.92	1.0
b1[28]	8.84	0.0503	3.71	3.82	8.07	17.6	5422.0	1.5	1.0
b1[29]	14.5	0.0402	3.56	8.6	14.0	22.3	7842.0	2.17	0.999
b1[30]	3.52	0.0697	4.06	-0.421	1.78	13.7	3389.0	0.939	1.0
b1[31]	5.6	0.0636	4.46	0.491	4.43	15.6	4911.0	1.36	1.0
b1[32]	2.21	0.0387	1.43	1.15	1.91	4.93	1373.0	0.38	1.0
b1[33]	4.33	0.0604	3.08	1.54	3.22	12.7	2593.0	0.719	1.0
b1[34]	13.5	0.043	3.32	8.25	13.1	20.8	5954.0	1.65	1.0
b1[35]	12.4	0.0462	3.72	6.44	11.9	20.8	6492.0	1.8	1.0
b1[36]	10.1	0.0428	3.54	4.75	9.52	18.2	6848.0	1.9	1.0
b1[37]	15.4	0.04	3.47	9.55	15.0	22.8	7522.0	2.08	1.0
b1[38]	9.92	0.0335	2.73	5.65	9.5	16.1	6646.0	1.84	1.0
b1[39]	6.5	0.0356	2.28	3.44	5.99	12.0	4092.0	1.13	1.0
b1[40]	9.65	0.045	3.58	4.46	8.99	17.7	6340.0	1.76	0.999
b1[41]	15.1	0.045	3.62	9.14	14.7	23.0	6462.0	1.79	1.0
b1[42]	7.04	0.0144	1.02	5.19	6.98	9.18	5000.0	1.39	1.0
b1[43]	9.08	0.0498	4.23	2.93	8.39	18.8	7209.0	2.0	1.0
b1[44]	14.5	0.0437	3.49	8.7	14.1	21.9	6372.0	1.77	1.0
b1[45]	3.36	0.0695	3.0	1.05	2.21	12.2	1862.0	0.516	1.0
b1[46]	6.54	0.0575	4.39	1.01	5.63	16.4	5823.0	1.61	1.0
b1[47]	7.77	0.055	4.48	1.55	7.0	17.7	6641.0	1.84	1.0
b1[48]	6.29	0.0287	1.78	3.83	5.94	10.5	3852.0	1.07	1.0
b1[49]	6.61	0.0499	3.22	2.75	5.7	14.6	4172.0	1.16	1.0
b1[50]	9.6	0.0515	4.09	3.36	8.96	18.5	6331.0	1.75	1.0
b1[51]	8.19	0.0202	1.43	5.67	8.04	11.3	4958.0	1.37	1.0
b1[52]	4.15	0.0716	4.29	-0.221	2.6	14.6	3601.0	0.998	1.0
b1[53]	2.85	0.0612	2.69	0.921	1.88	10.6	1936.0	0.537	1.0
b1[54]	17.7	0.0428	3.75	11.2	17.4	25.6	7666.0	2.12	1.0
b1[55]	9.84	0.038	2.95	5.45	9.33	16.6	6001.0	1.66	1.0
b1[56]	5.94	0.0613	4.44	0.572	4.83	16.2	5243.0	1.45	1.0
b1[57]	7.06	0.0552	4.26	1.52	6.15	16.7	5944.0	1.65	1.0
b1[58]	2.0	0.0308	0.941	1.18	1.86	3.31	934.0	0.259	1.0
b1[59]	20.8	0.0493	3.85	14.0	20.6	28.7	6105.0	1.69	1.0
b1[60]	10.8	0.0269	2.29	7.06	10.6	15.7	7241.0	2.01	1.0
b1[61]	4.81	0.0656	3.85	1.1	3.33	14.6	3457.0	0.958	1.0
b1[62]	6.11	0.0361	2.05	3.47	5.65	11.0	3215.0	0.891	1.0
b1[63]	8.09	0.0536	4.51	1.6	7.33	17.7	7074.0	1.96	1.0
b1[64]	2.04	0.0752	4.03	-2.92	0.503	13.1	2875.0	0.797	1.0
b1[65]	4.14	0.00853	0.678	2.91	4.08	5.53	6312.0	1.75	0.999
b1[66]	12.0	0.0424	3.69	6.25	11.5	20.0	7539.0	2.09	1.0
b1[67]	2.56	0.00555	0.416	1.81	2.53	3.38	5607.0	1.55	1.0
b1[68]	19.1	0.0458	3.7	12.5	18.7	26.9	6501.0	1.8	1.0
b1[69]	13.4	0.0473	3.83	7.19	12.9	21.9	6566.0	1.82	1.0
b1[70]	12.0	0.0337	2.84	7.25	11.6	18.2	7123.0	1.97	1.0
b1[71]	8.08	0.0553	4.12	2.66	7.17	17.9	5543.0	1.54	1.0
b1[72]	22.2	0.0515	3.92	15.2	21.9	30.2	5782.0	1.6	1.0
b1[73]	18.3	0.0483	3.73	11.7	18.0	26.1	5969.0	1.65	1.0
b1[74]	3.29	0.00697	0.542	2.3	3.25	4.41	6044.0	1.67	0.999
b1[75]	3.73	0.0102	0.84	2.38	3.63	5.51	6736.0	1.87	1.0
b1[76]	11.6	0.0278	2.28	7.74	11.3	16.5	6714.0	1.86	1.0
b1[77]	3.53	0.0538	2.59	1.41	2.63	10.7	2312.0	0.641	1.0
b1[78]	1.97	0.0249	0.883	1.19	1.81	3.4	1258.0	0.349	1.0
b1[79]	5.51	0.0606	4.11	1.11	4.16	15.4	4591.0	1.27	1.0
b1[80]	7.62	0.0324	2.11	4.65	7.23	12.5	4222.0	1.17	1.0
b1[81]	8.57	0.0455	3.57	3.63	7.89	16.7	6143.0	1.7	1.0
b1[82]	6.37	0.0536	3.16	2.8	5.51	14.5	3468.0	0.961	0.999
b1[83]	4.6	0.0701	4.14	0.829	3.01	14.8	3483.0	0.965	1.0
b1[84]	4.52	0.0741	4.35	0.373	2.83	15.1	3447.0	0.955	1.0
b1[85]	11.4	0.0474	3.99	5.05	10.8	20.0	7099.0	1.97	1.0
b1[86]	3.03	0.00779	0.558	2.09	2.98	4.16	5125.0	1.42	1.0
b1[87]	9.9	0.0515	4.08	3.7	9.3	18.7	6283.0	1.74	1.0
b1[88]	11.5	0.0476	3.65	6.06	10.9	19.7	5855.0	1.62	1.0
b1[89]	3.92	0.0341	1.5	2.32	3.59	7.36	1943.0	0.539	1.0
b1[90]	6.68	0.0569	4.19	1.56	5.6	16.4	5419.0	1.5	1.0
b1[91]	18.0	0.0458	3.91	11.3	17.6	26.3	7276.0	2.02	1.0
b1[92]	8.81	0.0451	3.28	4.31	8.12	16.6	5280.0	1.46	1.0
b1[93]	3.22	0.00972	0.676	2.14	3.12	4.7	4840.0	1.34	1.0
b1[94]	2.94	0.0783	4.48	-2.24	1.11	14.1	3275.0	0.907	1.0
b1[95]	10.3	0.0437	3.73	4.76	9.62	18.6	7290.0	2.02	1.0
b1[96]	6.87	0.0573	3.9	2.16	5.87	16.3	4643.0	1.29	1.0
