name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
mu_pr[1]	2.24	0.353	0.542	1.15	2.42	2.86	2.36	0.000139	2.45
mu_pr[2]	0.107	0.000191	0.0102	0.0903	0.107	0.124	2882.0	0.17	1.0
mu_pr[3]	-1.36	0.179	0.268	-1.91	-1.25	-1.1	2.24	0.000132	2.92
mu_pr[4]	0.676	0.209	0.311	0.0235	0.813	0.954	2.22	0.000131	3.05
theta_pr[1,1]	0.135	0.136	0.474	-0.548	0.108	0.968	12.1	0.000714	1.09
theta_pr[1,2]	-0.903	0.276	0.745	-1.59	-1.21	0.556	7.3	0.000431	1.18
theta_pr[1,3]	0.579	0.0505	0.947	-1.01	0.536	2.17	352.0	0.0208	1.02
theta_pr[1,4]	0.581	0.0504	0.557	-0.281	0.546	1.56	122.0	0.00723	1.02
theta_pr[1,5]	-0.612	0.347	0.653	-1.23	-0.886	0.851	3.53	0.000209	1.49
theta_pr[1,6]	0.0359	0.161	0.392	-0.53	-0.00404	0.679	5.97	0.000353	1.21
theta_pr[1,7]	0.017	0.0704	0.739	-1.03	-0.00464	1.33	110.0	0.00652	1.02
theta_pr[1,8]	-0.631	0.487	0.749	-2.2	-0.358	0.146	2.36	0.00014	2.42
theta_pr[1,9]	-0.457	0.212	0.389	-0.995	-0.536	0.201	3.35	0.000198	1.53
theta_pr[1,10]	1.32	0.00815	0.597	0.383	1.29	2.34	5362.0	0.317	1.0
theta_pr[1,11]	0.773	0.0107	0.677	-0.288	0.718	1.98	4010.0	0.237	1.01
theta_pr[1,12]	-1.35	0.105	0.319	-1.97	-1.29	-0.972	9.3	0.000549	1.12
theta_pr[1,13]	0.788	0.00786	0.601	-0.137	0.742	1.85	5845.0	0.345	1.0
theta_pr[1,14]	-1.2	0.32	0.475	-1.71	-1.38	-0.313	2.2	0.00013	3.16
theta_pr[1,15]	-0.102	0.0823	0.997	-1.35	-0.147	1.71	147.0	0.00866	1.02
theta_pr[1,16]	-0.342	0.709	1.09	-2.43	-0.0194	0.996	2.36	0.00014	2.42
theta_pr[1,17]	0.714	0.126	0.556	-0.134	0.677	1.7	19.5	0.00115	1.06
theta_pr[1,18]	0.148	0.962	1.44	-2.58	0.642	1.81	2.25	0.000133	2.84
theta_pr[1,19]	-0.28	0.188	0.514	-0.97	-0.349	0.606	7.45	0.00044	1.16
theta_pr[1,20]	0.675	0.0583	0.595	-0.265	0.652	1.69	104.0	0.00616	1.02
theta_pr[1,21]	0.231	0.898	1.35	-2.31	0.684	1.82	2.27	0.000134	2.77
theta_pr[1,22]	1.11	0.00855	0.57	0.224	1.08	2.09	4442.0	0.262	1.01
theta_pr[1,23]	-1.1	0.312	0.466	-1.61	-1.28	-0.233	2.22	0.000131	3.03
theta_pr[1,24]	-0.148	0.19	0.346	-0.639	-0.207	0.448	3.32	0.000196	1.53
theta_pr[1,25]	-0.286	0.161	0.745	-1.25	-0.36	1.13	21.3	0.00126	1.06
theta_pr[1,26]	1.17	0.0408	0.545	0.326	1.13	2.13	178.0	0.0105	1.01
theta_pr[1,27]	-0.871	0.197	0.989	-1.73	-1.34	1.44	25.2	0.00149	1.09
theta_pr[1,28]	0.804	0.0261	0.523	0.00561	0.765	1.74	404.0	0.0238	1.01
theta_pr[1,29]	0.111	0.724	1.14	-2.02	0.395	1.59	2.46	0.000145	2.19
theta_pr[1,30]	-0.652	0.526	0.847	-2.3	-0.458	0.477	2.59	0.000153	2.0
theta_pr[1,31]	-0.817	0.247	0.829	-1.6	-1.19	0.96	11.3	0.000666	1.12
theta_pr[1,32]	0.726	0.018	0.579	-0.176	0.689	1.75	1038.0	0.0613	1.01
theta_pr[1,33]	-0.944	0.282	0.42	-1.4	-1.1	-0.158	2.22	0.000131	3.06
theta_pr[1,34]	0.105	0.15	0.406	-0.516	0.0941	0.78	7.27	0.000429	1.16
theta_pr[1,35]	1.04	0.0772	0.572	0.159	1.01	2.01	54.8	0.00324	1.03
theta_pr[1,36]	0.127	0.161	0.43	-0.519	0.108	0.851	7.14	0.000421	1.17
theta_pr[1,37]	-0.663	0.351	0.997	-1.58	-1.18	1.42	8.06	0.000476	1.17
theta_pr[1,38]	-0.731	0.281	0.786	-1.47	-1.1	0.913	7.84	0.000463	1.16
theta_pr[1,39]	-0.203	0.0454	1.1	-1.47	-0.292	1.83	589.0	0.0348	1.02
theta_pr[1,40]	-0.165	0.283	0.942	-1.14	-0.59	1.73	11.1	0.000653	1.12
theta_pr[1,41]	0.746	0.176	0.923	-0.846	0.714	2.25	27.6	0.00163	1.05
theta_pr[1,42]	0.134	0.897	1.36	-2.42	0.561	1.77	2.31	0.000136	2.6
theta_pr[1,43]	-0.266	0.204	0.588	-1.0	-0.394	0.801	8.32	0.000491	1.15
theta_pr[1,44]	-0.356	0.068	1.18	-1.58	-0.721	1.94	299.0	0.0177	1.04
theta_pr[1,45]	0.804	0.00796	0.602	-0.127	0.76	1.87	5711.0	0.337	1.0
theta_pr[1,46]	0.769	0.0529	0.558	0.0793	0.785	1.56	111.0	0.00657	1.03
theta_pr[1,47]	-0.467	0.42	0.752	-1.85	-0.402	0.703	3.2	0.000189	1.57
theta_pr[1,48]	0.682	0.0114	0.708	-0.403	0.609	1.93	3851.0	0.227	1.0
theta_pr[1,49]	0.493	0.79	1.24	-1.76	0.83	2.13	2.48	0.000147	2.16
