subject	session	block	trial	exposure	valence	action	robot	correct	choice	rt	accuracy	sham	outcome	Y_hat	Y_pred	waic
02lqpjp4pevk73p8f7ipewf9	1	1	66	5	1	no-go	NGW	0	1	0.438	0	0.0	0	0.5237	0.5223803508989021	-0.6693981600487172
02lqpjp4pevk73p8f7ipewf9	1	1	71	6	1	no-go	NGW	0	1	0.472	0	0.0	0	0.5136	0.5068363835110319	-0.7009882127841505
02lqpjp4pevk73p8f7ipewf9	1	1	73	7	1	no-go	NGW	0	1	0.703	0	1.0	1	0.4997	0.49763011611164254	-0.7201916966726695
02lqpjp4pevk73p8f7ipewf9	1	1	79	8	1	no-go	NGW	0	1	1.09	0	0.0	0	0.657	0.6495486353898016	-0.44146689022293817
02lqpjp4pevk73p8f7ipewf9	1	1	82	9	1	no-go	NGW	0	1	0.809	0	0.0	0	0.5531	0.5497990690718069	-0.6119508693869401
02lqpjp4pevk73p8f7ipewf9	1	1	88	10	1	no-go	NGW	0	1	0.492	0	1.0	1	0.5145	0.5139368971174967	-0.6843259886066229
02lqpjp4pevk73p8f7ipewf9	1	2	211	1	0	go	GAL	1	0		0	1.0	1	0.4093	0.6023518033976237	-0.5119455793421368
02lqpjp4pevk73p8f7ipewf9	1	2	213	2	0	go	GAL	1	0		0	1.0	1	0.3268	0.6775161089610213	-0.39391962983056766
02lqpjp4pevk73p8f7ipewf9	1	2	218	3	0	go	GAL	1	0		0	0.0	0	0.2997	0.7045981043851689	-0.35432385935567606
02lqpjp4pevk73p8f7ipewf9	1	2	221	4	0	go	GAL	1	1	0.349	1	1.0	0	0.4337	0.43159769484804295	-0.859106456729811
02lqpjp4pevk73p8f7ipewf9	1	2	226	5	0	go	GAL	1	1	0.917	1	0.0	1	0.3429	0.3532273184822901	-1.0581840991310272
02lqpjp4pevk73p8f7ipewf9	1	2	232	6	0	go	GAL	1	1	0.856	1	0.0	1	0.4838	0.48134956112029204	-0.7607820087980244
02lqpjp4pevk73p8f7ipewf9	1	2	235	7	0	go	GAL	1	1	0.607	1	0.0	1	0.5327	0.5286890089719838	-0.6622001565776487
02lqpjp4pevk73p8f7ipewf9	1	2	237	8	0	go	GAL	1	1	0.756	1	0.0	1	0.5463	0.5505137317363415	-0.6164513690744481
02lqpjp4pevk73p8f7ipewf9	1	1	35	1	1	go	GW	1	1	0.46	1	0.0	1	0.7321	0.7316738753725041	-0.3154331129795257
02lqpjp4pevk73p8f7ipewf9	1	1	38	2	1	go	GW	1	1	0.576	1	0.0	1	0.7962	0.7903550630762622	-0.23794467196695748
02lqpjp4pevk73p8f7ipewf9	1	1	44	3	1	go	GW	1	1	0.837	1	0.0	1	0.8105	0.8104982583511483	-0.21246845200346318
02lqpjp4pevk73p8f7ipewf9	1	1	45	4	1	go	GW	1	1	0.807	1	0.0	1	0.8195	0.8199039734730666	-0.20074788213788744
