name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"a3[2,9]",0.243,0.00108,0.0701,0.137,0.237,0.367,4196,0.496,0.999
"a3[2,10]",0.751,0.00136,0.0848,0.605,0.754,0.886,3883,0.459,1.00
"a3[2,11]",0.144,0.000601,0.0365,0.0896,0.141,0.208,3681,0.435,1.000
"a3[2,12]",0.228,0.00446,0.166,0.0228,0.199,0.550,1388,0.164,1.00
"a3[2,13]",0.197,0.00925,0.229,0.00708,0.0821,0.688,612,0.0724,1.01
"a3[2,14]",0.0741,0.00210,0.0646,0.0268,0.0563,0.174,948,0.112,1.00
"a3[2,15]",0.295,0.0108,0.259,0.00406,0.236,0.772,576,0.0682,1.01
"a3[2,16]",0.257,0.00141,0.0899,0.130,0.246,0.423,4049,0.479,1.00
"a3[2,17]",0.0424,0.00127,0.0510,0.00886,0.0271,0.129,1621,0.192,1.00
"a3[2,18]",0.0581,0.00132,0.0386,0.0230,0.0485,0.126,857,0.101,1.01
"a3[2,19]",0.218,0.00222,0.0978,0.0822,0.204,0.399,1946,0.230,1.00
"a3[2,20]",0.305,0.00104,0.0756,0.187,0.302,0.435,5250,0.621,0.999
"a3[2,21]",0.0764,0.00293,0.0978,0.0122,0.0424,0.273,1110,0.131,1.00
"a3[2,22]",0.395,0.00355,0.154,0.150,0.389,0.662,1877,0.222,1.00
"a3[2,23]",0.375,0.00177,0.102,0.205,0.377,0.544,3337,0.395,1.000
"a3[2,24]",0.0222,0.000630,0.0190,0.00768,0.0191,0.0431,909,0.108,1.00
"a3[2,25]",0.466,0.00264,0.152,0.219,0.464,0.720,3314,0.392,1.000
"a3[2,26]",0.195,0.00108,0.0647,0.102,0.188,0.312,3622,0.428,1.000
"a3[2,27]",0.0315,0.00182,0.0600,0.00327,0.0146,0.114,1089,0.129,1.00
"a3[2,28]",0.116,0.00900,0.198,0.00215,0.0182,0.616,486,0.0575,1.01
"a3[2,29]",0.156,0.00834,0.202,0.00963,0.0577,0.638,585,0.0691,1.01
"a3[2,30]",0.597,0.00206,0.127,0.381,0.600,0.804,3830,0.453,1.00
"a3[2,31]",0.0523,0.00729,0.0851,0.0152,0.0323,0.121,136,0.0161,1.03
"a3[2,32]",0.0203,0.000413,0.0197,0.00447,0.0161,0.0485,2275,0.269,1.00
"a3[2,33]",0.317,0.00165,0.0915,0.185,0.308,0.480,3059,0.362,1.00
"a3[2,34]",0.204,0.00342,0.126,0.0499,0.180,0.446,1362,0.161,1.00
"a3[2,35]",0.0876,0.000529,0.0318,0.0472,0.0821,0.148,3613,0.427,1.000
"a3[2,36]",0.148,0.00168,0.0702,0.0651,0.134,0.285,1753,0.207,1.00
"a3[2,37]",0.243,0.00139,0.0844,0.115,0.235,0.391,3676,0.435,1.00
"a3[2,38]",0.189,0.00124,0.0720,0.0926,0.178,0.326,3371,0.399,1.000
"a3[2,39]",0.314,0.000932,0.0657,0.205,0.314,0.420,4967,0.587,1.000
"a3[2,40]",0.641,0.00162,0.105,0.466,0.643,0.812,4187,0.495,1.00
"a3[2,41]",0.162,0.00295,0.100,0.0395,0.143,0.357,1160,0.137,1.00
"a3[2,42]",0.460,0.00243,0.140,0.224,0.465,0.688,3302,0.391,1.00
"a3[2,43]",0.178,0.00529,0.155,0.0143,0.137,0.482,862,0.102,1.00
"a3[2,44]",0.465,0.0211,0.263,0.00844,0.516,0.828,156,0.0184,1.03
"a3[2,45]",0.0945,0.000600,0.0345,0.0490,0.0895,0.158,3309,0.391,1.000
"a3[2,46]",0.0583,0.00239,0.0786,0.00526,0.0303,0.212,1086,0.128,1.00
"a3[2,47]",0.114,0.0153,0.188,0.0185,0.0467,0.659,150,0.0177,1.03
"a3[2,48]",0.333,0.00339,0.161,0.115,0.308,0.632,2237,0.265,1.00
"a3[2,49]",0.130,0.00261,0.0941,0.0235,0.108,0.317,1302,0.154,1.00
"a3[2,50]",0.166,0.00663,0.197,0.00743,0.0822,0.616,884,0.105,1.00
"a3[2,51]",0.179,0.00258,0.113,0.0524,0.148,0.411,1926,0.228,1.000
"a3[2,52]",0.313,0.00101,0.0718,0.200,0.308,0.433,5026,0.594,1.00
"a3[2,53]",0.162,0.00712,0.195,0.000349,0.0791,0.578,748,0.0884,1.00
"a3[2,54]",0.0423,0.00234,0.0704,0.00490,0.0217,0.143,904,0.107,1.01
"a3[2,55]",0.203,0.000824,0.0512,0.128,0.199,0.295,3861,0.457,1.00
"a3[2,56]",0.177,0.00179,0.0909,0.0597,0.162,0.348,2574,0.304,1.00
"a3[2,57]",0.0537,0.00257,0.0819,0.00490,0.0265,0.196,1019,0.121,1.000
"a3[2,58]",0.0594,0.00138,0.0354,0.0259,0.0510,0.116,660,0.0780,1.01
"a3[2,59]",0.492,0.00615,0.214,0.127,0.500,0.834,1215,0.144,1.00
"a3[2,60]",0.235,0.000825,0.0509,0.157,0.232,0.324,3802,0.450,1.00
"a3[2,61]",0.278,0.00206,0.0894,0.150,0.267,0.440,1882,0.223,1.00
"a3[2,62]",0.290,0.00703,0.235,0.0188,0.250,0.718,1114,0.132,1.00
"a3[2,63]",0.334,0.00478,0.173,0.0954,0.309,0.661,1312,0.155,1.00
"a3[2,64]",0.0742,0.00104,0.0455,0.0284,0.0616,0.159,1929,0.228,1.00
"a3[2,65]",0.243,0.00526,0.141,0.0580,0.225,0.490,723,0.0855,1.01
"a3[2,66]",0.286,0.00302,0.129,0.118,0.262,0.533,1823,0.216,1.00
"a3[2,67]",0.419,0.00211,0.0924,0.273,0.414,0.583,1922,0.227,1.00
"a3[2,68]",0.154,0.000884,0.0504,0.0901,0.146,0.248,3258,0.385,1.00
"a3[2,69]",0.336,0.00148,0.0833,0.204,0.331,0.475,3146,0.372,0.999
"a3[2,70]",0.169,0.00143,0.0659,0.0757,0.162,0.288,2109,0.249,1.00
"a3[2,71]",0.247,0.00324,0.145,0.0705,0.212,0.535,2008,0.238,1.00
"a3[2,72]",0.225,0.000850,0.0542,0.141,0.221,0.319,4065,0.481,1.00
"a3[2,73]",0.166,0.000555,0.0353,0.112,0.164,0.227,4038,0.478,1.00
"a3[2,74]",0.272,0.00534,0.178,0.0650,0.231,0.626,1113,0.132,1.00
"a3[2,75]",0.0490,0.00633,0.112,0.00171,0.0107,0.300,315,0.0372,1.02
"a3[2,76]",0.283,0.000990,0.0636,0.183,0.280,0.392,4125,0.488,1.000
"a3[2,77]",0.269,0.00421,0.171,0.0522,0.233,0.602,1656,0.196,1.00
"a3[2,78]",0.435,0.00331,0.162,0.167,0.436,0.703,2400,0.284,1.00
"a3[2,79]",0.391,0.00425,0.181,0.119,0.384,0.702,1820,0.215,1.00
"a3[2,80]",0.537,0.00180,0.108,0.363,0.533,0.718,3642,0.431,1.00
"a3[2,81]",0.0652,0.000995,0.0470,0.0209,0.0519,0.152,2232,0.264,1.00
"a3[2,82]",0.408,0.00402,0.158,0.166,0.396,0.693,1552,0.184,1.00
"a3[2,83]",0.278,0.0214,0.281,0.00658,0.171,0.772,172,0.0204,1.03
"a3[2,84]",0.273,0.00453,0.165,0.0599,0.242,0.586,1324,0.157,1.00
"a3[2,85]",0.290,0.00104,0.0704,0.182,0.285,0.413,4558,0.539,1.00
"a3[2,86]",0.447,0.00270,0.145,0.231,0.431,0.709,2879,0.341,1.00
"a3[2,87]",0.505,0.00364,0.169,0.221,0.506,0.784,2139,0.253,1.00
"a3[2,88]",0.201,0.00149,0.0705,0.0932,0.197,0.323,2225,0.263,1.00
"a3[2,89]",0.122,0.00760,0.151,0.00898,0.0466,0.457,395,0.0467,1.01
"a3[2,90]",0.420,0.00203,0.113,0.237,0.419,0.609,3108,0.368,1.00
"a3[2,91]",0.0413,0.00391,0.0831,0.00498,0.0194,0.130,453,0.0536,1.01
"a3[2,92]",0.179,0.000825,0.0510,0.104,0.174,0.271,3816,0.451,0.999
"a3[2,93]",0.130,0.000623,0.0395,0.0735,0.125,0.203,4035,0.477,1.000
"a3[2,94]",0.532,0.00675,0.207,0.138,0.552,0.839,938,0.111,1.00
"a3[2,95]",0.277,0.0129,0.235,0.000880,0.250,0.714,333,0.0393,1.02
"a3[2,96]",0.0860,0.00157,0.0619,0.0299,0.0699,0.193,1552,0.184,1.00
"a3[2,97]",0.158,0.00505,0.101,0.0425,0.130,0.356,403,0.0477,1.01
"a3[2,98]",0.377,0.00796,0.195,0.0541,0.377,0.704,601,0.0711,1.00
"a3[2,99]",0.161,0.00144,0.0699,0.0772,0.147,0.297,2366,0.280,1.000
"sigma_c[1]",1.98,0.0237,0.556,1.23,1.88,3.04,550,0.0651,1.01
"sigma_c[2]",0.0128,0.0000716,0.00250,0.00905,0.0125,0.0172,1217,0.144,1.00
"sigma_c[3]",0.0113,0.0000965,0.00284,0.00723,0.0110,0.0164,868,0.103,1.00
"sigma_c[4]",0.612,0.00841,0.131,0.420,0.600,0.841,244,0.0289,1.01
"sigma_c[5]",0.0502,0.000644,0.0202,0.0216,0.0479,0.0871,985,0.116,1.00
"sigma_d[1]",0.0295,0.00129,0.0212,0.00655,0.0241,0.0705,271,0.0321,1.02
"sigma_d[2]",0.00280,0.0000195,0.000805,0.00162,0.00271,0.00428,1704,0.202,1.00
"sigma_d[3]",0.00792,0.0000855,0.00230,0.00457,0.00771,0.0122,726,0.0858,1.01
"sigma_d[4]",0.0380,0.000803,0.0135,0.0192,0.0362,0.0633,285,0.0337,1.03
"sigma_d[5]",0.0734,0.00101,0.0265,0.0366,0.0701,0.120,696,0.0823,1.00
"rho[1]",0.968,0.00162,0.0269,0.916,0.975,0.994,275,0.0326,1.02
"rho[2]",0.636,0.00270,0.101,0.456,0.645,0.787,1389,0.164,1.00
"rho[3]",0.175,0.00578,0.179,-0.130,0.178,0.465,956,0.113,1.00
"rho[4]",0.879,0.00410,0.0487,0.788,0.887,0.943,141,0.0167,1.03
"rho[5]",-0.184,0.00927,0.250,-0.592,-0.196,0.250,724,0.0856,1.00
# Inference for Stan model: mb_model
# 4 chains: each with iter=(1000,1000,1000,1000); warmup=(0,0,0,0); thin=(1,1,1,1); 4000 iterations saved.
# 
# Warmup took (6379, 7106, 6862, 5403) seconds, 7.2 hours total
# Sampling took (2183, 1941, 1936, 2395) seconds, 2.3 hours total
# Samples were drawn using hmc with nuts.
# For each parameter, N_Eff is a crude measure of effective sample size,
# and R_hat is the potential scale reduction factor on split chains (at 
# convergence, R_hat=1).
