subject,session,block,runsheet,trial,exposure,stimulus,valence,action,robot,choice,accuracy,rt,outcome,Y_hat,Y_pred,pwaic,k_u,loo
09byk3dg92is9b06rwaybmoh,3,1,3b,4,1,1,1,no-go,ngw,0,1,,1,0.5208,0.483289,0.001035,-0.091088,0.482772
09byk3dg92is9b06rwaybmoh,3,1,3b,5,2,1,1,no-go,ngw,1,0,0.763,0,0.4948,0.49243,0.001204,-0.121096,0.491828
09byk3dg92is9b06rwaybmoh,3,1,3b,11,3,1,1,no-go,ngw,0,1,,0,0.46,0.531747,0.001592,-0.097263,0.530952
09byk3dg92is9b06rwaybmoh,3,1,3b,16,4,1,1,no-go,ngw,1,0,0.852,0,0.4972,0.495083,0.001171,-0.166781,0.494497
09byk3dg92is9b06rwaybmoh,3,1,3b,20,5,1,1,no-go,ngw,1,0,0.77,0,0.468,0.473514,0.001455,-0.135399,0.472787
09byk3dg92is9b06rwaybmoh,3,1,3b,22,6,1,1,no-go,ngw,1,0,0.772,0,0.4526,0.454063,0.00184,-0.182379,0.453143
09byk3dg92is9b06rwaybmoh,3,1,3b,28,7,1,1,no-go,ngw,0,1,,1,0.4412,0.563633,0.002303,-0.10161,0.562482
09byk3dg92is9b06rwaybmoh,3,1,3b,32,8,1,1,no-go,ngw,0,1,,1,0.4166,0.587639,0.002953,-0.096603,0.586161
09byk3dg92is9b06rwaybmoh,3,1,3b,36,9,1,1,no-go,ngw,0,1,,1,0.3982,0.608283,0.003656,-0.106092,0.606453
09byk3dg92is9b06rwaybmoh,3,1,3b,39,10,1,1,no-go,ngw,0,1,,0,0.3728,0.626453,0.004334,-0.144687,0.624281
09byk3dg92is9b06rwaybmoh,3,1,3b,2,1,2,1,no-go,ngw,0,1,,0,0.4998,0.483289,0.001035,-0.091088,0.482772
09byk3dg92is9b06rwaybmoh,3,1,3b,6,2,2,1,no-go,ngw,1,0,0.709,0,0.5474,0.540906,0.001092,-0.176014,0.540361
09byk3dg92is9b06rwaybmoh,3,1,3b,10,3,2,1,no-go,ngw,1,0,0.929,1,0.5222,0.516711,0.001035,-0.164957,0.516193
09byk3dg92is9b06rwaybmoh,3,1,3b,14,4,2,1,no-go,ngw,1,0,0.599,0,0.535,0.543521,0.001174,-0.168466,0.542935
09byk3dg92is9b06rwaybmoh,3,1,3b,17,5,2,1,no-go,ngw,1,0,1.043,0,0.5142,0.518677,0.001042,-0.141721,0.518156
09byk3dg92is9b06rwaybmoh,3,1,3b,23,6,2,1,no-go,ngw,0,1,,1,0.495,0.503359,0.001161,-0.149688,0.502779
09byk3dg92is9b06rwaybmoh,3,1,3b,27,7,2,1,no-go,ngw,0,1,,1,0.467,0.530205,0.001547,-0.102582,0.529432
09byk3dg92is9b06rwaybmoh,3,1,3b,29,8,2,1,no-go,ngw,0,1,,1,0.4354,0.553467,0.00206,-0.098466,0.552439
09byk3dg92is9b06rwaybmoh,3,1,3b,3,1,3,1,go,gw,1,1,0.776,1,0.5148,0.516711,0.001035,-0.164957,0.516193
09byk3dg92is9b06rwaybmoh,3,1,3b,7,2,3,1,go,gw,0,0,,0,0.5476,0.459094,0.001092,-0.103751,0.458548
09byk3dg92is9b06rwaybmoh,3,1,3b,9,3,3,1,go,gw,1,1,1.079,1,0.5634,0.564832,0.00136,-0.121346,0.564153
09byk3dg92is9b06rwaybmoh,3,1,3b,15,4,3,1,go,gw,1,1,0.907,1,0.5874,0.585818,0.001675,-0.109534,0.584981
09byk3dg92is9b06rwaybmoh,3,1,3b,18,5,3,1,go,gw,1,1,0.865,1,0.6016,0.604545,0.00202,-0.060118,0.603535
09byk3dg92is9b06rwaybmoh,3,1,3b,24,6,3,1,go,gw,0,0,,0,0.6078,0.378576,0.002395,-0.105281,0.377379
09byk3dg92is9b06rwaybmoh,3,1,3b,26,7,3,1,go,gw,1,1,0.928,1,0.6422,0.641025,0.002955,0.037042,0.639545
09byk3dg92is9b06rwaybmoh,3,1,3b,31,8,3,1,go,gw,1,1,0.566,0,0.6532,0.655841,0.003395,0.042462,0.654138
09byk3dg92is9b06rwaybmoh,3,1,3b,34,9,3,1,go,gw,1,1,0.893,1,0.6282,0.626493,0.002655,-0.007393,0.625164
09byk3dg92is9b06rwaybmoh,3,1,3b,38,10,3,1,go,gw,1,1,1.156,1,0.6442,0.644622,0.003096,-0.002909,0.643071
09byk3dg92is9b06rwaybmoh,3,1,3b,43,11,3,1,go,gw,1,1,0.743,1,0.6666,0.660246,0.003587,0.006146,0.658447
09byk3dg92is9b06rwaybmoh,3,1,3b,48,12,3,1,go,gw,1,1,0.89,1,0.674,0.674059,0.004077,0.003026,0.672012
09byk3dg92is9b06rwaybmoh,3,1,3b,1,1,4,0,go,gal,1,1,0.932,1,0.5224,0.516711,0.001035,-0.164957,0.516193
09byk3dg92is9b06rwaybmoh,3,1,3b,8,2,4,0,go,gal,1,1,0.82,0,0.541,0.540906,0.001092,-0.176014,0.540361
09byk3dg92is9b06rwaybmoh,3,1,3b,12,3,4,0,go,gal,1,1,0.771,1,0.5108,0.514057,0.001052,-0.163544,0.513531
09byk3dg92is9b06rwaybmoh,3,1,3b,13,4,4,0,go,gal,0,0,,0,0.5368,0.461044,0.001062,-0.086523,0.460513
09byk3dg92is9b06rwaybmoh,3,1,3b,19,5,4,0,go,gal,0,0,,0,0.5526,0.437082,0.001299,-0.053741,0.436432
09byk3dg92is9b06rwaybmoh,3,1,3b,21,6,4,0,go,gal,1,1,0.892,1,0.5784,0.583942,0.001604,-0.124765,0.58314
09byk3dg92is9b06rwaybmoh,3,1,3b,25,7,4,0,go,gal,0,0,,0,0.6044,0.395077,0.00204,-0.077264,0.394057
09byk3dg92is9b06rwaybmoh,3,1,3b,30,8,4,0,go,gal,1,1,0.759,0,0.6172,0.623219,0.002466,0.029873,0.621984
09byk3dg92is9b06rwaybmoh,3,1,3b,35,1,5,0,no-go,ngal,0,1,,0,0.5212,0.483289,0.001035,-0.091088,0.482772
09byk3dg92is9b06rwaybmoh,3,1,3b,37,2,5,0,no-go,ngal,0,1,,0,0.5322,0.459094,0.001092,-0.103751,0.458548
09byk3dg92is9b06rwaybmoh,3,1,3b,42,3,5,0,no-go,ngal,1,0,1.07,1,0.5726,0.562255,0.001266,-0.115873,0.561622
09byk3dg92is9b06rwaybmoh,3,1,3b,45,4,5,0,no-go,ngal,1,0,0.82,1,0.5836,0.585818,0.001675,-0.109534,0.584981
09byk3dg92is9b06rwaybmoh,3,1,3b,52,5,5,0,no-go,ngal,0,1,,1,0.613,0.393626,0.002098,-0.046209,0.392577
09byk3dg92is9b06rwaybmoh,3,1,3b,56,6,5,0,no-go,ngal,0,1,,0,0.5808,0.421162,0.001467,-0.057855,0.420429
09byk3dg92is9b06rwaybmoh,3,1,3b,57,7,5,0,no-go,ngal,1,0,0.636,0,0.6032,0.601241,0.001904,-0.060451,0.600288
09byk3dg92is9b06rwaybmoh,3,1,3b,63,8,5,0,no-go,ngal,0,1,,1,0.5618,0.426505,0.00142,-0.084803,0.425796
