name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_pr[4,35]	-0.482	0.00588	0.309	-1.12	-0.48	0.0952	2754.0	1.48	1.0
theta_pr[4,36]	-0.227	0.00629	0.366	-0.938	-0.238	0.488	3387.0	1.82	1.0
theta_pr[4,37]	0.272	0.00649	0.367	-0.514	0.278	0.958	3192.0	1.72	1.0
theta_pr[4,38]	-0.137	0.00654	0.403	-0.907	-0.15	0.648	3788.0	2.04	1.0
theta_pr[4,39]	0.395	0.0053	0.277	-0.171	0.39	0.921	2732.0	1.47	1.0
theta_pr[4,40]	1.89	0.0074	0.475	1.0	1.87	2.85	4109.0	2.21	1.0
theta_pr[4,41]	-0.35	0.00811	0.504	-1.4	-0.348	0.564	3860.0	2.08	1.0
theta_pr[4,42]	0.877	0.00909	0.588	-0.322	0.881	2.01	4183.0	2.25	1.0
theta_pr[4,43]	-0.765	0.0126	0.813	-2.24	-0.811	0.901	4178.0	2.25	1.0
theta_pr[4,44]	0.595	0.021	1.11	-1.68	0.704	2.46	2778.0	1.49	0.999
theta_pr[4,45]	-0.67	0.00561	0.307	-1.26	-0.68	-0.0675	2992.0	1.61	1.0
theta_pr[4,46]	-1.16	0.00789	0.551	-2.19	-1.2	-0.0365	4877.0	2.62	1.0
theta_pr[4,47]	0.138	0.0149	0.927	-1.44	0.0743	1.98	3859.0	2.08	1.0
theta_pr[4,48]	0.142	0.00904	0.607	-0.997	0.122	1.28	4507.0	2.42	1.0
theta_pr[4,49]	-0.421	0.0086	0.521	-1.45	-0.423	0.584	3664.0	1.97	1.0
theta_pr[4,50]	-0.639	0.0104	0.585	-1.99	-0.618	0.421	3190.0	1.72	1.0
theta_pr[4,51]	0.126	0.00883	0.54	-0.955	0.12	1.14	3737.0	2.01	1.0
theta_pr[4,52]	0.587	0.00571	0.349	-0.14	0.589	1.25	3746.0	2.01	1.0
theta_pr[4,53]	-0.936	0.0242	1.14	-3.05	-0.972	1.25	2210.0	1.19	1.0
theta_pr[4,54]	-1.14	0.00992	0.606	-2.21	-1.21	0.139	3732.0	2.01	1.0
theta_pr[4,55]	0.14	0.00483	0.261	-0.4	0.14	0.622	2929.0	1.58	1.0
theta_pr[4,56]	0.0703	0.01	0.552	-1.09	0.0927	1.07	3041.0	1.64	1.0
theta_pr[4,57]	-1.05	0.0118	0.712	-2.28	-1.12	0.452	3651.0	1.96	1.0
theta_pr[4,58]	-1.09	0.00825	0.516	-2.04	-1.13	-0.00138	3910.0	2.1	1.0
theta_pr[4,59]	0.087	0.0144	0.765	-1.59	0.0871	1.57	2832.0	1.52	1.0
theta_pr[4,60]	0.621	0.00544	0.288	0.046	0.621	1.15	2801.0	1.51	1.0
theta_pr[4,61]	0.533	0.00564	0.353	-0.164	0.526	1.23	3924.0	2.11	0.999
theta_pr[4,62]	0.532	0.0195	1.02	-1.55	0.608	2.31	2739.0	1.47	1.0
theta_pr[4,63]	0.282	0.0138	0.784	-1.1	0.202	1.91	3211.0	1.73	1.0
theta_pr[4,64]	-0.971	0.00754	0.434	-1.75	-1.01	-0.0504	3317.0	1.78	1.0
theta_pr[4,65]	0.132	0.00728	0.455	-0.812	0.148	0.951	3909.0	2.1	1.0
theta_pr[4,66]	0.214	0.00626	0.424	-0.62	0.196	1.05	4586.0	2.47	1.0
theta_pr[4,67]	1.06	0.00612	0.383	0.281	1.05	1.78	3919.0	2.11	1.0
theta_pr[4,68]	-0.159	0.00557	0.287	-0.732	-0.166	0.39	2659.0	1.43	1.0
theta_pr[4,69]	0.27	0.00645	0.408	-0.549	0.264	1.05	4000.0	2.15	1.0
theta_pr[4,70]	-0.477	0.0062	0.382	-1.23	-0.48	0.254	3787.0	2.04	0.999
